id,name,epithet,role,roleLabel,type,visibleAff,hiddenAff,pairEdges,existingGapsSupplied,firstAssignedGaps,archetype,personality,gender,species,ageBand,culturalBasis,visualConcept,costumeNotes,poseAction,backgroundConcept,portraitPrompt,spoilerConstraints,img,status,productionAdaptation
cv3_lead_027,Masato Takase,The Singing Retainer,protag,Lead,shojo,"[""samurai"", ""idol""]",nordic,"[""idol|nordic"", ""idol|samurai"", ""nordic|samurai""]","[""idol|nordic"", ""idol|samurai"", ""nordic|samurai""]","[""idol|nordic"", ""idol|samurai"", ""nordic|samurai""]",ronin questioning a sworn duty caught in a idol conflict,Keeps every promise in a pocket ledger. Chooses responsibility over the easy victory.,male,human,40–49,"Japanese fictional setting; costume follows the visible genre setting, not a claim of historical authenticity","male adult with close-cropped dark hair with a shaved part, light warm skin; ronin questioning a sworn duty caught in a idol conflict",muted ochre haori over indigo hakama with a plain clan clasp; a restrained secondary cue from ink-blue stage jacket with silver geometric piping,"turning sharply as fabric trails behind, a sheathed katana with visible hilt",a feudal gatehouse with a windswept stone approach; secondary environment cue: a rehearsal stage with blurred amber footlights,"One standalone square premium anime game portrait. Subject: male adult with close-cropped dark hair with a shaved part, light warm skin; ronin questioning a sworn duty caught in a idol conflict. Costume: muted ochre haori over indigo hakama with a plain clan clasp; a restrained secondary cue from ink-blue stage jacket with silver geometric piping. Action: turning sharply as fabric trails behind, a sheathed katana with visible hilt. Setting: a feudal gatehouse with a windswept stone approach; secondary environment cue: a rehearsal stage with blurred amber footlights. Exactly one main character, face clear; rich painted material light and fine anime contours matching audited current cast; strong diagonal composition, warm focal light, cooler background depth; no text, logos, labels, UI or borders. Only depict the two visible concepts samurai and idol. Show a sheathed or carefully controlled sword, haori/hakama or retainer cue appropriate to the subject; no generic ninja substitution. No robots, mechs, powered armour or cockpit. No ninja costume or covert-clan insignia.","Hidden affinity nordic is internal metadata only: do not name, draw or hint at it in public art or epithet. Secondary cues must remain within visible affinities.",cast/v3/cv3_lead_027.webp,ART_EXPORTED_ASSET_QC_COMPLETE_ENGINE_REVIEW_PENDING,
cv3_lead_028,Tomoe Takase,Encore in Shadow,protag,Lead,shojo,"[""shinobi"", ""idol""]",slice,"[""idol|shinobi"", ""idol|slice"", ""shinobi|slice""]","[""idol|shinobi"", ""idol|slice"", ""shinobi|slice""]","[""idol|shinobi"", ""idol|slice"", ""shinobi|slice""]",covert operative refusing a disposable mission caught in a idol conflict,Repairs things while thinking through an apology. Chooses responsibility over the easy victory.,female,human,20–29,"Japanese fictional setting; costume follows the visible genre setting, not a claim of historical authenticity","female adult with long black braid, olive skin; covert operative refusing a disposable mission caught in a idol conflict","smoke-blue fitted field layers, cloth wraps and a compact tool pouch; a restrained secondary cue from ink-blue stage jacket with silver geometric piping","kneeling to inspect an important detail, a climbing cord and compact grappling hook",a tiled roof above a guarded archive at dusk; secondary environment cue: a rehearsal stage with blurred amber footlights,"One standalone square premium anime game portrait. Subject: female adult with long black braid, olive skin; covert operative refusing a disposable mission caught in a idol conflict. Costume: smoke-blue fitted field layers, cloth wraps and a compact tool pouch; a restrained secondary cue from ink-blue stage jacket with silver geometric piping. Action: kneeling to inspect an important detail, a climbing cord and compact grappling hook. Setting: a tiled roof above a guarded archive at dusk; secondary environment cue: a rehearsal stage with blurred amber footlights. Exactly one main character, face clear; rich painted material light and fine anime contours matching audited current cast; strong diagonal composition, warm focal light, cooler background depth; no text, logos, labels, UI or borders. Only depict the two visible concepts shinobi and idol. Show covert positioning, a cord/tool pouch or stealth route; no branded headband or franchise symbols. No robots, mechs, powered armour or cockpit. No katana or samurai clan costume.","Hidden affinity slice is internal metadata only: do not name, draw or hint at it in public art or epithet. Secondary cues must remain within visible affinities.",cast/v3/cv3_lead_028.webp,ART_EXPORTED_ASSET_QC_COMPLETE_ENGINE_REVIEW_PENDING,
cv3_lead_029,Noboru Sugita,Steel Against Steel,protag,Lead,shojo,"[""mecha"", ""samurai""]",isekai,"[""isekai|mecha"", ""isekai|samurai"", ""mecha|samurai""]","[""isekai|mecha"", ""isekai|samurai"", ""mecha|samurai""]","[""isekai|mecha"", ""isekai|samurai"", ""mecha|samurai""]",test-rig pilot caught in a samurai conflict,Asks the quietest person for their view first. Chooses responsibility over the easy victory.,male,human,20–29,"Japanese fictional setting; costume follows the visible genre setting, not a claim of historical authenticity","male adult with silver-streaked swept-back hair, warm brown skin; test-rig pilot caught in a samurai conflict",practical flight suit with harness and work gloves; a restrained secondary cue from muted ochre haori over indigo hakama with a plain clan clasp,"bracing against a gust with steady eye contact, a cockpit control grip",an open cockpit with a large mech shoulder in the hangar beyond; secondary environment cue: a feudal gatehouse with a windswept stone approach,"One standalone square premium anime game portrait. Subject: male adult with silver-streaked swept-back hair, warm brown skin; test-rig pilot caught in a samurai conflict. Costume: practical flight suit with harness and work gloves; a restrained secondary cue from muted ochre haori over indigo hakama with a plain clan clasp. Action: bracing against a gust with steady eye contact, a cockpit control grip. Setting: an open cockpit with a large mech shoulder in the hangar beyond; secondary environment cue: a feudal gatehouse with a windswept stone approach. Exactly one main character, face clear; rich painted material light and fine anime contours matching audited current cast; strong diagonal composition, warm focal light, cooler background depth; no text, logos, labels, UI or borders. Only depict the two visible concepts mecha and samurai. Show unmistakable functional cockpit, mech shoulder or support rig; keep the character as the focus. Show a sheathed or carefully controlled sword, haori/hakama or retainer cue appropriate to the subject; no generic ninja substitution. No ninja costume or covert-clan insignia.","Hidden affinity isekai is internal metadata only: do not name, draw or hint at it in public art or epithet. Secondary cues must remain within visible affinities.",cast/v3/cv3_lead_029.webp,ART_EXPORTED_ASSET_QC_COMPLETE_ENGINE_REVIEW_PENDING,
cv3_lead_030,Wakana Sugita,The Impossible Starting Line,protag,Lead,shojo,"[""sports"", ""isekai""]",mystery,"[""isekai|mystery"", ""isekai|sports"", ""mystery|sports""]","[""isekai|mystery"", ""isekai|sports"", ""mystery|sports""]","[""isekai|mystery"", ""isekai|sports"", ""mystery|sports""]",contender rebuilding a team caught in a isekai conflict,Practises difficult conversations before dawn. Chooses responsibility over the easy victory.,female,human,30–39,"Japanese fictional setting; costume follows the visible genre setting, not a claim of historical authenticity","female adult with dark auburn wavy shoulder-length hair, deep brown skin; contender rebuilding a team caught in a isekai conflict",teal training jacket with blank panels and sports shoes; a restrained secondary cue from modern travel layer over locally repaired woven clothing,"leaning over a low rail while extending the main prop, a relay baton",an empty athletics track at golden hour; secondary environment cue: a foreign city gate with a quiet portal far behind,"One standalone square premium anime game portrait. Subject: female adult with dark auburn wavy shoulder-length hair, deep brown skin; contender rebuilding a team caught in a isekai conflict. Costume: teal training jacket with blank panels and sports shoes; a restrained secondary cue from modern travel layer over locally repaired woven clothing. Action: leaning over a low rail while extending the main prop, a relay baton. Setting: an empty athletics track at golden hour; secondary environment cue: a foreign city gate with a quiet portal far behind. Exactly one main character, face clear; rich painted material light and fine anime contours matching audited current cast; strong diagonal composition, warm focal light, cooler background depth; no text, logos, labels, UI or borders. Only depict the two visible concepts sports and isekai. No robots, mechs, powered armour or cockpit. No katana or samurai clan costume. No ninja costume or covert-clan insignia.","Hidden affinity mystery is internal metadata only: do not name, draw or hint at it in public art or epithet. Secondary cues must remain within visible affinities.",cast/v3/cv3_lead_030.webp,ART_EXPORTED_ASSET_QC_COMPLETE_ENGINE_REVIEW_PENDING,
cv3_lead_031,Osamu Matsuba,Sunday Beyond Worlds,protag,Lead,shojo,"[""isekai"", ""slice""]",supernatural,"[""isekai|slice"", ""isekai|supernatural"", ""slice|supernatural""]","[""isekai|slice"", ""isekai|supernatural"", ""slice|supernatural""]","[""isekai|slice"", ""isekai|supernatural"", ""slice|supernatural""]",outsider rewriting the quest caught in a slice conflict,Remembers kindness longer than insults. Chooses responsibility over the easy victory.,male,human,40–49,"Japanese fictional setting; costume follows the visible genre setting, not a claim of historical authenticity","male adult with curly dark hair, light warm skin; outsider rewriting the quest caught in a slice conflict","modern travel layer over locally repaired woven clothing; a restrained secondary cue from moss cardigan, canvas trousers and comfortable shoes","moving laterally across the scene in a controlled stride, an ordinary satchel beside an unfamiliar gate token",a foreign city gate with a quiet portal far behind; secondary environment cue: a sunlit neighbourhood courtyard,"One standalone square premium anime game portrait. Subject: male adult with curly dark hair, light warm skin; outsider rewriting the quest caught in a slice conflict. Costume: modern travel layer over locally repaired woven clothing; a restrained secondary cue from moss cardigan, canvas trousers and comfortable shoes. Action: moving laterally across the scene in a controlled stride, an ordinary satchel beside an unfamiliar gate token. Setting: a foreign city gate with a quiet portal far behind; secondary environment cue: a sunlit neighbourhood courtyard. Exactly one main character, face clear; rich painted material light and fine anime contours matching audited current cast; strong diagonal composition, warm focal light, cooler background depth; no text, logos, labels, UI or borders. Only depict the two visible concepts isekai and slice. No robots, mechs, powered armour or cockpit. No katana or samurai clan costume. No ninja costume or covert-clan insignia.","Hidden affinity supernatural is internal metadata only: do not name, draw or hint at it in public art or epithet. Secondary cues must remain within visible affinities.",cast/v3/cv3_lead_031.webp,ART_EXPORTED_ASSET_QC_COMPLETE_ENGINE_REVIEW_PENDING,
cv3_lead_032,Yae Matsuba,Ghosts Among Stars,protag,Lead,shojo,"[""space"", ""supernatural""]",isekai,"[""isekai|space"", ""isekai|supernatural"", ""space|supernatural""]","[""isekai|space"", ""isekai|supernatural"", ""space|supernatural""]","[""isekai|space"", ""space|supernatural""]",orbital rescue pathfinder caught in a supernatural conflict,Cannot resist improving a badly made plan. Chooses responsibility over the easy victory.,female,human,20–29,"Japanese fictional setting; costume follows the visible genre setting, not a claim of historical authenticity","female adult with short asymmetric brown cut, olive skin; orbital rescue pathfinder caught in a supernatural conflict",white-and-navy pressure-suit layers with orange seals; a restrained secondary cue from deep-violet everyday layers with pale cord fastenings,"standing calmly while the environment moves around them, a compact tether reel",a station observation deck overlooking a planet; secondary environment cue: an old city lane with subtle impossible reflections,"One standalone square premium anime game portrait. Subject: female adult with short asymmetric brown cut, olive skin; orbital rescue pathfinder caught in a supernatural conflict. Costume: white-and-navy pressure-suit layers with orange seals; a restrained secondary cue from deep-violet everyday layers with pale cord fastenings. Action: standing calmly while the environment moves around them, a compact tether reel. Setting: a station observation deck overlooking a planet; secondary environment cue: an old city lane with subtle impossible reflections. Exactly one main character, face clear; rich painted material light and fine anime contours matching audited current cast; strong diagonal composition, warm focal light, cooler background depth; no text, logos, labels, UI or borders. Only depict the two visible concepts space and supernatural. No robots, mechs, powered armour or cockpit. No katana or samurai clan costume. No ninja costume or covert-clan insignia.","Hidden affinity isekai is internal metadata only: do not name, draw or hint at it in public art or epithet. Secondary cues must remain within visible affinities.",cast/v3/cv3_lead_032.webp,ART_EXPORTED_ASSET_QC_COMPLETE_ENGINE_REVIEW_PENDING,
cv3_lead_033,Haruki Mizuhara,The Last Bright Wish,protag,Lead,shojo,"[""survival"", ""magical""]",mythology,"[""magical|mythology"", ""magical|survival"", ""mythology|survival""]","[""magical|mythology"", ""magical|survival"", ""mythology|survival""]","[""magical|mythology"", ""magical|survival"", ""mythology|survival""]",pathfinder refusing to abandon anyone caught in a magical conflict,"Laughs when nervous, then does the difficult thing. Chooses responsibility over the easy victory.",male,human,20–29,"Japanese; fictional crossover setting. Cultural basis guides identity, not a compulsory costume stereotype.","Japanese man, visibly aged 20–29; light ivory skin with a cool undertone; straight blue-black hair, cropped close with a clean taper; a broad nose and strong jaw, solid muscular build; pathfinder refusing to abandon anyone caught in a magical conflict",sand-coloured weather shell with a compact rescue pack; a restrained secondary cue from plum layered costume with one geometric brooch,"pivoting into the light with a determined sideways glance, a coil of rope and a carabiner",a broken mountain footbridge under clearing storm light; secondary environment cue: a twilight plaza with a controlled halo of light,"One standalone square premium anime game portrait. Subject: Japanese man, visibly aged 20–29; light ivory skin with a cool undertone; straight blue-black hair, cropped close with a clean taper; a broad nose and strong jaw, solid muscular build; pathfinder refusing to abandon anyone caught in a magical conflict. Costume: sand-coloured weather shell with a compact rescue pack; a restrained secondary cue from plum layered costume with one geometric brooch. Action: pivoting into the light with a determined sideways glance, a coil of rope and a carabiner. Setting: a broken mountain footbridge under clearing storm light; secondary environment cue: a twilight plaza with a controlled halo of light. Exactly one main character, face clear; rich painted material light and fine anime contours matching audited current cast; strong diagonal composition, warm focal light, cooler background depth; no text, logos, labels, UI or borders. Only depict the two visible concepts survival and magical. No robots, mechs, powered armour or cockpit. No katana or samurai clan costume. No ninja costume or covert-clan insignia. This is a distinct new person: do not reuse the reference face, olive complexion, hairstyle or previous-sheet identity. Render the specified skin tone clearly under neutral facial fill light; warm environmental light must not turn every face olive or tan. This is a distinct new person: do not reuse the reference face, olive complexion, hairstyle or previous-sheet identity. Render the specified skin tone clearly under neutral facial fill light; warm environmental light must not turn every face olive or tan.","Hidden affinity mythology is internal metadata only: do not name, draw or hint at it in public art or epithet. Secondary cues must remain within visible affinities.",cast/v3/cv3_lead_033.webp,ART_EXPORTED_ASSET_QC_COMPLETE_ENGINE_REVIEW_PENDING,
cv3_lead_034,Abena Mensah,Aurora Heartfire,protag,Lead,shojo,"[""magical"", ""nordic""]",pirate,"[""magical|nordic"", ""magical|pirate"", ""nordic|pirate""]","[""magical|nordic"", ""magical|pirate"", ""nordic|pirate""]","[""magical|nordic"", ""magical|pirate"", ""nordic|pirate""]",transformation guardian caught in a nordic conflict,Collects small gifts for people far from home. Chooses responsibility over the easy victory.,female,human,30–39,"Ghanaian-British diaspora; fictional crossover setting. Cultural basis guides identity, not a compulsory costume stereotype.","Ghanaian-British woman, visibly aged 30–39; very deep brown skin with warm highlights; tightly coiled black hair, cropped close with a clean taper; a square face and heavy brows, broad-shouldered build; transformation guardian caught in a nordic conflict",plum layered costume with one geometric brooch; a restrained secondary cue from weatherproof navy wool layers with simple leather fastenings,"taking one measured step toward the viewer, a compact luminous focus",a twilight plaza with a controlled halo of light; secondary environment cue: a working northern harbour under cold daylight,"One standalone square premium anime game portrait. Subject: Ghanaian-British woman, visibly aged 30–39; very deep brown skin with warm highlights; tightly coiled black hair, cropped close with a clean taper; a square face and heavy brows, broad-shouldered build; transformation guardian caught in a nordic conflict. Costume: plum layered costume with one geometric brooch; a restrained secondary cue from weatherproof navy wool layers with simple leather fastenings. Action: taking one measured step toward the viewer, a compact luminous focus. Setting: a twilight plaza with a controlled halo of light; secondary environment cue: a working northern harbour under cold daylight. Exactly one main character, face clear; rich painted material light and fine anime contours matching audited current cast; strong diagonal composition, warm focal light, cooler background depth; no text, logos, labels, UI or borders. Only depict the two visible concepts magical and nordic. Northern maritime realism; no horned helmets, rune magic or automatic Viking costume. No robots, mechs, powered armour or cockpit. No katana or samurai clan costume. No ninja costume or covert-clan insignia. This is a distinct new person: do not reuse the reference face, olive complexion, hairstyle or previous-sheet identity. Render the specified skin tone clearly under neutral facial fill light; warm environmental light must not turn every face olive or tan. This is a distinct new person: do not reuse the reference face, olive complexion, hairstyle or previous-sheet identity. Render the specified skin tone clearly under neutral facial fill light; warm environmental light must not turn every face olive or tan.","Hidden affinity pirate is internal metadata only: do not name, draw or hint at it in public art or epithet. Secondary cues must remain within visible affinities.",cast/v3/cv3_lead_034.webp,ART_EXPORTED_ASSET_QC_COMPLETE_ENGINE_REVIEW_PENDING,
cv3_lead_035,Cian Byrne,The Open-Handed Duel,protag,Lead,shojo,"[""samurai"", ""martial""]",mystery,"[""martial|mystery"", ""martial|samurai"", ""mystery|samurai""]","[""martial|mystery"", ""martial|samurai"", ""mystery|samurai""]","[""martial|mystery"", ""martial|samurai"", ""mystery|samurai""]",ronin questioning a sworn duty caught in a martial conflict,Refuses credit until the whole team is named. Chooses responsibility over the easy victory.,male,human,40–49,"Irish diaspora; fictional crossover setting. Cultural basis guides identity, not a compulsory costume stereotype.","Irish man, visibly aged 40–49; very fair pink-toned skin with conspicuous natural freckles; copper-red hair, worn in a high loose bun; a softly angular face, full lips and a strong neck, stocky build; ronin questioning a sworn duty caught in a martial conflict","muted ochre haori over indigo hakama with a plain clan clasp; a restrained secondary cue from indigo training wrap, hand wraps and flexible trousers","turning sharply as fabric trails behind, a sheathed katana with visible hilt",a feudal gatehouse with a windswept stone approach; secondary environment cue: a timber-floored training hall,"One standalone square premium anime game portrait. Subject: Irish man, visibly aged 40–49; very fair pink-toned skin with conspicuous natural freckles; copper-red hair, worn in a high loose bun; a softly angular face, full lips and a strong neck, stocky build; ronin questioning a sworn duty caught in a martial conflict. Costume: muted ochre haori over indigo hakama with a plain clan clasp; a restrained secondary cue from indigo training wrap, hand wraps and flexible trousers. Action: turning sharply as fabric trails behind, a sheathed katana with visible hilt. Setting: a feudal gatehouse with a windswept stone approach; secondary environment cue: a timber-floored training hall. Exactly one main character, face clear; rich painted material light and fine anime contours matching audited current cast; strong diagonal composition, warm focal light, cooler background depth; no text, logos, labels, UI or borders. Only depict the two visible concepts samurai and martial. Show a sheathed or carefully controlled sword, haori/hakama or retainer cue appropriate to the subject; no generic ninja substitution. No robots, mechs, powered armour or cockpit. No ninja costume or covert-clan insignia. This is a distinct new person: do not reuse the reference face, olive complexion, hairstyle or previous-sheet identity. Render the specified skin tone clearly under neutral facial fill light; warm environmental light must not turn every face olive or tan. This is a distinct new person: do not reuse the reference face, olive complexion, hairstyle or previous-sheet identity. Render the specified skin tone clearly under neutral facial fill light; warm environmental light must not turn every face olive or tan.","Hidden affinity mystery is internal metadata only: do not name, draw or hint at it in public art or epithet. Secondary cues must remain within visible affinities.",cast/v3/cv3_lead_035.webp,ART_EXPORTED_ASSET_QC_COMPLETE_ENGINE_REVIEW_PENDING,
cv3_lead_036,Leela Rao,The Hidden Fist,protag,Lead,shojo,"[""shinobi"", ""martial""]",supernatural,"[""martial|shinobi"", ""martial|supernatural"", ""shinobi|supernatural""]","[""martial|shinobi"", ""martial|supernatural"", ""shinobi|supernatural""]","[""martial|shinobi"", ""martial|supernatural"", ""shinobi|supernatural""]",covert operative refusing a disposable mission caught in a martial conflict,Takes enormous care with other people’s belongings. Chooses responsibility over the easy victory.,female,human,50–59,"Indian diaspora; fictional crossover setting. Cultural basis guides identity, not a compulsory costume stereotype.","Indian woman, visibly aged 50–59; medium-deep warm brown skin; thick dark hair, worn in a high loose bun; a mature face with crow’s-feet and a strong jaw, average build; covert operative refusing a disposable mission caught in a martial conflict","smoke-blue fitted field layers, cloth wraps and a compact tool pouch; a restrained secondary cue from indigo training wrap, hand wraps and flexible trousers","kneeling to inspect an important detail, a climbing cord and compact grappling hook",a tiled roof above a guarded archive at dusk; secondary environment cue: a timber-floored training hall,"One standalone square premium anime game portrait. Subject: Indian woman, visibly aged 50–59; medium-deep warm brown skin; thick dark hair, worn in a high loose bun; a mature face with crow’s-feet and a strong jaw, average build; covert operative refusing a disposable mission caught in a martial conflict. Costume: smoke-blue fitted field layers, cloth wraps and a compact tool pouch; a restrained secondary cue from indigo training wrap, hand wraps and flexible trousers. Action: kneeling to inspect an important detail, a climbing cord and compact grappling hook. Setting: a tiled roof above a guarded archive at dusk; secondary environment cue: a timber-floored training hall. Exactly one main character, face clear; rich painted material light and fine anime contours matching audited current cast; strong diagonal composition, warm focal light, cooler background depth; no text, logos, labels, UI or borders. Only depict the two visible concepts shinobi and martial. Show covert positioning, a cord/tool pouch or stealth route; no branded headband or franchise symbols. No robots, mechs, powered armour or cockpit. No katana or samurai clan costume. This is a distinct new person: do not reuse the reference face, olive complexion, hairstyle or previous-sheet identity. Render the specified skin tone clearly under neutral facial fill light; warm environmental light must not turn every face olive or tan. This is a distinct new person: do not reuse the reference face, olive complexion, hairstyle or previous-sheet identity. Render the specified skin tone clearly under neutral facial fill light; warm environmental light must not turn every face olive or tan.","Hidden affinity supernatural is internal metadata only: do not name, draw or hint at it in public art or epithet. Secondary cues must remain within visible affinities.",cast/v3/cv3_lead_036.webp,ART_EXPORTED_ASSET_QC_COMPLETE_ENGINE_REVIEW_PENDING,
cv3_lead_037,Minjun Seo,Ghost in Armour,protag,Lead,shojo,"[""mecha"", ""shinobi""]",mythology,"[""mecha|mythology"", ""mecha|shinobi"", ""mythology|shinobi""]","[""mecha|mythology"", ""mecha|shinobi"", ""mythology|shinobi""]","[""mecha|mythology"", ""mecha|shinobi"", ""mythology|shinobi""]",test-rig pilot caught in a shinobi conflict,Turns every failure into a new rehearsal. Chooses responsibility over the easy victory.,male,human,20–29,"Korean diaspora; fictional crossover setting. Cultural basis guides identity, not a compulsory costume stereotype.","Korean man, visibly aged 20–29; fair beige skin with a neutral undertone; straight dark brown hair, shoulder-length and swept to one side; a calm oval face and broad nose, average build; test-rig pilot caught in a shinobi conflict","practical flight suit with harness and work gloves; a restrained secondary cue from smoke-blue fitted field layers, cloth wraps and a compact tool pouch","bracing against a gust with steady eye contact, a cockpit control grip",an open cockpit with a large mech shoulder in the hangar beyond; secondary environment cue: a tiled roof above a guarded archive at dusk,"One standalone square premium anime game portrait. Subject: Korean man, visibly aged 20–29; fair beige skin with a neutral undertone; straight dark brown hair, shoulder-length and swept to one side; a calm oval face and broad nose, average build; test-rig pilot caught in a shinobi conflict. Costume: practical flight suit with harness and work gloves; a restrained secondary cue from smoke-blue fitted field layers, cloth wraps and a compact tool pouch. Action: bracing against a gust with steady eye contact, a cockpit control grip. Setting: an open cockpit with a large mech shoulder in the hangar beyond; secondary environment cue: a tiled roof above a guarded archive at dusk. Exactly one main character, face clear; rich painted material light and fine anime contours matching audited current cast; strong diagonal composition, warm focal light, cooler background depth; no text, logos, labels, UI or borders. Only depict the two visible concepts mecha and shinobi. Show unmistakable functional cockpit, mech shoulder or support rig; keep the character as the focus. Show covert positioning, a cord/tool pouch or stealth route; no branded headband or franchise symbols. No katana or samurai clan costume. This is a distinct new person: do not reuse the reference face, olive complexion, hairstyle or previous-sheet identity. Render the specified skin tone clearly under neutral facial fill light; warm environmental light must not turn every face olive or tan. This is a distinct new person: do not reuse the reference face, olive complexion, hairstyle or previous-sheet identity. Render the specified skin tone clearly under neutral facial fill light; warm environmental light must not turn every face olive or tan.","Hidden affinity mythology is internal metadata only: do not name, draw or hint at it in public art or epithet. Secondary cues must remain within visible affinities.",cast/v3/cv3_lead_037.webp,ART_EXPORTED_ASSET_QC_COMPLETE_ENGINE_REVIEW_PENDING,
cv3_lead_038,Adaeze Okoye,The Iron Corsair,protag,Lead,shojo,"[""mecha"", ""pirate""]",supernatural,"[""mecha|pirate"", ""mecha|supernatural"", ""pirate|supernatural""]","[""mecha|pirate"", ""mecha|supernatural"", ""pirate|supernatural""]","[""mecha|pirate"", ""mecha|supernatural"", ""pirate|supernatural""]",test-rig pilot caught in a pirate conflict,Needs solitude after appearing fearless. Chooses responsibility over the easy victory.,female,human,30–39,"Nigerian diaspora; fictional crossover setting. Cultural basis guides identity, not a compulsory costume stereotype.","Nigerian woman, visibly aged 30–39; rich dark brown skin; dense natural black curls, shoulder-length and swept to one side; a long narrow face and prominent nose, tall lean build; test-rig pilot caught in a pirate conflict","practical flight suit with harness and work gloves; a restrained secondary cue from sea-green deck coat, sash and salt-worn boots","leaning over a low rail while extending the main prop, a cockpit control grip",an open cockpit with a large mech shoulder in the hangar beyond; secondary environment cue: a working ship deck beside a busy harbour,"One standalone square premium anime game portrait. Subject: Nigerian woman, visibly aged 30–39; rich dark brown skin; dense natural black curls, shoulder-length and swept to one side; a long narrow face and prominent nose, tall lean build; test-rig pilot caught in a pirate conflict. Costume: practical flight suit with harness and work gloves; a restrained secondary cue from sea-green deck coat, sash and salt-worn boots. Action: leaning over a low rail while extending the main prop, a cockpit control grip. Setting: an open cockpit with a large mech shoulder in the hangar beyond; secondary environment cue: a working ship deck beside a busy harbour. Exactly one main character, face clear; rich painted material light and fine anime contours matching audited current cast; strong diagonal composition, warm focal light, cooler background depth; no text, logos, labels, UI or borders. Only depict the two visible concepts mecha and pirate. Show unmistakable functional cockpit, mech shoulder or support rig; keep the character as the focus. No katana or samurai clan costume. No ninja costume or covert-clan insignia. This is a distinct new person: do not reuse the reference face, olive complexion, hairstyle or previous-sheet identity. Render the specified skin tone clearly under neutral facial fill light; warm environmental light must not turn every face olive or tan. This is a distinct new person: do not reuse the reference face, olive complexion, hairstyle or previous-sheet identity. Render the specified skin tone clearly under neutral facial fill light; warm environmental light must not turn every face olive or tan.","Hidden affinity supernatural is internal metadata only: do not name, draw or hint at it in public art or epithet. Secondary cues must remain within visible affinities.",cast/v3/cv3_lead_038.webp,ART_EXPORTED_ASSET_QC_COMPLETE_ENGINE_REVIEW_PENDING,
cv3_lead_039,Elias Lind,The Northward Banner,protag,Lead,shojo,"[""nordic"", ""military""]",mythology,"[""military|mythology"", ""military|nordic"", ""mythology|nordic""]","[""military|mythology"", ""military|nordic"", ""mythology|nordic""]","[""military|mythology"", ""military|nordic"", ""mythology|nordic""]",northern community defender caught in a military conflict,Shares food before sharing a secret. Chooses responsibility over the easy victory.,male,human,60–69,"Swedish northern coastal community; fictional crossover setting. Cultural basis guides identity, not a compulsory costume stereotype.","Swedish man, visibly aged 60–69; pale cool skin; flaxen blond hair, cut into a blunt chin-length bob; a long face with fine smile lines, slim build; northern community defender caught in a military conflict",weatherproof navy wool layers with simple leather fastenings; a restrained secondary cue from olive field jacket with blank unit tabs and practical boots,"moving laterally across the scene in a controlled stride, a coiled rescue rope",a working northern harbour under cold daylight; secondary environment cue: a floodlit logistics yard with supply vehicles,"One standalone square premium anime game portrait. Subject: Swedish man, visibly aged 60–69; pale cool skin; flaxen blond hair, cut into a blunt chin-length bob; a long face with fine smile lines, slim build; northern community defender caught in a military conflict. Costume: weatherproof navy wool layers with simple leather fastenings; a restrained secondary cue from olive field jacket with blank unit tabs and practical boots. Action: moving laterally across the scene in a controlled stride, a coiled rescue rope. Setting: a working northern harbour under cold daylight; secondary environment cue: a floodlit logistics yard with supply vehicles. Exactly one main character, face clear; rich painted material light and fine anime contours matching audited current cast; strong diagonal composition, warm focal light, cooler background depth; no text, logos, labels, UI or borders. Only depict the two visible concepts nordic and military. Northern maritime realism; no horned helmets, rune magic or automatic Viking costume. No robots, mechs, powered armour or cockpit. No katana or samurai clan costume. No ninja costume or covert-clan insignia. This is a distinct new person: do not reuse the reference face, olive complexion, hairstyle or previous-sheet identity. Render the specified skin tone clearly under neutral facial fill light; warm environmental light must not turn every face olive or tan. This is a distinct new person: do not reuse the reference face, olive complexion, hairstyle or previous-sheet identity. Render the specified skin tone clearly under neutral facial fill light; warm environmental light must not turn every face olive or tan.","Hidden affinity mythology is internal metadata only: do not name, draw or hint at it in public art or epithet. Secondary cues must remain within visible affinities.",cast/v3/cv3_lead_039.webp,ART_EXPORTED_ASSET_QC_COMPLETE_ENGINE_REVIEW_PENDING,
