role,genre_a,genre_b,new_covering_ids,status
protag,isekai,supernatural,"[""cv3_lead_031"", ""cv3_lead_032""]",SOLVED
protag,isekai,survival,"[""cv3_lead_014""]",SOLVED
protag,magical,mythology,"[""cv3_lead_033""]",SOLVED
protag,magical,nordic,"[""cv3_lead_034""]",SOLVED
protag,magical,pirate,"[""cv3_lead_034""]",SOLVED
protag,magical,samurai,"[""cv3_lead_022""]",SOLVED
protag,magical,shinobi,"[""cv3_lead_003""]",SOLVED
protag,magical,slice,"[""cv3_lead_018""]",SOLVED
protag,magical,supernatural,"[""cv3_lead_023""]",SOLVED
protag,magical,survival,"[""cv3_lead_033""]",SOLVED
protag,martial,mystery,"[""cv3_lead_035""]",SOLVED
protag,martial,samurai,"[""cv3_lead_035"", ""cv3_lead_047""]",SOLVED
protag,martial,shinobi,"[""cv3_lead_036"", ""cv3_lead_047""]",SOLVED
protag,martial,supernatural,"[""cv3_lead_036""]",SOLVED
protag,mecha,mythology,"[""cv3_lead_037""]",SOLVED
protag,mecha,pirate,"[""cv3_lead_038""]",SOLVED
protag,mecha,samurai,"[""cv3_lead_029"", ""cv3_lead_048""]",SOLVED
protag,mecha,shinobi,"[""cv3_lead_037"", ""cv3_lead_048""]",SOLVED
protag,mecha,sports,"[""cv3_lead_004""]",SOLVED
protag,mecha,supernatural,"[""cv3_lead_038""]",SOLVED
protag,military,mystery,"[""cv3_lead_005""]",SOLVED
protag,military,mythology,"[""cv3_lead_039""]",SOLVED
protag,military,nordic,"[""cv3_lead_039""]",SOLVED
protag,military,pirate,"[""cv3_lead_040""]",SOLVED
protag,military,samurai,"[""cv3_lead_041""]",SOLVED
protag,military,shinobi,"[""cv3_lead_040""]",SOLVED
protag,military,slice,"[""cv3_lead_041""]",SOLVED
protag,mystery,samurai,"[""cv3_lead_035""]",SOLVED
protag,mystery,shinobi,"[""cv3_lead_010""]",SOLVED
protag,mystery,space,"[""cv3_lead_042""]",SOLVED
protag,mystery,sports,"[""cv3_lead_030""]",SOLVED
protag,mystery,survival,"[""cv3_lead_042""]",SOLVED
protag,mythology,nordic,"[""cv3_lead_039""]",SOLVED
protag,mythology,pirate,"[""cv3_lead_025""]",SOLVED
protag,mythology,samurai,"[""cv3_lead_011""]",SOLVED
protag,mythology,shinobi,"[""cv3_lead_037""]",SOLVED
protag,mythology,survival,"[""cv3_lead_033""]",SOLVED
protag,nordic,pirate,"[""cv3_lead_034"", ""cv3_lead_043""]",SOLVED
protag,nordic,romance,"[""cv3_lead_012""]",SOLVED
protag,nordic,samurai,"[""cv3_lead_027"", ""cv3_lead_051""]",SOLVED
protag,nordic,shinobi,"[""cv3_lead_044""]",SOLVED
protag,nordic,space,"[""cv3_lead_043""]",SOLVED
protag,nordic,sports,"[""cv3_lead_044""]",SOLVED
protag,pirate,samurai,"[""cv3_lead_015""]",SOLVED
protag,pirate,shinobi,"[""cv3_lead_040""]",SOLVED
protag,pirate,space,"[""cv3_lead_043""]",SOLVED
protag,pirate,supernatural,"[""cv3_lead_038""]",SOLVED
protag,romance,samurai,"[""cv3_lead_045"", ""cv3_lead_049""]",SOLVED
protag,romance,shinobi,"[""cv3_lead_045""]",SOLVED
protag,romance,slice,"[""cv3_lead_006"", ""cv3_lead_049""]",SOLVED
protag,samurai,shinobi,"[""cv3_lead_045"", ""cv3_lead_047"", ""cv3_lead_048""]",SOLVED
protag,samurai,slice,"[""cv3_lead_041"", ""cv3_lead_049""]",SOLVED
protag,samurai,space,"[""cv3_lead_019""]",SOLVED
protag,samurai,sports,"[""cv3_lead_046""]",SOLVED
protag,samurai,supernatural,"[""cv3_lead_007""]",SOLVED
protag,samurai,survival,"[""cv3_lead_046"", ""cv3_lead_051""]",SOLVED
protag,shinobi,slice,"[""cv3_lead_028"", ""cv3_lead_050""]",SOLVED
protag,shinobi,space,"[""cv3_lead_016""]",SOLVED
protag,shinobi,sports,"[""cv3_lead_044"", ""cv3_lead_052""]",SOLVED
protag,shinobi,supernatural,"[""cv3_lead_036""]",SOLVED
protag,shinobi,survival,"[""cv3_lead_020""]",SOLVED
protag,slice,space,"[""cv3_lead_026""]",SOLVED
protag,slice,supernatural,"[""cv3_lead_031""]",SOLVED
protag,space,supernatural,"[""cv3_lead_032""]",SOLVED
protag,space,survival,"[""cv3_lead_042""]",SOLVED
protag,sports,survival,"[""cv3_lead_046""]",SOLVED
secondary,comedy,cooking,"[""cv3_sidekick_001""]",SOLVED
secondary,comedy,cyber,"[""cv3_sidekick_002""]",SOLVED
secondary,comedy,fantasy,"[""cv3_sidekick_003""]",SOLVED
secondary,comedy,isekai,"[""cv3_sidekick_002""]",SOLVED
secondary,comedy,military,"[""cv3_sidekick_003""]",SOLVED
secondary,comedy,nordic,"[""cv3_sidekick_004""]",SOLVED
secondary,comedy,pirate,"[""cv3_sidekick_005""]",SOLVED
secondary,comedy,samurai,"[""cv3_sidekick_006""]",SOLVED
secondary,comedy,shinobi,"[""cv3_sidekick_005""]",SOLVED
secondary,comedy,slice,"[""cv3_sidekick_001""]",SOLVED
secondary,comedy,supernatural,"[""cv3_sidekick_006""]",SOLVED
secondary,cooking,horror,"[""cv3_sidekick_007""]",SOLVED
secondary,cooking,idol,"[""cv3_sidekick_008""]",SOLVED
secondary,cooking,isekai,"[""cv3_sidekick_007""]",SOLVED
secondary,cooking,magical,"[""cv3_sidekick_009""]",SOLVED
secondary,cooking,martial,"[""cv3_sidekick_010""]",SOLVED
secondary,cooking,mystery,"[""cv3_sidekick_011""]",SOLVED
secondary,cooking,pirate,"[""cv3_sidekick_010""]",SOLVED
secondary,cooking,romance,"[""cv3_sidekick_009""]",SOLVED
secondary,cooking,samurai,"[""cv3_sidekick_012""]",SOLVED
secondary,cooking,shinobi,"[""cv3_sidekick_008"", ""cv3_sidekick_052""]",SOLVED
secondary,cooking,slice,"[""cv3_sidekick_001""]",SOLVED
secondary,cooking,sports,"[""cv3_sidekick_012""]",SOLVED
secondary,cooking,survival,"[""cv3_sidekick_011"", ""cv3_sidekick_052""]",SOLVED
secondary,cyber,fantasy,"[""cv3_sidekick_013""]",SOLVED
secondary,cyber,horror,"[""cv3_sidekick_014""]",SOLVED
secondary,cyber,isekai,"[""cv3_sidekick_002""]",SOLVED
secondary,cyber,martial,"[""cv3_sidekick_015""]",SOLVED
secondary,cyber,mythology,"[""cv3_sidekick_014""]",SOLVED
secondary,cyber,nordic,"[""cv3_sidekick_016""]",SOLVED
secondary,cyber,pirate,"[""cv3_sidekick_017""]",SOLVED
secondary,cyber,samurai,"[""cv3_sidekick_018""]",SOLVED
secondary,cyber,shinobi,"[""cv3_sidekick_015""]",SOLVED
secondary,cyber,slice,"[""cv3_sidekick_018""]",SOLVED
secondary,cyber,space,"[""cv3_sidekick_017""]",SOLVED
secondary,cyber,sports,"[""cv3_sidekick_016""]",SOLVED
secondary,cyber,supernatural,"[""cv3_sidekick_019""]",SOLVED
secondary,cyber,survival,"[""cv3_sidekick_019""]",SOLVED
secondary,fantasy,horror,"[""cv3_sidekick_020""]",SOLVED
secondary,fantasy,idol,"[""cv3_sidekick_013""]",SOLVED
secondary,fantasy,magical,"[""cv3_sidekick_020""]",SOLVED
secondary,fantasy,martial,"[""cv3_sidekick_021""]",SOLVED
secondary,fantasy,military,"[""cv3_sidekick_003""]",SOLVED
secondary,fantasy,mystery,"[""cv3_sidekick_022""]",SOLVED
secondary,fantasy,mythology,"[""cv3_sidekick_023""]",SOLVED
secondary,fantasy,samurai,"[""cv3_sidekick_021""]",SOLVED
secondary,fantasy,shinobi,"[""cv3_sidekick_022""]",SOLVED
secondary,horror,isekai,"[""cv3_sidekick_007""]",SOLVED
secondary,horror,magical,"[""cv3_sidekick_020""]",SOLVED
secondary,horror,martial,"[""cv3_sidekick_024""]",SOLVED
secondary,horror,military,"[""cv3_sidekick_025""]",SOLVED
secondary,horror,mythology,"[""cv3_sidekick_014""]",SOLVED
secondary,horror,nordic,"[""cv3_sidekick_026""]",SOLVED
secondary,horror,pirate,"[""cv3_sidekick_026""]",SOLVED
secondary,horror,samurai,"[""cv3_sidekick_027""]",SOLVED
secondary,horror,shinobi,"[""cv3_sidekick_025""]",SOLVED
secondary,horror,space,"[""cv3_sidekick_024""]",SOLVED
secondary,horror,survival,"[""cv3_sidekick_027""]",SOLVED
secondary,idol,isekai,"[""cv3_sidekick_028""]",SOLVED
secondary,idol,martial,"[""cv3_sidekick_028""]",SOLVED
secondary,idol,mecha,"[""cv3_sidekick_029""]",SOLVED
secondary,idol,nordic,"[""cv3_sidekick_030""]",SOLVED
secondary,idol,samurai,"[""cv3_sidekick_029""]",SOLVED
secondary,idol,shinobi,"[""cv3_sidekick_008""]",SOLVED
secondary,idol,space,"[""cv3_sidekick_030""]",SOLVED
secondary,isekai,magical,"[""cv3_sidekick_031""]",SOLVED
secondary,isekai,martial,"[""cv3_sidekick_028""]",SOLVED
secondary,isekai,military,"[""cv3_sidekick_032""]",SOLVED
secondary,isekai,mythology,"[""cv3_sidekick_033""]",SOLVED
secondary,isekai,nordic,"[""cv3_sidekick_034""]",SOLVED
secondary,isekai,samurai,"[""cv3_sidekick_032""]",SOLVED
secondary,isekai,shinobi,"[""cv3_sidekick_031""]",SOLVED
secondary,isekai,survival,"[""cv3_sidekick_033""]",SOLVED
secondary,magical,martial,"[""cv3_sidekick_035""]",SOLVED
secondary,magical,mythology,"[""cv3_sidekick_036""]",SOLVED
secondary,magical,romance,"[""cv3_sidekick_009""]",SOLVED
secondary,magical,samurai,"[""cv3_sidekick_037""]",SOLVED
secondary,magical,shinobi,"[""cv3_sidekick_031""]",SOLVED
secondary,magical,slice,"[""cv3_sidekick_036""]",SOLVED
secondary,magical,space,"[""cv3_sidekick_037""]",SOLVED
secondary,magical,supernatural,"[""cv3_sidekick_035""]",SOLVED
secondary,martial,mecha,"[""cv3_sidekick_038""]",SOLVED
secondary,martial,military,"[""cv3_sidekick_038""]",SOLVED
secondary,martial,pirate,"[""cv3_sidekick_010""]",SOLVED
secondary,martial,samurai,"[""cv3_sidekick_021"", ""cv3_sidekick_049""]",SOLVED
secondary,martial,shinobi,"[""cv3_sidekick_015"", ""cv3_sidekick_049""]",SOLVED
secondary,martial,space,"[""cv3_sidekick_024""]",SOLVED
secondary,martial,supernatural,"[""cv3_sidekick_035""]",SOLVED
secondary,mecha,pirate,"[""cv3_sidekick_039""]",SOLVED
secondary,mecha,romance,"[""cv3_sidekick_039""]",SOLVED
secondary,mecha,samurai,"[""cv3_sidekick_029"", ""cv3_sidekick_050""]",SOLVED
secondary,mecha,shinobi,"[""cv3_sidekick_040"", ""cv3_sidekick_050""]",SOLVED
secondary,mecha,sports,"[""cv3_sidekick_040""]",SOLVED
secondary,military,samurai,"[""cv3_sidekick_032""]",SOLVED
secondary,military,shinobi,"[""cv3_sidekick_025""]",SOLVED
secondary,military,space,"[""cv3_sidekick_041""]",SOLVED
secondary,military,supernatural,"[""cv3_sidekick_041""]",SOLVED
secondary,mystery,nordic,"[""cv3_sidekick_042""]",SOLVED
secondary,mystery,samurai,"[""cv3_sidekick_042""]",SOLVED
secondary,mystery,shinobi,"[""cv3_sidekick_022""]",SOLVED
secondary,mystery,survival,"[""cv3_sidekick_011""]",SOLVED
secondary,mythology,nordic,"[""cv3_sidekick_043""]",SOLVED
secondary,mythology,pirate,"[""cv3_sidekick_044""]",SOLVED
secondary,mythology,romance,"[""cv3_sidekick_045""]",SOLVED
secondary,mythology,samurai,"[""cv3_sidekick_044""]",SOLVED
secondary,mythology,shinobi,"[""cv3_sidekick_043""]",SOLVED
secondary,mythology,slice,"[""cv3_sidekick_036""]",SOLVED
secondary,mythology,space,"[""cv3_sidekick_023""]",SOLVED
secondary,mythology,supernatural,"[""cv3_sidekick_045""]",SOLVED
secondary,nordic,pirate,"[""cv3_sidekick_026""]",SOLVED
secondary,nordic,romance,"[""cv3_sidekick_004""]",SOLVED
secondary,nordic,samurai,"[""cv3_sidekick_042""]",SOLVED
secondary,nordic,shinobi,"[""cv3_sidekick_043""]",SOLVED
secondary,nordic,space,"[""cv3_sidekick_030""]",SOLVED
secondary,nordic,sports,"[""cv3_sidekick_016""]",SOLVED
secondary,nordic,supernatural,"[""cv3_sidekick_034""]",SOLVED
secondary,pirate,romance,"[""cv3_sidekick_039""]",SOLVED
secondary,pirate,samurai,"[""cv3_sidekick_044""]",SOLVED
secondary,pirate,shinobi,"[""cv3_sidekick_005""]",SOLVED
secondary,pirate,space,"[""cv3_sidekick_017""]",SOLVED
secondary,romance,samurai,"[""cv3_sidekick_046"", ""cv3_sidekick_051""]",SOLVED
secondary,romance,shinobi,"[""cv3_sidekick_046""]",SOLVED
secondary,romance,supernatural,"[""cv3_sidekick_045""]",SOLVED
secondary,samurai,shinobi,"[""cv3_sidekick_046"", ""cv3_sidekick_049"", ""cv3_sidekick_050""]",SOLVED
secondary,samurai,slice,"[""cv3_sidekick_018"", ""cv3_sidekick_051""]",SOLVED
secondary,samurai,space,"[""cv3_sidekick_037""]",SOLVED
secondary,samurai,sports,"[""cv3_sidekick_012""]",SOLVED
secondary,samurai,supernatural,"[""cv3_sidekick_006""]",SOLVED
secondary,samurai,survival,"[""cv3_sidekick_027""]",SOLVED
secondary,shinobi,slice,"[""cv3_sidekick_047""]",SOLVED
secondary,shinobi,space,"[""cv3_sidekick_048""]",SOLVED
secondary,shinobi,sports,"[""cv3_sidekick_040""]",SOLVED
secondary,shinobi,supernatural,"[""cv3_sidekick_047""]",SOLVED
secondary,shinobi,survival,"[""cv3_sidekick_048"", ""cv3_sidekick_052""]",SOLVED
secondary,slice,supernatural,"[""cv3_sidekick_047""]",SOLVED
secondary,space,supernatural,"[""cv3_sidekick_041""]",SOLVED
secondary,space,survival,"[""cv3_sidekick_048""]",SOLVED
secondary,supernatural,survival,"[""cv3_sidekick_019""]",SOLVED
pet,comedy,cyber,"[""cv3_mascot_001""]",SOLVED
pet,comedy,fantasy,"[""cv3_mascot_002""]",SOLVED
pet,comedy,horror,"[""cv3_mascot_003""]",SOLVED
pet,comedy,idol,"[""cv3_mascot_001""]",SOLVED
pet,comedy,isekai,"[""cv3_mascot_003"", ""cv3_mascot_004""]",SOLVED
pet,comedy,magical,"[""cv3_mascot_005""]",SOLVED
pet,comedy,mystery,"[""cv3_mascot_006""]",SOLVED
pet,comedy,romance,"[""cv3_mascot_005""]",SOLVED
pet,comedy,samurai,"[""cv3_mascot_004""]",SOLVED
pet,comedy,shinobi,"[""cv3_mascot_002""]",SOLVED
pet,comedy,survival,"[""cv3_mascot_006""]",SOLVED
pet,cooking,horror,"[""cv3_mascot_007""]",SOLVED
pet,cooking,martial,"[""cv3_mascot_007""]",SOLVED
pet,cooking,samurai,"[""cv3_mascot_008""]",SOLVED
pet,cooking,shinobi,"[""cv3_mascot_008"", ""cv3_mascot_052""]",SOLVED
pet,cooking,supernatural,"[""cv3_mascot_009""]",SOLVED
pet,cooking,survival,"[""cv3_mascot_009"", ""cv3_mascot_052""]",SOLVED
pet,cyber,fantasy,"[""cv3_mascot_010""]",SOLVED
pet,cyber,horror,"[""cv3_mascot_011""]",SOLVED
pet,cyber,idol,"[""cv3_mascot_001""]",SOLVED
pet,cyber,martial,"[""cv3_mascot_012""]",SOLVED
pet,cyber,military,"[""cv3_mascot_010""]",SOLVED
pet,cyber,samurai,"[""cv3_mascot_011""]",SOLVED
pet,cyber,shinobi,"[""cv3_mascot_013""]",SOLVED
pet,cyber,slice,"[""cv3_mascot_013""]",SOLVED
pet,cyber,survival,"[""cv3_mascot_012""]",SOLVED
pet,fantasy,military,"[""cv3_mascot_010""]",SOLVED
pet,fantasy,mythology,"[""cv3_mascot_014""]",SOLVED
pet,fantasy,pirate,"[""cv3_mascot_015""]",SOLVED
pet,fantasy,samurai,"[""cv3_mascot_016""]",SOLVED
pet,fantasy,shinobi,"[""cv3_mascot_002""]",SOLVED
pet,fantasy,slice,"[""cv3_mascot_014""]",SOLVED
pet,fantasy,supernatural,"[""cv3_mascot_015"", ""cv3_mascot_016""]",SOLVED
pet,horror,isekai,"[""cv3_mascot_003""]",SOLVED
pet,horror,martial,"[""cv3_mascot_007""]",SOLVED
pet,horror,mecha,"[""cv3_mascot_017""]",SOLVED
pet,horror,military,"[""cv3_mascot_018""]",SOLVED
pet,horror,mystery,"[""cv3_mascot_019""]",SOLVED
pet,horror,mythology,"[""cv3_mascot_017""]",SOLVED
pet,horror,pirate,"[""cv3_mascot_018"", ""cv3_mascot_020""]",SOLVED
pet,horror,samurai,"[""cv3_mascot_011""]",SOLVED
pet,horror,shinobi,"[""cv3_mascot_019""]",SOLVED
pet,horror,sports,"[""cv3_mascot_020""]",SOLVED
pet,idol,isekai,"[""cv3_mascot_021""]",SOLVED
pet,idol,martial,"[""cv3_mascot_022""]",SOLVED
pet,idol,mecha,"[""cv3_mascot_022""]",SOLVED
pet,idol,mythology,"[""cv3_mascot_023""]",SOLVED
pet,idol,nordic,"[""cv3_mascot_024""]",SOLVED
pet,idol,pirate,"[""cv3_mascot_021""]",SOLVED
pet,idol,romance,"[""cv3_mascot_024""]",SOLVED
pet,idol,samurai,"[""cv3_mascot_025""]",SOLVED
pet,idol,shinobi,"[""cv3_mascot_026""]",SOLVED
pet,idol,slice,"[""cv3_mascot_023""]",SOLVED
pet,idol,space,"[""cv3_mascot_026""]",SOLVED
pet,idol,sports,"[""cv3_mascot_025""]",SOLVED
pet,isekai,mecha,"[""cv3_mascot_027""]",SOLVED
pet,isekai,military,"[""cv3_mascot_028""]",SOLVED
pet,isekai,mystery,"[""cv3_mascot_029""]",SOLVED
pet,isekai,mythology,"[""cv3_mascot_028""]",SOLVED
pet,isekai,pirate,"[""cv3_mascot_021""]",SOLVED
pet,isekai,samurai,"[""cv3_mascot_004""]",SOLVED
pet,isekai,shinobi,"[""cv3_mascot_030""]",SOLVED
pet,isekai,slice,"[""cv3_mascot_029""]",SOLVED
pet,isekai,space,"[""cv3_mascot_031""]",SOLVED
pet,isekai,sports,"[""cv3_mascot_030"", ""cv3_mascot_031""]",SOLVED
pet,isekai,supernatural,"[""cv3_mascot_027""]",SOLVED
pet,magical,martial,"[""cv3_mascot_032""]",SOLVED
pet,magical,mystery,"[""cv3_mascot_033""]",SOLVED
pet,magical,nordic,"[""cv3_mascot_034""]",SOLVED
pet,magical,romance,"[""cv3_mascot_005""]",SOLVED
pet,magical,samurai,"[""cv3_mascot_033""]",SOLVED
pet,magical,shinobi,"[""cv3_mascot_034""]",SOLVED
pet,magical,sports,"[""cv3_mascot_032""]",SOLVED
pet,martial,mecha,"[""cv3_mascot_022""]",SOLVED
pet,martial,military,"[""cv3_mascot_035""]",SOLVED
pet,martial,mystery,"[""cv3_mascot_036""]",SOLVED
pet,martial,samurai,"[""cv3_mascot_037"", ""cv3_mascot_049""]",SOLVED
pet,martial,shinobi,"[""cv3_mascot_035"", ""cv3_mascot_049""]",SOLVED
pet,martial,slice,"[""cv3_mascot_037""]",SOLVED
pet,martial,space,"[""cv3_mascot_036""]",SOLVED
pet,martial,sports,"[""cv3_mascot_032""]",SOLVED
pet,martial,survival,"[""cv3_mascot_012""]",SOLVED
pet,mecha,military,"[""cv3_mascot_038""]",SOLVED
pet,mecha,mythology,"[""cv3_mascot_017""]",SOLVED
pet,mecha,nordic,"[""cv3_mascot_038""]",SOLVED
pet,mecha,romance,"[""cv3_mascot_039""]",SOLVED
pet,mecha,samurai,"[""cv3_mascot_039"", ""cv3_mascot_050""]",SOLVED
pet,mecha,shinobi,"[""cv3_mascot_040"", ""cv3_mascot_050""]",SOLVED
pet,mecha,supernatural,"[""cv3_mascot_027""]",SOLVED
pet,mecha,survival,"[""cv3_mascot_040""]",SOLVED
pet,military,mystery,"[""cv3_mascot_041""]",SOLVED
pet,military,mythology,"[""cv3_mascot_028""]",SOLVED
pet,military,nordic,"[""cv3_mascot_038"", ""cv3_mascot_041""]",SOLVED
pet,military,pirate,"[""cv3_mascot_018""]",SOLVED
pet,military,samurai,"[""cv3_mascot_042""]",SOLVED
pet,military,shinobi,"[""cv3_mascot_035""]",SOLVED
pet,military,space,"[""cv3_mascot_042""]",SOLVED
pet,mystery,nordic,"[""cv3_mascot_041""]",SOLVED
pet,mystery,samurai,"[""cv3_mascot_033""]",SOLVED
pet,mystery,shinobi,"[""cv3_mascot_019""]",SOLVED
pet,mystery,slice,"[""cv3_mascot_029""]",SOLVED
pet,mystery,space,"[""cv3_mascot_036""]",SOLVED
pet,mystery,survival,"[""cv3_mascot_006""]",SOLVED
pet,mythology,romance,"[""cv3_mascot_043""]",SOLVED
pet,mythology,samurai,"[""cv3_mascot_044""]",SOLVED
pet,mythology,shinobi,"[""cv3_mascot_045""]",SOLVED
pet,mythology,slice,"[""cv3_mascot_014"", ""cv3_mascot_023""]",SOLVED
pet,mythology,space,"[""cv3_mascot_043""]",SOLVED
pet,mythology,supernatural,"[""cv3_mascot_045""]",SOLVED
pet,mythology,survival,"[""cv3_mascot_044""]",SOLVED
pet,nordic,pirate,"[""cv3_mascot_046""]",SOLVED
pet,nordic,romance,"[""cv3_mascot_024""]",SOLVED
pet,nordic,samurai,"[""cv3_mascot_046""]",SOLVED
pet,nordic,shinobi,"[""cv3_mascot_034""]",SOLVED
pet,nordic,slice,"[""cv3_mascot_047""]",SOLVED
pet,nordic,supernatural,"[""cv3_mascot_047""]",SOLVED
pet,pirate,romance,"[""cv3_mascot_048""]",SOLVED
pet,pirate,samurai,"[""cv3_mascot_046""]",SOLVED
pet,pirate,shinobi,"[""cv3_mascot_048""]",SOLVED
pet,pirate,sports,"[""cv3_mascot_020""]",SOLVED
pet,pirate,supernatural,"[""cv3_mascot_015""]",SOLVED
pet,romance,samurai,"[""cv3_mascot_039"", ""cv3_mascot_051""]",SOLVED
pet,romance,shinobi,"[""cv3_mascot_048""]",SOLVED
pet,romance,space,"[""cv3_mascot_043""]",SOLVED
pet,samurai,shinobi,"[""cv3_mascot_008"", ""cv3_mascot_049"", ""cv3_mascot_050""]",SOLVED
pet,samurai,slice,"[""cv3_mascot_037"", ""cv3_mascot_051""]",SOLVED
pet,samurai,space,"[""cv3_mascot_042""]",SOLVED
pet,samurai,sports,"[""cv3_mascot_025""]",SOLVED
pet,samurai,supernatural,"[""cv3_mascot_016""]",SOLVED
pet,samurai,survival,"[""cv3_mascot_044""]",SOLVED
pet,shinobi,slice,"[""cv3_mascot_013""]",SOLVED
pet,shinobi,space,"[""cv3_mascot_026""]",SOLVED
pet,shinobi,sports,"[""cv3_mascot_030""]",SOLVED
pet,shinobi,supernatural,"[""cv3_mascot_045""]",SOLVED
pet,shinobi,survival,"[""cv3_mascot_040"", ""cv3_mascot_052""]",SOLVED
pet,slice,supernatural,"[""cv3_mascot_047""]",SOLVED
pet,space,sports,"[""cv3_mascot_031""]",SOLVED
pet,supernatural,survival,"[""cv3_mascot_009""]",SOLVED
villain,comedy,cyber,"[""cv3_villain_001""]",SOLVED
villain,comedy,magical,"[""cv3_villain_002""]",SOLVED
villain,comedy,martial,"[""cv3_villain_003""]",SOLVED
villain,comedy,mystery,"[""cv3_villain_004""]",SOLVED
villain,comedy,mythology,"[""cv3_villain_005""]",SOLVED
villain,comedy,samurai,"[""cv3_villain_001""]",SOLVED
villain,comedy,shinobi,"[""cv3_villain_003""]",SOLVED
villain,comedy,slice,"[""cv3_villain_002""]",SOLVED
villain,comedy,sports,"[""cv3_villain_004""]",SOLVED
villain,comedy,supernatural,"[""cv3_villain_005""]",SOLVED
villain,cooking,cyber,"[""cv3_villain_006""]",SOLVED
villain,cooking,fantasy,"[""cv3_villain_007"", ""cv3_villain_008""]",SOLVED
