role,genre_a,genre_b,count,ids
protag,pirate,space,0,[]
protag,pirate,sports,1,"[""rin""]"
protag,pirate,supernatural,0,[]
protag,pirate,survival,1,"[""ash""]"
protag,romance,samurai,0,[]
protag,romance,shinobi,0,[]
protag,romance,slice,0,[]
protag,romance,space,1,"[""n_chisato""]"
protag,romance,sports,2,"[""haru"", ""n_chisato""]"
protag,romance,supernatural,1,"[""itsuki""]"
protag,romance,survival,1,"[""itsuki""]"
protag,samurai,shinobi,0,[]
protag,samurai,slice,0,[]
protag,samurai,space,0,[]
protag,samurai,sports,0,[]
protag,samurai,supernatural,0,[]
protag,samurai,survival,0,[]
protag,shinobi,slice,0,[]
protag,shinobi,space,0,[]
protag,shinobi,sports,0,[]
protag,shinobi,supernatural,0,[]
protag,shinobi,survival,0,[]
protag,slice,space,0,[]
protag,slice,sports,1,"[""rin""]"
protag,slice,supernatural,0,[]
protag,slice,survival,2,"[""jin"", ""yui""]"
protag,space,sports,1,"[""n_chisato""]"
protag,space,supernatural,0,[]
protag,space,survival,0,[]
protag,sports,supernatural,1,"[""suzume""]"
protag,sports,survival,0,[]
protag,supernatural,survival,2,"[""daichi"", ""itsuki""]"
secondary,comedy,cooking,0,[]
secondary,comedy,cyber,0,[]
secondary,comedy,fantasy,0,[]
secondary,comedy,horror,1,"[""s_bolt""]"
secondary,comedy,idol,1,"[""s_kiki""]"
secondary,comedy,isekai,0,[]
secondary,comedy,magical,1,"[""s_peko""]"
secondary,comedy,martial,2,"[""s_ichiro"", ""s_kazuki""]"
secondary,comedy,mecha,1,"[""s_peko""]"
secondary,comedy,military,0,[]
secondary,comedy,mystery,1,"[""s_nanami""]"
secondary,comedy,mythology,1,"[""s_ichiro""]"
secondary,comedy,nordic,0,[]
secondary,comedy,pirate,0,[]
secondary,comedy,romance,1,"[""s_kazuki""]"
secondary,comedy,samurai,0,[]
secondary,comedy,shinobi,0,[]
secondary,comedy,slice,0,[]
secondary,comedy,space,1,"[""s_nanami""]"
secondary,comedy,sports,1,"[""s_bolt""]"
secondary,comedy,supernatural,0,[]
secondary,comedy,survival,1,"[""s_kiki""]"
secondary,cooking,cyber,1,"[""s_daiki""]"
secondary,cooking,fantasy,1,"[""taro""]"
secondary,cooking,horror,0,[]
secondary,cooking,idol,0,[]
secondary,cooking,isekai,0,[]
secondary,cooking,magical,0,[]
secondary,cooking,martial,0,[]
secondary,cooking,mecha,3,"[""s_daiki"", ""s_boone"", ""s_pranav""]"
secondary,cooking,military,1,"[""s_reina""]"
secondary,cooking,mystery,0,[]
secondary,cooking,mythology,1,"[""s_pranav""]"
secondary,cooking,nordic,1,"[""s_reina""]"
secondary,cooking,pirate,0,[]
secondary,cooking,romance,0,[]
secondary,cooking,samurai,0,[]
secondary,cooking,shinobi,0,[]
secondary,cooking,slice,0,[]
secondary,cooking,space,1,"[""taro""]"
secondary,cooking,sports,0,[]
secondary,cooking,supernatural,1,"[""s_boone""]"
secondary,cooking,survival,0,[]
secondary,cyber,fantasy,0,[]
secondary,cyber,horror,0,[]
secondary,cyber,idol,1,"[""s_mimi""]"
secondary,cyber,isekai,0,[]
secondary,cyber,magical,2,"[""s_tobi"", ""s_mimi""]"
secondary,cyber,martial,0,[]
secondary,cyber,mecha,1,"[""s_daiki""]"
secondary,cyber,military,1,"[""s_kanna""]"
secondary,cyber,mystery,1,"[""s_tobi""]"
secondary,cyber,mythology,0,[]
secondary,cyber,nordic,0,[]
secondary,cyber,pirate,0,[]
secondary,cyber,romance,1,"[""s_kanna""]"
secondary,cyber,samurai,0,[]
secondary,cyber,shinobi,0,[]
secondary,cyber,slice,0,[]
secondary,cyber,space,0,[]
secondary,cyber,sports,0,[]
secondary,cyber,supernatural,0,[]
secondary,cyber,survival,0,[]
secondary,fantasy,horror,0,[]
secondary,fantasy,idol,0,[]
secondary,fantasy,isekai,1,"[""s_soleil""]"
secondary,fantasy,magical,0,[]
secondary,fantasy,martial,0,[]
secondary,fantasy,mecha,1,"[""s_ken""]"
secondary,fantasy,military,0,[]
secondary,fantasy,mystery,0,[]
secondary,fantasy,mythology,0,[]
secondary,fantasy,nordic,1,"[""fumi""]"
secondary,fantasy,pirate,1,"[""s_tora""]"
secondary,fantasy,romance,1,"[""s_hina""]"
secondary,fantasy,samurai,0,[]
secondary,fantasy,shinobi,0,[]
secondary,fantasy,slice,1,"[""fumi""]"
secondary,fantasy,space,1,"[""taro""]"
secondary,fantasy,sports,1,"[""s_soleil""]"
secondary,fantasy,supernatural,1,"[""s_tora""]"
secondary,fantasy,survival,2,"[""s_ken"", ""s_hina""]"
secondary,horror,idol,1,"[""s_sakurako""]"
secondary,horror,isekai,0,[]
secondary,horror,magical,0,[]
secondary,horror,martial,0,[]
secondary,horror,mecha,1,"[""s_sosuke""]"
secondary,horror,military,0,[]
secondary,horror,mystery,1,"[""s_chiaki""]"
secondary,horror,mythology,0,[]
secondary,horror,nordic,0,[]
secondary,horror,pirate,0,[]
secondary,horror,romance,1,"[""s_sakurako""]"
secondary,horror,samurai,0,[]
secondary,horror,shinobi,0,[]
secondary,horror,slice,1,"[""s_sosuke""]"
secondary,horror,space,0,[]
secondary,horror,sports,1,"[""s_bolt""]"
secondary,horror,supernatural,1,"[""s_chiaki""]"
secondary,horror,survival,0,[]
secondary,idol,isekai,0,[]
secondary,idol,magical,1,"[""s_mimi""]"
secondary,idol,martial,0,[]
secondary,idol,mecha,0,[]
secondary,idol,military,2,"[""s_gen"", ""s_lulu""]"
secondary,idol,mystery,1,"[""s_gen""]"
secondary,idol,mythology,1,"[""s_yuna""]"
secondary,idol,nordic,0,[]
secondary,idol,pirate,2,"[""s_akane"", ""s_ryo""]"
secondary,idol,romance,2,"[""s_ice"", ""s_sakurako""]"
secondary,idol,samurai,0,[]
secondary,idol,shinobi,0,[]
secondary,idol,slice,1,"[""s_lulu""]"
secondary,idol,space,0,[]
secondary,idol,sports,2,"[""s_akane"", ""s_yuna""]"
secondary,idol,supernatural,1,"[""s_ryo""]"
secondary,idol,survival,2,"[""s_kiki"", ""s_ice""]"
secondary,isekai,magical,0,[]
secondary,isekai,martial,0,[]
secondary,isekai,mecha,1,"[""tsubasa""]"
secondary,isekai,military,0,[]
secondary,isekai,mystery,1,"[""s_amber""]"
secondary,isekai,mythology,0,[]
secondary,isekai,nordic,0,[]
secondary,isekai,pirate,1,"[""s_amber""]"
secondary,isekai,romance,1,"[""s_nozomi""]"
secondary,isekai,samurai,0,[]
secondary,isekai,shinobi,0,[]
secondary,isekai,slice,1,"[""s_nozomi""]"
secondary,isekai,space,1,"[""tsubasa""]"
secondary,isekai,sports,2,"[""s_soleil"", ""yuzuki""]"
secondary,isekai,supernatural,1,"[""yuzuki""]"
secondary,isekai,survival,0,[]
secondary,magical,martial,0,[]
secondary,magical,mecha,1,"[""s_peko""]"
secondary,magical,military,2,"[""s_takeshi"", ""s_linh""]"
secondary,magical,mystery,1,"[""s_tobi""]"
secondary,magical,mythology,0,[]
secondary,magical,nordic,1,"[""s_maki""]"
secondary,magical,pirate,1,"[""s_linh""]"
secondary,magical,romance,0,[]
secondary,magical,samurai,0,[]
secondary,magical,shinobi,0,[]
secondary,magical,slice,0,[]
secondary,magical,space,0,[]
secondary,magical,sports,1,"[""s_takeshi""]"
secondary,magical,supernatural,0,[]
secondary,magical,survival,1,"[""s_maki""]"
secondary,martial,mecha,0,[]
secondary,martial,military,0,[]
secondary,martial,mystery,1,"[""s_alfred""]"
secondary,martial,mythology,1,"[""s_ichiro""]"
secondary,martial,nordic,1,"[""s_eiji""]"
secondary,martial,pirate,0,[]
secondary,martial,romance,3,"[""s_okada"", ""s_alfred"", ""s_kazuki""]"
secondary,martial,samurai,0,[]
secondary,martial,shinobi,0,[]
secondary,martial,slice,1,"[""s_eiji""]"
secondary,martial,space,0,[]
secondary,martial,sports,2,"[""s_okada"", ""s_riku""]"
secondary,martial,supernatural,0,[]
secondary,martial,survival,1,"[""s_riku""]"
secondary,mecha,military,1,"[""s_ironmaid""]"
secondary,mecha,mystery,1,"[""s_megu""]"
secondary,mecha,mythology,1,"[""s_pranav""]"
secondary,mecha,nordic,1,"[""s_ironmaid""]"
secondary,mecha,pirate,0,[]
secondary,mecha,romance,0,[]
secondary,mecha,samurai,0,[]
secondary,mecha,shinobi,0,[]
secondary,mecha,slice,2,"[""s_sosuke"", ""s_megu""]"
secondary,mecha,space,1,"[""tsubasa""]"
secondary,mecha,sports,0,[]
secondary,mecha,supernatural,1,"[""s_boone""]"
secondary,mecha,survival,1,"[""s_ken""]"
secondary,military,mystery,1,"[""s_gen""]"
secondary,military,mythology,1,"[""s_amina""]"
secondary,military,nordic,2,"[""s_ironmaid"", ""s_reina""]"
secondary,military,pirate,1,"[""s_linh""]"
secondary,military,romance,2,"[""s_kanna"", ""s_mika""]"
secondary,military,samurai,0,[]
secondary,military,shinobi,0,[]
secondary,military,slice,3,"[""s_momoko"", ""s_lulu"", ""s_mika""]"
secondary,military,space,0,[]
secondary,military,sports,2,"[""s_takeshi"", ""s_momoko""]"
secondary,military,supernatural,0,[]
secondary,military,survival,1,"[""s_amina""]"
secondary,mystery,mythology,1,"[""s_anna""]"
secondary,mystery,nordic,0,[]
secondary,mystery,pirate,1,"[""s_amber""]"
secondary,mystery,romance,2,"[""s_shin"", ""s_alfred""]"
secondary,mystery,samurai,0,[]
secondary,mystery,shinobi,0,[]
secondary,mystery,slice,1,"[""s_megu""]"
secondary,mystery,space,2,"[""s_shin"", ""s_nanami""]"
secondary,mystery,sports,1,"[""s_anna""]"
secondary,mystery,supernatural,1,"[""s_chiaki""]"
secondary,mystery,survival,0,[]
secondary,mythology,nordic,0,[]
secondary,mythology,pirate,0,[]
secondary,mythology,romance,0,[]
secondary,mythology,samurai,0,[]
secondary,mythology,shinobi,0,[]
secondary,mythology,slice,0,[]
secondary,mythology,space,0,[]
secondary,mythology,sports,2,"[""s_yuna"", ""s_anna""]"
secondary,mythology,supernatural,0,[]
secondary,mythology,survival,1,"[""s_amina""]"
secondary,nordic,pirate,0,[]
secondary,nordic,romance,0,[]
secondary,nordic,samurai,0,[]
secondary,nordic,shinobi,0,[]
secondary,nordic,slice,2,"[""s_eiji"", ""fumi""]"
secondary,nordic,space,0,[]
secondary,nordic,sports,0,[]
secondary,nordic,supernatural,0,[]
secondary,nordic,survival,1,"[""s_maki""]"
secondary,pirate,romance,0,[]
secondary,pirate,samurai,0,[]
secondary,pirate,shinobi,0,[]
secondary,pirate,slice,1,"[""s_aoi""]"
secondary,pirate,space,0,[]
secondary,pirate,sports,1,"[""s_akane""]"
secondary,pirate,supernatural,2,"[""s_tora"", ""s_ryo""]"
secondary,pirate,survival,1,"[""s_aoi""]"
secondary,romance,samurai,0,[]
secondary,romance,shinobi,0,[]
secondary,romance,slice,2,"[""s_mika"", ""s_nozomi""]"
secondary,romance,space,1,"[""s_shin""]"
secondary,romance,sports,1,"[""s_okada""]"
secondary,romance,supernatural,0,[]
secondary,romance,survival,2,"[""s_ice"", ""s_hina""]"
secondary,samurai,shinobi,0,[]
secondary,samurai,slice,0,[]
secondary,samurai,space,0,[]
secondary,samurai,sports,0,[]
secondary,samurai,supernatural,0,[]
secondary,samurai,survival,0,[]
secondary,shinobi,slice,0,[]
secondary,shinobi,space,0,[]
secondary,shinobi,sports,0,[]
secondary,shinobi,supernatural,0,[]
secondary,shinobi,survival,0,[]
secondary,slice,space,1,"[""s_ren""]"
secondary,slice,sports,2,"[""s_ren"", ""s_momoko""]"
secondary,slice,supernatural,0,[]
secondary,slice,survival,1,"[""s_aoi""]"
secondary,space,sports,1,"[""s_ren""]"
secondary,space,supernatural,0,[]
secondary,space,survival,0,[]
secondary,sports,supernatural,1,"[""yuzuki""]"
secondary,sports,survival,1,"[""s_riku""]"
secondary,supernatural,survival,0,[]
pet,comedy,cooking,1,"[""p_ponta""]"
pet,comedy,cyber,0,[]
pet,comedy,fantasy,0,[]
pet,comedy,horror,0,[]
pet,comedy,idol,0,[]
pet,comedy,isekai,0,[]
pet,comedy,magical,0,[]
pet,comedy,martial,1,"[""p_chacha""]"
pet,comedy,mecha,1,"[""p_ponta""]"
pet,comedy,military,2,"[""p_toro"", ""p_chibi""]"
pet,comedy,mystery,0,[]
pet,comedy,mythology,1,"[""p_nitro""]"
pet,comedy,nordic,1,"[""p_fuwa""]"
pet,comedy,pirate,1,"[""p_chacha""]"
pet,comedy,romance,0,[]
pet,comedy,samurai,0,[]
pet,comedy,shinobi,0,[]
pet,comedy,slice,1,"[""p_chibi""]"
pet,comedy,space,1,"[""p_fuwa""]"
pet,comedy,sports,1,"[""p_nitro""]"
pet,comedy,supernatural,1,"[""p_toro""]"
pet,comedy,survival,0,[]
pet,cooking,cyber,2,"[""p_pomu"", ""p_mocha""]"
pet,cooking,fantasy,2,"[""p_kiki2"", ""s_chika""]"
pet,cooking,horror,0,[]
pet,cooking,idol,1,"[""s_chika""]"
pet,cooking,isekai,1,"[""p_puri""]"
pet,cooking,magical,1,"[""p_kiki2""]"
pet,cooking,martial,0,[]
pet,cooking,mecha,2,"[""p_koro"", ""p_ponta""]"
pet,cooking,military,1,"[""p_pudding""]"
pet,cooking,mystery,1,"[""p_mocha""]"
pet,cooking,mythology,1,"[""p_fuu""]"
pet,cooking,nordic,2,"[""p_pomu"", ""p_puri""]"
pet,cooking,pirate,2,"[""p_fuu"", ""p_yuzu""]"
pet,cooking,romance,1,"[""p_goma""]"
pet,cooking,samurai,0,[]
pet,cooking,shinobi,0,[]
pet,cooking,slice,2,"[""p_pudding"", ""p_yuzu""]"
pet,cooking,space,1,"[""p_koro""]"
pet,cooking,sports,1,"[""p_goma""]"
pet,cooking,supernatural,0,[]
pet,cooking,survival,0,[]
pet,cyber,fantasy,0,[]
pet,cyber,horror,0,[]
pet,cyber,idol,0,[]
pet,cyber,isekai,1,"[""p_piko""]"
pet,cyber,magical,2,"[""p_pochi"", ""p_rin2""]"
pet,cyber,martial,0,[]
pet,cyber,mecha,1,"[""p_pochi""]"
pet,cyber,military,0,[]
pet,cyber,mystery,1,"[""p_mocha""]"
pet,cyber,mythology,1,"[""p_rin2""]"
pet,cyber,nordic,1,"[""p_pomu""]"
pet,cyber,pirate,1,"[""p_brine""]"
pet,cyber,romance,1,"[""p_piko""]"
pet,cyber,samurai,0,[]
pet,cyber,shinobi,0,[]
pet,cyber,slice,0,[]
pet,cyber,space,1,"[""p_brine""]"
pet,cyber,sports,1,"[""p_kuro""]"
pet,cyber,supernatural,1,"[""p_kuro""]"
pet,cyber,survival,0,[]
pet,fantasy,horror,1,"[""p_baku""]"
pet,fantasy,idol,1,"[""s_chika""]"
pet,fantasy,isekai,1,"[""p_drakko""]"
pet,fantasy,magical,3,"[""p_kiki2"", ""p_tama"", ""p_bloop""]"
pet,fantasy,martial,1,"[""p_drakko""]"
pet,fantasy,mecha,1,"[""p_tama""]"
pet,fantasy,military,0,[]
pet,fantasy,mystery,2,"[""p_maru"", ""p_momo2""]"
pet,fantasy,mythology,0,[]
pet,fantasy,nordic,1,"[""p_baku""]"
pet,fantasy,pirate,0,[]
pet,fantasy,romance,2,"[""p_gon"", ""p_momo2""]"
pet,fantasy,samurai,0,[]
pet,fantasy,shinobi,0,[]
pet,fantasy,slice,0,[]
pet,fantasy,space,1,"[""p_bloop""]"
pet,fantasy,sports,1,"[""p_maru""]"
pet,fantasy,supernatural,0,[]
pet,fantasy,survival,1,"[""p_gon""]"
pet,horror,idol,1,"[""p_kona""]"
pet,horror,isekai,0,[]
pet,horror,magical,2,"[""p_nibi"", ""p_stellar""]"
pet,horror,martial,0,[]
pet,horror,mecha,0,[]
pet,horror,military,0,[]
pet,horror,mystery,0,[]
pet,horror,mythology,0,[]
pet,horror,nordic,1,"[""p_baku""]"
pet,horror,pirate,0,[]
pet,horror,romance,1,"[""p_mochi""]"
pet,horror,samurai,0,[]
pet,horror,shinobi,0,[]
pet,horror,slice,1,"[""p_mochi""]"
pet,horror,space,1,"[""p_stellar""]"
pet,horror,sports,0,[]
pet,horror,supernatural,1,"[""p_nibi""]"
pet,horror,survival,1,"[""p_kona""]"
pet,idol,isekai,0,[]
pet,idol,magical,1,"[""p_ruri""]"
pet,idol,martial,0,[]
pet,idol,mecha,0,[]
pet,idol,military,1,"[""p_ruri""]"
pet,idol,mystery,1,"[""s_koko""]"
pet,idol,mythology,0,[]
pet,idol,nordic,0,[]
pet,idol,pirate,0,[]
pet,idol,romance,0,[]
pet,idol,samurai,0,[]
pet,idol,shinobi,0,[]
pet,idol,slice,0,[]
pet,idol,space,0,[]
pet,idol,sports,0,[]
pet,idol,supernatural,1,"[""s_koko""]"
pet,idol,survival,1,"[""p_kona""]"
pet,isekai,magical,1,"[""p_peko""]"
pet,isekai,martial,1,"[""p_drakko""]"
pet,isekai,mecha,0,[]
pet,isekai,military,0,[]
pet,isekai,mystery,0,[]
pet,isekai,mythology,0,[]
pet,isekai,nordic,1,"[""p_puri""]"
pet,isekai,pirate,0,[]
pet,isekai,romance,1,"[""p_piko""]"
pet,isekai,samurai,0,[]
pet,isekai,shinobi,0,[]
pet,isekai,slice,0,[]
pet,isekai,space,0,[]
pet,isekai,sports,0,[]
pet,isekai,supernatural,0,[]
pet,isekai,survival,1,"[""p_peko""]"
pet,magical,martial,0,[]
pet,magical,mecha,2,"[""p_pochi"", ""p_tama""]"
pet,magical,military,1,"[""p_ruri""]"
pet,magical,mystery,0,[]
pet,magical,mythology,1,"[""p_rin2""]"
pet,magical,nordic,0,[]
pet,magical,pirate,2,"[""p_silt"", ""p_sora""]"
pet,magical,romance,0,[]
pet,magical,samurai,0,[]
pet,magical,shinobi,0,[]
pet,magical,slice,1,"[""p_sora""]"
pet,magical,space,3,"[""p_nya"", ""p_bloop"", ""p_stellar""]"
pet,magical,sports,0,[]
pet,magical,supernatural,2,"[""p_nibi"", ""p_nya""]"
pet,magical,survival,2,"[""p_silt"", ""p_peko""]"
pet,martial,mecha,0,[]
pet,martial,military,0,[]
pet,martial,mystery,0,[]
pet,martial,mythology,1,"[""p_lumen""]"
pet,martial,nordic,1,"[""p_lumen""]"
pet,martial,pirate,1,"[""p_chacha""]"
pet,martial,romance,1,"[""p_sakumi""]"
pet,martial,samurai,0,[]
pet,martial,shinobi,0,[]
pet,martial,slice,0,[]
pet,martial,space,0,[]
pet,martial,sports,0,[]
pet,martial,supernatural,1,"[""p_sakumi""]"
pet,martial,survival,0,[]
pet,mecha,military,0,[]
pet,mecha,mystery,1,"[""p_cogsworth""]"
pet,mecha,mythology,0,[]
pet,mecha,nordic,0,[]
pet,mecha,pirate,1,"[""p_cogsworth""]"
pet,mecha,romance,0,[]
pet,mecha,samurai,0,[]
pet,mecha,shinobi,0,[]
pet,mecha,slice,1,"[""p_teto""]"
pet,mecha,space,1,"[""p_koro""]"
pet,mecha,sports,1,"[""p_teto""]"
pet,mecha,supernatural,0,[]
pet,mecha,survival,0,[]
pet,military,mystery,0,[]
pet,military,mythology,0,[]
pet,military,nordic,0,[]
pet,military,pirate,0,[]
pet,military,romance,1,"[""p_hachi""]"
pet,military,samurai,0,[]
pet,military,shinobi,0,[]
pet,military,slice,3,"[""p_loader"", ""p_chibi"", ""p_pudding""]"
pet,military,space,0,[]
pet,military,sports,1,"[""p_hachi""]"
pet,military,supernatural,1,"[""p_toro""]"
