role,anime_type,genre_a,genre_b,witness_id
protag,shonen,fantasy,mythology,v4_lead_shonen_003
protag,shonen,fantasy,nordic,v4_lead_shonen_035
protag,shonen,fantasy,samurai,cv3_lead_019
protag,shonen,fantasy,shinobi,cv3_lead_020
protag,shonen,idol,mystery,riko
protag,shonen,comedy,idol,momo
protag,shonen,cooking,idol,cv3_lead_009
protag,shonen,idol,military,v4_lead_shonen_019
protag,shonen,idol,supernatural,cv3_lead_017
protag,shonen,idol,space,v4_lead_shonen_020
protag,shonen,idol,magical,v4_lead_shonen_021
protag,shonen,idol,survival,momo
protag,shonen,idol,pirate,v4_lead_shonen_020
protag,shonen,idol,martial,v4_lead_shonen_010
protag,shonen,idol,mythology,v4_lead_shonen_005
protag,shonen,idol,nordic,v4_lead_shonen_021
protag,shonen,idol,samurai,v4_lead_shonen_017
protag,shonen,idol,shinobi,v4_lead_shonen_019
protag,shonen,comedy,mystery,cv3_lead_005
protag,shonen,cooking,mystery,cv3_lead_010
protag,shonen,military,mystery,cv3_lead_005
protag,shonen,mystery,supernatural,cv3_lead_055
protag,shonen,mystery,space,v4_lead_shonen_015
protag,shonen,magical,mystery,v4_lead_shonen_022
protag,shonen,mystery,survival,v4_lead_shonen_023
protag,shonen,mystery,pirate,mako
protag,shonen,martial,mystery,v4_lead_shonen_006
protag,shonen,mystery,mythology,v4_lead_shonen_022
protag,shonen,mystery,nordic,akira
protag,shonen,mystery,samurai,v4_lead_shonen_023
protag,shonen,mystery,shinobi,cv3_lead_010
protag,shonen,comedy,cooking,cv3_lead_001
protag,shonen,comedy,military,cv3_lead_005
protag,shonen,comedy,supernatural,cv3_lead_007
protag,shonen,comedy,space,cv3_lead_002
protag,shonen,comedy,magical,cv3_lead_003
protag,shonen,comedy,survival,momo
protag,shonen,comedy,pirate,cv3_lead_001
protag,shonen,comedy,martial,kenta
protag,shonen,comedy,mythology,kenta
protag,shonen,comedy,nordic,v4_lead_shonen_007
protag,shonen,comedy,samurai,cv3_lead_007
protag,shonen,comedy,shinobi,cv3_lead_003
protag,shonen,cooking,military,v4_lead_shonen_011
protag,shonen,cooking,supernatural,cv3_lead_008
protag,shonen,cooking,space,cv3_lead_002
protag,shonen,cooking,magical,n_mikoto
protag,shonen,cooking,survival,v4_lead_shonen_034
protag,shonen,cooking,pirate,cv3_lead_001
protag,shonen,cooking,martial,kai
protag,shonen,cooking,mythology,cv3_lead_011
protag,shonen,cooking,nordic,cv3_lead_012
protag,shonen,cooking,samurai,cv3_lead_011
protag,shonen,cooking,shinobi,cv3_lead_010
protag,shonen,military,supernatural,daichi
protag,shonen,military,space,rei
protag,shonen,magical,military,v4_lead_shonen_024
protag,shonen,military,survival,daichi
protag,shonen,military,pirate,v4_lead_shonen_024
protag,shonen,martial,military,kuro
protag,shonen,military,mythology,v4_lead_shonen_025
protag,shonen,military,nordic,v4_lead_shonen_025
protag,shonen,military,samurai,v4_lead_shonen_036
protag,shonen,military,shinobi,v4_lead_shonen_019
protag,shonen,space,supernatural,v4_lead_shonen_008
protag,shonen,magical,supernatural,cv3_lead_023
protag,shonen,supernatural,survival,daichi
protag,shonen,pirate,supernatural,v4_lead_shonen_026
protag,shonen,martial,supernatural,v4_lead_shonen_027
protag,shonen,mythology,supernatural,suzume
protag,shonen,nordic,supernatural,v4_lead_shonen_027
protag,shonen,samurai,supernatural,cv3_lead_007
protag,shonen,shinobi,supernatural,v4_lead_shonen_026
protag,shonen,magical,space,sakura
protag,shonen,space,survival,v4_lead_shonen_028
protag,shonen,pirate,space,v4_lead_shonen_020
protag,shonen,martial,space,sakura
protag,shonen,mythology,space,v4_lead_shonen_028
protag,shonen,nordic,space,v4_lead_shonen_018
protag,shonen,samurai,space,cv3_lead_019
protag,shonen,shinobi,space,cv3_lead_016
protag,shonen,magical,survival,v4_lead_shonen_016
protag,shonen,magical,pirate,v4_lead_shonen_024
protag,shonen,magical,martial,goro
protag,shonen,magical,mythology,v4_lead_shonen_022
protag,shonen,magical,nordic,v4_lead_shonen_021
protag,shonen,magical,samurai,cv3_lead_022
protag,shonen,magical,shinobi,cv3_lead_003
protag,shonen,pirate,survival,v4_lead_shonen_029
protag,shonen,martial,survival,v4_lead_shonen_029
protag,shonen,mythology,survival,v4_lead_shonen_028
protag,shonen,nordic,survival,yuki
protag,shonen,samurai,survival,v4_lead_shonen_023
protag,shonen,shinobi,survival,cv3_lead_020
protag,shonen,martial,pirate,v4_lead_shonen_029
protag,shonen,mythology,pirate,cv3_lead_025
protag,shonen,nordic,pirate,v4_lead_shonen_004
protag,shonen,pirate,samurai,cv3_lead_015
protag,shonen,pirate,shinobi,v4_lead_shonen_026
protag,shonen,martial,mythology,kenta
protag,shonen,martial,nordic,v4_lead_shonen_027
protag,shonen,martial,samurai,v4_lead_shonen_030
protag,shonen,martial,shinobi,v4_lead_shonen_030
protag,shonen,mythology,nordic,v4_lead_shonen_025
protag,shonen,mythology,samurai,cv3_lead_011
protag,shonen,mythology,shinobi,cv3_lead_056
protag,shonen,nordic,samurai,v4_lead_shonen_035
protag,shonen,nordic,shinobi,v4_lead_shonen_012
protag,shonen,samurai,shinobi,v4_lead_shonen_030
protag,shojo,isekai,mecha,cv3_lead_029
protag,shojo,mecha,slice,v4_lead_shojo_001
protag,shojo,horror,mecha,v4_lead_shojo_001
protag,shojo,mecha,romance,takumi
protag,shojo,mecha,sports,v4_lead_shojo_002
protag,shojo,cyber,mecha,cv3_lead_057
protag,shojo,fantasy,mecha,kota
protag,shojo,idol,mecha,v4_lead_shojo_003
protag,shojo,mecha,mystery,takumi
protag,shojo,comedy,mecha,v4_lead_shojo_004
protag,shojo,cooking,mecha,v4_lead_shojo_003
protag,shojo,mecha,military,v4_lead_shojo_005
protag,shojo,mecha,supernatural,cv3_lead_038
protag,shojo,mecha,space,cv3_lead_057
protag,shojo,magical,mecha,v4_lead_shojo_002
protag,shojo,mecha,survival,v4_lead_shojo_004
protag,shojo,mecha,pirate,cv3_lead_038
protag,shojo,martial,mecha,v4_lead_shojo_005
protag,shojo,mecha,mythology,cv3_lead_037
protag,shojo,mecha,nordic,kota
protag,shojo,mecha,samurai,cv3_lead_029
protag,shojo,mecha,shinobi,cv3_lead_037
protag,shojo,isekai,slice,cv3_lead_031
protag,shojo,horror,isekai,v4_lead_shojo_006
protag,shojo,isekai,romance,v4_lead_shojo_007
protag,shojo,isekai,sports,cv3_lead_030
protag,shojo,cyber,isekai,cv3_lead_058
protag,shojo,fantasy,isekai,n_aoi
protag,shojo,idol,isekai,n_saku
protag,shojo,isekai,mystery,cv3_lead_030
protag,shojo,comedy,isekai,jun
protag,shojo,cooking,isekai,v4_lead_shojo_007
protag,shojo,isekai,military,v4_lead_shojo_006
protag,shojo,isekai,supernatural,cv3_lead_031
protag,shojo,isekai,space,cv3_lead_032
protag,shojo,isekai,magical,v4_lead_shojo_008
protag,shojo,isekai,survival,v4_lead_shojo_035
protag,shojo,isekai,pirate,v4_lead_shojo_035
protag,shojo,isekai,martial,n_saku
protag,shojo,isekai,mythology,n_aoi
protag,shojo,isekai,nordic,jun
protag,shojo,isekai,samurai,cv3_lead_029
protag,shojo,isekai,shinobi,v4_lead_shojo_008
protag,shojo,horror,slice,v4_lead_shojo_001
protag,shojo,romance,slice,cv3_lead_049
protag,shojo,slice,sports,v4_lead_shojo_009
protag,shojo,cyber,slice,sota
protag,shojo,fantasy,slice,v4_lead_shojo_009
protag,shojo,idol,slice,cv3_lead_028
protag,shojo,mystery,slice,shiro
protag,shojo,comedy,slice,v4_lead_shojo_036
protag,shojo,cooking,slice,yui
protag,shojo,military,slice,cv3_lead_041
protag,shojo,slice,supernatural,cv3_lead_031
protag,shojo,slice,space,v4_lead_shojo_010
protag,shojo,magical,slice,v4_lead_shojo_010
protag,shojo,slice,survival,yui
protag,shojo,pirate,slice,shiro
protag,shojo,martial,slice,kaede
protag,shojo,mythology,slice,sota
protag,shojo,nordic,slice,kaede
protag,shojo,samurai,slice,cv3_lead_041
protag,shojo,shinobi,slice,cv3_lead_028
protag,shojo,horror,romance,haru
protag,shojo,horror,sports,haru
protag,shojo,cyber,horror,v4_lead_shojo_011
protag,shojo,fantasy,horror,shiori
protag,shojo,horror,idol,v4_lead_shojo_012
protag,shojo,horror,mystery,v4_lead_shojo_011
protag,shojo,comedy,horror,shiori
protag,shojo,cooking,horror,v4_lead_shojo_013
protag,shojo,horror,military,v4_lead_shojo_006
protag,shojo,horror,supernatural,v4_lead_shojo_012
protag,shojo,horror,space,v4_lead_shojo_014
protag,shojo,horror,magical,v4_lead_shojo_015
protag,shojo,horror,survival,v4_lead_shojo_016
protag,shojo,horror,pirate,v4_lead_shojo_017
protag,shojo,horror,martial,v4_lead_shojo_015
protag,shojo,horror,mythology,v4_lead_shojo_017
protag,shojo,horror,nordic,v4_lead_shojo_013
protag,shojo,horror,samurai,v4_lead_shojo_014
protag,shojo,horror,shinobi,v4_lead_shojo_016
protag,shojo,romance,sports,haru
protag,shojo,cyber,romance,hana
protag,shojo,fantasy,romance,v4_lead_shojo_018
protag,shojo,idol,romance,mio
protag,shojo,mystery,romance,takumi
protag,shojo,comedy,romance,v4_lead_shojo_036
protag,shojo,cooking,romance,v4_lead_shojo_007
protag,shojo,military,romance,hikari
protag,shojo,romance,supernatural,itsuki
protag,shojo,romance,space,n_chisato
protag,shojo,magical,romance,hikari
protag,shojo,romance,survival,itsuki
protag,shojo,pirate,romance,mio
protag,shojo,martial,romance,v4_lead_shojo_018
protag,shojo,mythology,romance,hana
protag,shojo,nordic,romance,v4_lead_shojo_040
protag,shojo,romance,samurai,cv3_lead_045
protag,shojo,romance,shinobi,cv3_lead_045
protag,shojo,cyber,sports,v4_lead_shojo_019
protag,shojo,fantasy,sports,v4_lead_shojo_009
protag,shojo,idol,sports,leo
protag,shojo,mystery,sports,cv3_lead_030
protag,shojo,comedy,sports,cv3_lead_059
protag,shojo,cooking,sports,v4_lead_shojo_020
protag,shojo,military,sports,leo
protag,shojo,sports,supernatural,v4_lead_shojo_037
protag,shojo,space,sports,n_chisato
protag,shojo,magical,sports,v4_lead_shojo_002
protag,shojo,sports,survival,cv3_lead_046
protag,shojo,pirate,sports,cv3_lead_059
protag,shojo,martial,sports,v4_lead_shojo_019
protag,shojo,mythology,sports,v4_lead_shojo_020
protag,shojo,nordic,sports,cv3_lead_044
protag,shojo,samurai,sports,cv3_lead_046
protag,shojo,shinobi,sports,cv3_lead_044
protag,shojo,cyber,fantasy,v4_lead_shojo_021
protag,shojo,cyber,idol,nana
protag,shojo,cyber,mystery,v4_lead_shojo_011
protag,shojo,comedy,cyber,nana
protag,shojo,cooking,cyber,v4_lead_shojo_022
protag,shojo,cyber,military,v4_lead_shojo_023
protag,shojo,cyber,supernatural,cv3_lead_058
protag,shojo,cyber,space,cv3_lead_057
protag,shojo,cyber,magical,v4_lead_shojo_024
protag,shojo,cyber,survival,v4_lead_shojo_023
protag,shojo,cyber,pirate,v4_lead_shojo_022
protag,shojo,cyber,martial,v4_lead_shojo_019
protag,shojo,cyber,mythology,sota
protag,shojo,cyber,nordic,v4_lead_shojo_040
protag,shojo,cyber,samurai,v4_lead_shojo_024
protag,shojo,cyber,shinobi,v4_lead_shojo_021
protag,shojo,fantasy,idol,v4_lead_shojo_025
protag,shojo,fantasy,mystery,v4_lead_shojo_026
protag,shojo,comedy,fantasy,shiori
protag,shojo,cooking,fantasy,v4_lead_shojo_026
protag,shojo,fantasy,military,v4_lead_shojo_027
protag,shojo,fantasy,supernatural,cv3_lead_060
protag,shojo,fantasy,space,v4_lead_shojo_027
protag,shojo,fantasy,magical,v4_lead_shojo_039
protag,shojo,fantasy,survival,v4_lead_shojo_025
protag,shojo,fantasy,pirate,v4_lead_shojo_028
protag,shojo,fantasy,martial,v4_lead_shojo_018
protag,shojo,fantasy,mythology,n_aoi
protag,shojo,fantasy,nordic,kota
protag,shojo,fantasy,samurai,v4_lead_shojo_028
protag,shojo,fantasy,shinobi,v4_lead_shojo_021
protag,shojo,idol,mystery,n_reiwa
protag,shojo,comedy,idol,nana
protag,shojo,cooking,idol,v4_lead_shojo_003
protag,shojo,idol,military,leo
protag,shojo,idol,supernatural,v4_lead_shojo_012
protag,shojo,idol,space,mira
protag,shojo,idol,magical,n_reiwa
protag,shojo,idol,survival,v4_lead_shojo_025
protag,shojo,idol,pirate,mio
protag,shojo,idol,martial,n_saku
protag,shojo,idol,mythology,mira
protag,shojo,idol,nordic,cv3_lead_027
protag,shojo,idol,samurai,cv3_lead_027
protag,shojo,idol,shinobi,cv3_lead_028
protag,shojo,comedy,mystery,v4_lead_shojo_029
protag,shojo,cooking,mystery,v4_lead_shojo_026
protag,shojo,military,mystery,v4_lead_shojo_029
protag,shojo,mystery,supernatural,renji
protag,shojo,mystery,space,cv3_lead_042
protag,shojo,magical,mystery,n_reiwa
protag,shojo,mystery,survival,cv3_lead_042
protag,shojo,mystery,pirate,shiro
protag,shojo,martial,mystery,cv3_lead_035
protag,shojo,mystery,mythology,saki
protag,shojo,mystery,nordic,renji
protag,shojo,mystery,samurai,cv3_lead_035
protag,shojo,mystery,shinobi,v4_lead_shojo_041
protag,shojo,comedy,cooking,v4_lead_shojo_030
protag,shojo,comedy,military,v4_lead_shojo_029
protag,shojo,comedy,supernatural,cv3_lead_060
protag,shojo,comedy,space,v4_lead_shojo_031
protag,shojo,comedy,magical,v4_lead_shojo_039
protag,shojo,comedy,survival,v4_lead_shojo_004
protag,shojo,comedy,pirate,cv3_lead_059
protag,shojo,comedy,martial,v4_lead_shojo_032
protag,shojo,comedy,mythology,v4_lead_shojo_032
protag,shojo,comedy,nordic,jun
protag,shojo,comedy,samurai,v4_lead_shojo_030
protag,shojo,comedy,shinobi,v4_lead_shojo_031
protag,shojo,cooking,military,emi
protag,shojo,cooking,supernatural,v4_lead_shojo_038
protag,shojo,cooking,space,v4_lead_shojo_033
protag,shojo,cooking,magical,emi
protag,shojo,cooking,survival,yui
protag,shojo,cooking,pirate,v4_lead_shojo_022
protag,shojo,cooking,martial,v4_lead_shojo_033
protag,shojo,cooking,mythology,v4_lead_shojo_020
protag,shojo,cooking,nordic,v4_lead_shojo_013
protag,shojo,cooking,samurai,v4_lead_shojo_030
protag,shojo,cooking,shinobi,cv3_lead_050
protag,shojo,military,supernatural,v4_lead_shojo_037
protag,shojo,military,space,v4_lead_shojo_027
protag,shojo,magical,military,hikari
protag,shojo,military,survival,v4_lead_shojo_023
protag,shojo,military,pirate,cv3_lead_040
protag,shojo,martial,military,v4_lead_shojo_005
protag,shojo,military,mythology,cv3_lead_039
protag,shojo,military,nordic,cv3_lead_039
protag,shojo,military,samurai,cv3_lead_041
protag,shojo,military,shinobi,cv3_lead_040
protag,shojo,space,supernatural,cv3_lead_032
protag,shojo,magical,supernatural,v4_lead_shojo_038
protag,shojo,supernatural,survival,itsuki
protag,shojo,pirate,supernatural,cv3_lead_038
protag,shojo,martial,supernatural,cv3_lead_036
protag,shojo,mythology,supernatural,v4_lead_shojo_034
protag,shojo,nordic,supernatural,renji
protag,shojo,samurai,supernatural,v4_lead_shojo_034
protag,shojo,shinobi,supernatural,cv3_lead_036
protag,shojo,magical,space,v4_lead_shojo_010
protag,shojo,space,survival,cv3_lead_042
protag,shojo,pirate,space,cv3_lead_043
protag,shojo,martial,space,v4_lead_shojo_033
protag,shojo,mythology,space,mira
protag,shojo,nordic,space,cv3_lead_043
protag,shojo,samurai,space,v4_lead_shojo_014
protag,shojo,shinobi,space,v4_lead_shojo_031
protag,shojo,magical,survival,cv3_lead_033
protag,shojo,magical,pirate,cv3_lead_034
protag,shojo,magical,martial,v4_lead_shojo_015
protag,shojo,magical,mythology,cv3_lead_033
protag,shojo,magical,nordic,cv3_lead_034
protag,shojo,magical,samurai,v4_lead_shojo_024
protag,shojo,magical,shinobi,v4_lead_shojo_008
protag,shojo,pirate,survival,ash
protag,shojo,martial,survival,ash
protag,shojo,mythology,survival,cv3_lead_033
protag,shojo,nordic,survival,cv3_lead_051
protag,shojo,samurai,survival,cv3_lead_046
protag,shojo,shinobi,survival,v4_lead_shojo_016
protag,shojo,martial,pirate,ash
protag,shojo,mythology,pirate,v4_lead_shojo_017
protag,shojo,nordic,pirate,cv3_lead_034
protag,shojo,pirate,samurai,v4_lead_shojo_028
protag,shojo,pirate,shinobi,cv3_lead_040
protag,shojo,martial,mythology,v4_lead_shojo_032
protag,shojo,martial,nordic,kaede
protag,shojo,martial,samurai,cv3_lead_035
protag,shojo,martial,shinobi,cv3_lead_036
protag,shojo,mythology,nordic,cv3_lead_039
protag,shojo,mythology,samurai,v4_lead_shojo_034
protag,shojo,mythology,shinobi,cv3_lead_037
protag,shojo,nordic,samurai,cv3_lead_027
protag,shojo,nordic,shinobi,cv3_lead_044
protag,shojo,samurai,shinobi,cv3_lead_045
secondary,shonen,isekai,mecha,tsubasa
secondary,shonen,mecha,slice,v4_sidekick_shonen_001
secondary,shonen,horror,mecha,v4_sidekick_shonen_001
secondary,shonen,mecha,romance,v4_sidekick_shonen_002
secondary,shonen,mecha,sports,v4_sidekick_shonen_003
secondary,shonen,cyber,mecha,s_daiki
secondary,shonen,fantasy,mecha,s_ken
secondary,shonen,idol,mecha,v4_sidekick_shonen_004
secondary,shonen,mecha,mystery,v4_sidekick_shonen_002
secondary,shonen,comedy,mecha,s_peko
secondary,shonen,cooking,mecha,s_daiki
secondary,shonen,mecha,military,s_ironmaid
secondary,shonen,mecha,supernatural,s_boone
secondary,shonen,mecha,space,tsubasa
secondary,shonen,magical,mecha,s_peko
secondary,shonen,mecha,survival,s_ken
secondary,shonen,mecha,pirate,v4_sidekick_shonen_005
secondary,shonen,martial,mecha,v4_sidekick_shonen_004
secondary,shonen,mecha,mythology,v4_sidekick_shonen_005
secondary,shonen,mecha,nordic,s_ironmaid
secondary,shonen,mecha,samurai,cv3_sidekick_053
secondary,shonen,mecha,shinobi,v4_sidekick_shonen_003
secondary,shonen,isekai,slice,v4_sidekick_shonen_006
secondary,shonen,horror,isekai,cv3_sidekick_007
secondary,shonen,isekai,romance,v4_sidekick_shonen_007
secondary,shonen,isekai,sports,v4_sidekick_shonen_008
secondary,shonen,cyber,isekai,cv3_sidekick_002
secondary,shonen,fantasy,isekai,v4_sidekick_shonen_006
secondary,shonen,idol,isekai,v4_sidekick_shonen_007
secondary,shonen,isekai,mystery,s_amber
secondary,shonen,comedy,isekai,cv3_sidekick_002
secondary,shonen,cooking,isekai,cv3_sidekick_007
secondary,shonen,isekai,military,v4_sidekick_shonen_009
secondary,shonen,isekai,supernatural,v4_sidekick_shonen_008
secondary,shonen,isekai,space,tsubasa
secondary,shonen,isekai,magical,v4_sidekick_shonen_010
secondary,shonen,isekai,survival,v4_sidekick_shonen_011
secondary,shonen,isekai,pirate,s_amber
secondary,shonen,isekai,martial,v4_sidekick_shonen_010
secondary,shonen,isekai,mythology,cv3_sidekick_054
secondary,shonen,isekai,nordic,cv3_sidekick_054
secondary,shonen,isekai,samurai,v4_sidekick_shonen_009
secondary,shonen,isekai,shinobi,v4_sidekick_shonen_011
secondary,shonen,horror,slice,v4_sidekick_shonen_001
secondary,shonen,romance,slice,v4_sidekick_shonen_012
secondary,shonen,slice,sports,s_ren
secondary,shonen,cyber,slice,cv3_sidekick_018
secondary,shonen,fantasy,slice,v4_sidekick_shonen_006
secondary,shonen,idol,slice,v4_sidekick_shonen_013
secondary,shonen,mystery,slice,v4_sidekick_shonen_014
secondary,shonen,comedy,slice,cv3_sidekick_001
secondary,shonen,cooking,slice,cv3_sidekick_001
secondary,shonen,military,slice,s_momoko
secondary,shonen,slice,supernatural,v4_sidekick_shonen_013
secondary,shonen,slice,space,s_ren
secondary,shonen,magical,slice,v4_sidekick_shonen_015
secondary,shonen,slice,survival,v4_sidekick_shonen_035
secondary,shonen,pirate,slice,v4_sidekick_shonen_015
secondary,shonen,martial,slice,s_eiji
secondary,shonen,mythology,slice,v4_sidekick_shonen_014
secondary,shonen,nordic,slice,s_eiji
secondary,shonen,samurai,slice,cv3_sidekick_018
secondary,shonen,shinobi,slice,v4_sidekick_shonen_012
secondary,shonen,horror,romance,v4_sidekick_shonen_016
secondary,shonen,horror,sports,s_bolt
secondary,shonen,cyber,horror,cv3_sidekick_014
secondary,shonen,fantasy,horror,cv3_sidekick_020
secondary,shonen,horror,idol,v4_sidekick_shonen_017
secondary,shonen,horror,mystery,s_chiaki
secondary,shonen,comedy,horror,s_bolt
secondary,shonen,cooking,horror,cv3_sidekick_007
secondary,shonen,horror,military,cv3_sidekick_025
secondary,shonen,horror,supernatural,s_chiaki
secondary,shonen,horror,space,cv3_sidekick_024
secondary,shonen,horror,magical,cv3_sidekick_020
secondary,shonen,horror,survival,v4_sidekick_shonen_016
secondary,shonen,horror,pirate,cv3_sidekick_026
secondary,shonen,horror,martial,cv3_sidekick_024
secondary,shonen,horror,mythology,cv3_sidekick_014
secondary,shonen,horror,nordic,cv3_sidekick_026
secondary,shonen,horror,samurai,v4_sidekick_shonen_017
secondary,shonen,horror,shinobi,cv3_sidekick_025
secondary,shonen,romance,sports,s_okada
secondary,shonen,cyber,romance,s_kanna
secondary,shonen,fantasy,romance,v4_sidekick_shonen_029
secondary,shonen,idol,romance,v4_sidekick_shonen_007
secondary,shonen,mystery,romance,v4_sidekick_shonen_002
