role,genre_a,genre_b,existing_ids,new_ids,total,status
protag,samurai,space,[],"[""cv3_lead_019""]",1,COVERED
protag,samurai,sports,[],"[""cv3_lead_046""]",1,COVERED
protag,samurai,supernatural,[],"[""cv3_lead_007""]",1,COVERED
protag,samurai,survival,[],"[""cv3_lead_046"", ""cv3_lead_051""]",2,COVERED
protag,shinobi,slice,[],"[""cv3_lead_028"", ""cv3_lead_050""]",2,COVERED
protag,shinobi,space,[],"[""cv3_lead_016""]",1,COVERED
protag,shinobi,sports,[],"[""cv3_lead_044"", ""cv3_lead_052""]",2,COVERED
protag,shinobi,supernatural,[],"[""cv3_lead_036""]",1,COVERED
protag,shinobi,survival,[],"[""cv3_lead_020""]",1,COVERED
protag,slice,space,[],"[""cv3_lead_026""]",1,COVERED
protag,slice,sports,"[""rin""]",[],1,COVERED
protag,slice,supernatural,[],"[""cv3_lead_031""]",1,COVERED
protag,slice,survival,"[""jin"", ""yui""]",[],2,COVERED
protag,space,sports,"[""n_chisato""]",[],1,COVERED
protag,space,supernatural,[],"[""cv3_lead_032""]",1,COVERED
protag,space,survival,[],"[""cv3_lead_042""]",1,COVERED
protag,sports,supernatural,"[""suzume""]",[],1,COVERED
protag,sports,survival,[],"[""cv3_lead_046""]",1,COVERED
protag,supernatural,survival,"[""daichi"", ""itsuki""]",[],2,COVERED
secondary,comedy,cooking,[],"[""cv3_sidekick_001""]",1,COVERED
secondary,comedy,cyber,[],"[""cv3_sidekick_002""]",1,COVERED
secondary,comedy,fantasy,[],"[""cv3_sidekick_003""]",1,COVERED
secondary,comedy,horror,"[""s_bolt""]",[],1,COVERED
secondary,comedy,idol,"[""s_kiki""]",[],1,COVERED
secondary,comedy,isekai,[],"[""cv3_sidekick_002""]",1,COVERED
secondary,comedy,magical,"[""s_peko""]",[],1,COVERED
secondary,comedy,martial,"[""s_ichiro"", ""s_kazuki""]",[],2,COVERED
secondary,comedy,mecha,"[""s_peko""]",[],1,COVERED
secondary,comedy,military,[],"[""cv3_sidekick_003""]",1,COVERED
secondary,comedy,mystery,"[""s_nanami""]",[],1,COVERED
secondary,comedy,mythology,"[""s_ichiro""]",[],1,COVERED
secondary,comedy,nordic,[],"[""cv3_sidekick_004""]",1,COVERED
secondary,comedy,pirate,[],"[""cv3_sidekick_005""]",1,COVERED
secondary,comedy,romance,"[""s_kazuki""]","[""cv3_sidekick_004""]",2,COVERED
secondary,comedy,samurai,[],"[""cv3_sidekick_006""]",1,COVERED
secondary,comedy,shinobi,[],"[""cv3_sidekick_005""]",1,COVERED
secondary,comedy,slice,[],"[""cv3_sidekick_001""]",1,COVERED
secondary,comedy,space,"[""s_nanami""]",[],1,COVERED
secondary,comedy,sports,"[""s_bolt""]",[],1,COVERED
secondary,comedy,supernatural,[],"[""cv3_sidekick_006""]",1,COVERED
secondary,comedy,survival,"[""s_kiki""]",[],1,COVERED
secondary,cooking,cyber,"[""s_daiki""]",[],1,COVERED
secondary,cooking,fantasy,"[""taro""]",[],1,COVERED
secondary,cooking,horror,[],"[""cv3_sidekick_007""]",1,COVERED
secondary,cooking,idol,[],"[""cv3_sidekick_008""]",1,COVERED
secondary,cooking,isekai,[],"[""cv3_sidekick_007""]",1,COVERED
secondary,cooking,magical,[],"[""cv3_sidekick_009""]",1,COVERED
secondary,cooking,martial,[],"[""cv3_sidekick_010""]",1,COVERED
secondary,cooking,mecha,"[""s_daiki"", ""s_boone"", ""s_pranav""]",[],3,COVERED
secondary,cooking,military,"[""s_reina""]",[],1,COVERED
secondary,cooking,mystery,[],"[""cv3_sidekick_011""]",1,COVERED
secondary,cooking,mythology,"[""s_pranav""]",[],1,COVERED
secondary,cooking,nordic,"[""s_reina""]",[],1,COVERED
secondary,cooking,pirate,[],"[""cv3_sidekick_010""]",1,COVERED
secondary,cooking,romance,[],"[""cv3_sidekick_009""]",1,COVERED
secondary,cooking,samurai,[],"[""cv3_sidekick_012""]",1,COVERED
secondary,cooking,shinobi,[],"[""cv3_sidekick_008"", ""cv3_sidekick_052""]",2,COVERED
secondary,cooking,slice,[],"[""cv3_sidekick_001""]",1,COVERED
secondary,cooking,space,"[""taro""]",[],1,COVERED
secondary,cooking,sports,[],"[""cv3_sidekick_012""]",1,COVERED
secondary,cooking,supernatural,"[""s_boone""]",[],1,COVERED
secondary,cooking,survival,[],"[""cv3_sidekick_011"", ""cv3_sidekick_052""]",2,COVERED
secondary,cyber,fantasy,[],"[""cv3_sidekick_013""]",1,COVERED
secondary,cyber,horror,[],"[""cv3_sidekick_014""]",1,COVERED
secondary,cyber,idol,"[""s_mimi""]","[""cv3_sidekick_013""]",2,COVERED
secondary,cyber,isekai,[],"[""cv3_sidekick_002""]",1,COVERED
secondary,cyber,magical,"[""s_tobi"", ""s_mimi""]",[],2,COVERED
secondary,cyber,martial,[],"[""cv3_sidekick_015""]",1,COVERED
secondary,cyber,mecha,"[""s_daiki""]",[],1,COVERED
secondary,cyber,military,"[""s_kanna""]",[],1,COVERED
secondary,cyber,mystery,"[""s_tobi""]",[],1,COVERED
secondary,cyber,mythology,[],"[""cv3_sidekick_014""]",1,COVERED
secondary,cyber,nordic,[],"[""cv3_sidekick_016""]",1,COVERED
secondary,cyber,pirate,[],"[""cv3_sidekick_017""]",1,COVERED
secondary,cyber,romance,"[""s_kanna""]",[],1,COVERED
secondary,cyber,samurai,[],"[""cv3_sidekick_018""]",1,COVERED
secondary,cyber,shinobi,[],"[""cv3_sidekick_015""]",1,COVERED
secondary,cyber,slice,[],"[""cv3_sidekick_018""]",1,COVERED
secondary,cyber,space,[],"[""cv3_sidekick_017""]",1,COVERED
secondary,cyber,sports,[],"[""cv3_sidekick_016""]",1,COVERED
secondary,cyber,supernatural,[],"[""cv3_sidekick_019""]",1,COVERED
secondary,cyber,survival,[],"[""cv3_sidekick_019""]",1,COVERED
secondary,fantasy,horror,[],"[""cv3_sidekick_020""]",1,COVERED
secondary,fantasy,idol,[],"[""cv3_sidekick_013""]",1,COVERED
secondary,fantasy,isekai,"[""s_soleil""]",[],1,COVERED
secondary,fantasy,magical,[],"[""cv3_sidekick_020""]",1,COVERED
secondary,fantasy,martial,[],"[""cv3_sidekick_021""]",1,COVERED
secondary,fantasy,mecha,"[""s_ken""]",[],1,COVERED
secondary,fantasy,military,[],"[""cv3_sidekick_003""]",1,COVERED
secondary,fantasy,mystery,[],"[""cv3_sidekick_022""]",1,COVERED
secondary,fantasy,mythology,[],"[""cv3_sidekick_023""]",1,COVERED
secondary,fantasy,nordic,"[""fumi""]",[],1,COVERED
secondary,fantasy,pirate,"[""s_tora""]",[],1,COVERED
secondary,fantasy,romance,"[""s_hina""]",[],1,COVERED
secondary,fantasy,samurai,[],"[""cv3_sidekick_021""]",1,COVERED
secondary,fantasy,shinobi,[],"[""cv3_sidekick_022""]",1,COVERED
secondary,fantasy,slice,"[""fumi""]",[],1,COVERED
secondary,fantasy,space,"[""taro""]","[""cv3_sidekick_023""]",2,COVERED
secondary,fantasy,sports,"[""s_soleil""]",[],1,COVERED
secondary,fantasy,supernatural,"[""s_tora""]",[],1,COVERED
secondary,fantasy,survival,"[""s_ken"", ""s_hina""]",[],2,COVERED
secondary,horror,idol,"[""s_sakurako""]",[],1,COVERED
secondary,horror,isekai,[],"[""cv3_sidekick_007""]",1,COVERED
secondary,horror,magical,[],"[""cv3_sidekick_020""]",1,COVERED
secondary,horror,martial,[],"[""cv3_sidekick_024""]",1,COVERED
secondary,horror,mecha,"[""s_sosuke""]",[],1,COVERED
secondary,horror,military,[],"[""cv3_sidekick_025""]",1,COVERED
secondary,horror,mystery,"[""s_chiaki""]",[],1,COVERED
secondary,horror,mythology,[],"[""cv3_sidekick_014""]",1,COVERED
secondary,horror,nordic,[],"[""cv3_sidekick_026""]",1,COVERED
secondary,horror,pirate,[],"[""cv3_sidekick_026""]",1,COVERED
secondary,horror,romance,"[""s_sakurako""]",[],1,COVERED
secondary,horror,samurai,[],"[""cv3_sidekick_027""]",1,COVERED
secondary,horror,shinobi,[],"[""cv3_sidekick_025""]",1,COVERED
secondary,horror,slice,"[""s_sosuke""]",[],1,COVERED
secondary,horror,space,[],"[""cv3_sidekick_024""]",1,COVERED
secondary,horror,sports,"[""s_bolt""]",[],1,COVERED
secondary,horror,supernatural,"[""s_chiaki""]",[],1,COVERED
secondary,horror,survival,[],"[""cv3_sidekick_027""]",1,COVERED
secondary,idol,isekai,[],"[""cv3_sidekick_028""]",1,COVERED
secondary,idol,magical,"[""s_mimi""]",[],1,COVERED
secondary,idol,martial,[],"[""cv3_sidekick_028""]",1,COVERED
secondary,idol,mecha,[],"[""cv3_sidekick_029""]",1,COVERED
secondary,idol,military,"[""s_gen"", ""s_lulu""]",[],2,COVERED
secondary,idol,mystery,"[""s_gen""]",[],1,COVERED
secondary,idol,mythology,"[""s_yuna""]",[],1,COVERED
secondary,idol,nordic,[],"[""cv3_sidekick_030""]",1,COVERED
secondary,idol,pirate,"[""s_akane"", ""s_ryo""]",[],2,COVERED
secondary,idol,romance,"[""s_ice"", ""s_sakurako""]",[],2,COVERED
secondary,idol,samurai,[],"[""cv3_sidekick_029""]",1,COVERED
secondary,idol,shinobi,[],"[""cv3_sidekick_008""]",1,COVERED
secondary,idol,slice,"[""s_lulu""]",[],1,COVERED
secondary,idol,space,[],"[""cv3_sidekick_030""]",1,COVERED
secondary,idol,sports,"[""s_akane"", ""s_yuna""]",[],2,COVERED
secondary,idol,supernatural,"[""s_ryo""]",[],1,COVERED
secondary,idol,survival,"[""s_kiki"", ""s_ice""]",[],2,COVERED
secondary,isekai,magical,[],"[""cv3_sidekick_031""]",1,COVERED
secondary,isekai,martial,[],"[""cv3_sidekick_028""]",1,COVERED
secondary,isekai,mecha,"[""tsubasa""]",[],1,COVERED
secondary,isekai,military,[],"[""cv3_sidekick_032""]",1,COVERED
secondary,isekai,mystery,"[""s_amber""]",[],1,COVERED
secondary,isekai,mythology,[],"[""cv3_sidekick_033""]",1,COVERED
secondary,isekai,nordic,[],"[""cv3_sidekick_034""]",1,COVERED
secondary,isekai,pirate,"[""s_amber""]",[],1,COVERED
secondary,isekai,romance,"[""s_nozomi""]",[],1,COVERED
secondary,isekai,samurai,[],"[""cv3_sidekick_032""]",1,COVERED
secondary,isekai,shinobi,[],"[""cv3_sidekick_031""]",1,COVERED
secondary,isekai,slice,"[""s_nozomi""]",[],1,COVERED
secondary,isekai,space,"[""tsubasa""]",[],1,COVERED
secondary,isekai,sports,"[""s_soleil"", ""yuzuki""]",[],2,COVERED
secondary,isekai,supernatural,"[""yuzuki""]","[""cv3_sidekick_034""]",2,COVERED
secondary,isekai,survival,[],"[""cv3_sidekick_033""]",1,COVERED
secondary,magical,martial,[],"[""cv3_sidekick_035""]",1,COVERED
secondary,magical,mecha,"[""s_peko""]",[],1,COVERED
secondary,magical,military,"[""s_takeshi"", ""s_linh""]",[],2,COVERED
secondary,magical,mystery,"[""s_tobi""]",[],1,COVERED
secondary,magical,mythology,[],"[""cv3_sidekick_036""]",1,COVERED
secondary,magical,nordic,"[""s_maki""]",[],1,COVERED
secondary,magical,pirate,"[""s_linh""]",[],1,COVERED
secondary,magical,romance,[],"[""cv3_sidekick_009""]",1,COVERED
secondary,magical,samurai,[],"[""cv3_sidekick_037""]",1,COVERED
secondary,magical,shinobi,[],"[""cv3_sidekick_031""]",1,COVERED
secondary,magical,slice,[],"[""cv3_sidekick_036""]",1,COVERED
secondary,magical,space,[],"[""cv3_sidekick_037""]",1,COVERED
secondary,magical,sports,"[""s_takeshi""]",[],1,COVERED
secondary,magical,supernatural,[],"[""cv3_sidekick_035""]",1,COVERED
secondary,magical,survival,"[""s_maki""]",[],1,COVERED
secondary,martial,mecha,[],"[""cv3_sidekick_038""]",1,COVERED
secondary,martial,military,[],"[""cv3_sidekick_038""]",1,COVERED
secondary,martial,mystery,"[""s_alfred""]",[],1,COVERED
secondary,martial,mythology,"[""s_ichiro""]",[],1,COVERED
secondary,martial,nordic,"[""s_eiji""]",[],1,COVERED
secondary,martial,pirate,[],"[""cv3_sidekick_010""]",1,COVERED
secondary,martial,romance,"[""s_okada"", ""s_alfred"", ""s_kazuki""]",[],3,COVERED
secondary,martial,samurai,[],"[""cv3_sidekick_021"", ""cv3_sidekick_049""]",2,COVERED
secondary,martial,shinobi,[],"[""cv3_sidekick_015"", ""cv3_sidekick_049""]",2,COVERED
secondary,martial,slice,"[""s_eiji""]",[],1,COVERED
secondary,martial,space,[],"[""cv3_sidekick_024""]",1,COVERED
secondary,martial,sports,"[""s_okada"", ""s_riku""]",[],2,COVERED
secondary,martial,supernatural,[],"[""cv3_sidekick_035""]",1,COVERED
secondary,martial,survival,"[""s_riku""]",[],1,COVERED
