id,role,type,visibleAff,hiddenAff,pairEdges,existingGapsSupplied,firstAssignedGaps
cv3_lead_019,protag,shonen,"[""samurai"", ""fantasy""]",space,"[""fantasy|samurai"", ""fantasy|space"", ""samurai|space""]","[""fantasy|samurai"", ""fantasy|space"", ""samurai|space""]","[""fantasy|samurai"", ""fantasy|space"", ""samurai|space""]"
cv3_lead_020,protag,shonen,"[""shinobi"", ""fantasy""]",survival,"[""fantasy|shinobi"", ""fantasy|survival"", ""shinobi|survival""]","[""fantasy|shinobi"", ""fantasy|survival"", ""shinobi|survival""]","[""fantasy|shinobi"", ""fantasy|survival"", ""shinobi|survival""]"
cv3_lead_021,protag,shonen,"[""shinobi"", ""horror""]",isekai,"[""horror|isekai"", ""horror|shinobi"", ""isekai|shinobi""]","[""horror|isekai"", ""horror|shinobi"", ""isekai|shinobi""]","[""horror|isekai"", ""horror|shinobi"", ""isekai|shinobi""]"
cv3_lead_022,protag,shonen,"[""samurai"", ""horror""]",magical,"[""horror|magical"", ""horror|samurai"", ""magical|samurai""]","[""horror|magical"", ""horror|samurai"", ""magical|samurai""]","[""horror|magical"", ""horror|samurai"", ""magical|samurai""]"
cv3_lead_023,protag,shonen,"[""magical"", ""supernatural""]",horror,"[""horror|magical"", ""horror|supernatural"", ""magical|supernatural""]","[""horror|magical"", ""horror|supernatural"", ""magical|supernatural""]","[""horror|supernatural"", ""magical|supernatural""]"
cv3_lead_024,protag,shonen,"[""military"", ""horror""]",martial,"[""horror|martial"", ""horror|military"", ""martial|military""]","[""horror|martial"", ""horror|military""]","[""horror|martial"", ""horror|military""]"
cv3_lead_025,protag,shonen,"[""horror"", ""mythology""]",pirate,"[""horror|mythology"", ""horror|pirate"", ""mythology|pirate""]","[""horror|mythology"", ""horror|pirate"", ""mythology|pirate""]","[""horror|mythology"", ""horror|pirate"", ""mythology|pirate""]"
cv3_lead_026,protag,shonen,"[""slice"", ""space""]",horror,"[""horror|slice"", ""horror|space"", ""slice|space""]","[""horror|slice"", ""horror|space"", ""slice|space""]","[""horror|slice"", ""horror|space"", ""slice|space""]"
cv3_lead_027,protag,shojo,"[""samurai"", ""idol""]",nordic,"[""idol|nordic"", ""idol|samurai"", ""nordic|samurai""]","[""idol|nordic"", ""idol|samurai"", ""nordic|samurai""]","[""idol|nordic"", ""idol|samurai"", ""nordic|samurai""]"
cv3_lead_028,protag,shojo,"[""shinobi"", ""idol""]",slice,"[""idol|shinobi"", ""idol|slice"", ""shinobi|slice""]","[""idol|shinobi"", ""idol|slice"", ""shinobi|slice""]","[""idol|shinobi"", ""idol|slice"", ""shinobi|slice""]"
cv3_lead_029,protag,shojo,"[""mecha"", ""samurai""]",isekai,"[""isekai|mecha"", ""isekai|samurai"", ""mecha|samurai""]","[""isekai|mecha"", ""isekai|samurai"", ""mecha|samurai""]","[""isekai|mecha"", ""isekai|samurai"", ""mecha|samurai""]"
cv3_lead_030,protag,shojo,"[""sports"", ""isekai""]",mystery,"[""isekai|mystery"", ""isekai|sports"", ""mystery|sports""]","[""isekai|mystery"", ""isekai|sports"", ""mystery|sports""]","[""isekai|mystery"", ""isekai|sports"", ""mystery|sports""]"
cv3_lead_031,protag,shojo,"[""isekai"", ""slice""]",supernatural,"[""isekai|slice"", ""isekai|supernatural"", ""slice|supernatural""]","[""isekai|slice"", ""isekai|supernatural"", ""slice|supernatural""]","[""isekai|slice"", ""isekai|supernatural"", ""slice|supernatural""]"
cv3_lead_032,protag,shojo,"[""space"", ""supernatural""]",isekai,"[""isekai|space"", ""isekai|supernatural"", ""space|supernatural""]","[""isekai|space"", ""isekai|supernatural"", ""space|supernatural""]","[""isekai|space"", ""space|supernatural""]"
cv3_lead_033,protag,shojo,"[""survival"", ""magical""]",mythology,"[""magical|mythology"", ""magical|survival"", ""mythology|survival""]","[""magical|mythology"", ""magical|survival"", ""mythology|survival""]","[""magical|mythology"", ""magical|survival"", ""mythology|survival""]"
cv3_lead_034,protag,shojo,"[""magical"", ""nordic""]",pirate,"[""magical|nordic"", ""magical|pirate"", ""nordic|pirate""]","[""magical|nordic"", ""magical|pirate"", ""nordic|pirate""]","[""magical|nordic"", ""magical|pirate"", ""nordic|pirate""]"
cv3_lead_035,protag,shojo,"[""samurai"", ""martial""]",mystery,"[""martial|mystery"", ""martial|samurai"", ""mystery|samurai""]","[""martial|mystery"", ""martial|samurai"", ""mystery|samurai""]","[""martial|mystery"", ""martial|samurai"", ""mystery|samurai""]"
cv3_lead_036,protag,shojo,"[""shinobi"", ""martial""]",supernatural,"[""martial|shinobi"", ""martial|supernatural"", ""shinobi|supernatural""]","[""martial|shinobi"", ""martial|supernatural"", ""shinobi|supernatural""]","[""martial|shinobi"", ""martial|supernatural"", ""shinobi|supernatural""]"
cv3_lead_037,protag,shojo,"[""mecha"", ""shinobi""]",mythology,"[""mecha|mythology"", ""mecha|shinobi"", ""mythology|shinobi""]","[""mecha|mythology"", ""mecha|shinobi"", ""mythology|shinobi""]","[""mecha|mythology"", ""mecha|shinobi"", ""mythology|shinobi""]"
cv3_lead_038,protag,shojo,"[""mecha"", ""pirate""]",supernatural,"[""mecha|pirate"", ""mecha|supernatural"", ""pirate|supernatural""]","[""mecha|pirate"", ""mecha|supernatural"", ""pirate|supernatural""]","[""mecha|pirate"", ""mecha|supernatural"", ""pirate|supernatural""]"
cv3_lead_039,protag,shojo,"[""nordic"", ""military""]",mythology,"[""military|mythology"", ""military|nordic"", ""mythology|nordic""]","[""military|mythology"", ""military|nordic"", ""mythology|nordic""]","[""military|mythology"", ""military|nordic"", ""mythology|nordic""]"
cv3_lead_040,protag,shojo,"[""shinobi"", ""military""]",pirate,"[""military|pirate"", ""military|shinobi"", ""pirate|shinobi""]","[""military|pirate"", ""military|shinobi"", ""pirate|shinobi""]","[""military|pirate"", ""military|shinobi"", ""pirate|shinobi""]"
cv3_lead_041,protag,shojo,"[""samurai"", ""military""]",slice,"[""military|samurai"", ""military|slice"", ""samurai|slice""]","[""military|samurai"", ""military|slice"", ""samurai|slice""]","[""military|samurai"", ""military|slice"", ""samurai|slice""]"
cv3_lead_042,protag,shojo,"[""survival"", ""mystery""]",space,"[""mystery|space"", ""mystery|survival"", ""space|survival""]","[""mystery|space"", ""mystery|survival"", ""space|survival""]","[""mystery|space"", ""mystery|survival"", ""space|survival""]"
cv3_lead_043,protag,shojo,"[""nordic"", ""pirate""]",space,"[""nordic|pirate"", ""nordic|space"", ""pirate|space""]","[""nordic|pirate"", ""nordic|space"", ""pirate|space""]","[""nordic|space"", ""pirate|space""]"
cv3_lead_044,protag,shojo,"[""shinobi"", ""nordic""]",sports,"[""nordic|shinobi"", ""nordic|sports"", ""shinobi|sports""]","[""nordic|shinobi"", ""nordic|sports"", ""shinobi|sports""]","[""nordic|shinobi"", ""nordic|sports"", ""shinobi|sports""]"
cv3_lead_045,protag,shojo,"[""samurai"", ""shinobi""]",romance,"[""romance|samurai"", ""romance|shinobi"", ""samurai|shinobi""]","[""romance|samurai"", ""romance|shinobi"", ""samurai|shinobi""]","[""romance|samurai"", ""romance|shinobi"", ""samurai|shinobi""]"
cv3_lead_046,protag,shojo,"[""samurai"", ""sports""]",survival,"[""samurai|sports"", ""samurai|survival"", ""sports|survival""]","[""samurai|sports"", ""samurai|survival"", ""sports|survival""]","[""samurai|sports"", ""samurai|survival"", ""sports|survival""]"
cv3_lead_047,protag,shojo,"[""samurai"", ""shinobi""]",martial,"[""martial|samurai"", ""martial|shinobi"", ""samurai|shinobi""]","[""martial|samurai"", ""martial|shinobi"", ""samurai|shinobi""]",[]
cv3_lead_048,protag,shojo,"[""mecha"", ""samurai""]",shinobi,"[""mecha|samurai"", ""mecha|shinobi"", ""samurai|shinobi""]","[""mecha|samurai"", ""mecha|shinobi"", ""samurai|shinobi""]",[]
cv3_lead_049,protag,shojo,"[""samurai"", ""romance""]",slice,"[""romance|samurai"", ""romance|slice"", ""samurai|slice""]","[""romance|samurai"", ""romance|slice"", ""samurai|slice""]",[]
cv3_lead_050,protag,shojo,"[""shinobi"", ""cooking""]",slice,"[""cooking|shinobi"", ""cooking|slice"", ""shinobi|slice""]","[""cooking|shinobi"", ""shinobi|slice""]",[]
cv3_lead_051,protag,shojo,"[""samurai"", ""nordic""]",survival,"[""nordic|samurai"", ""nordic|survival"", ""samurai|survival""]","[""nordic|samurai"", ""samurai|survival""]",[]
cv3_lead_052,protag,shojo,"[""shinobi"", ""idol""]",sports,"[""idol|shinobi"", ""idol|sports"", ""shinobi|sports""]","[""idol|shinobi"", ""shinobi|sports""]",[]
cv3_sidekick_001,secondary,shonen,"[""comedy"", ""cooking""]",slice,"[""comedy|cooking"", ""comedy|slice"", ""cooking|slice""]","[""comedy|cooking"", ""comedy|slice"", ""cooking|slice""]","[""comedy|cooking"", ""comedy|slice"", ""cooking|slice""]"
cv3_sidekick_002,secondary,shonen,"[""cyber"", ""isekai""]",comedy,"[""comedy|cyber"", ""comedy|isekai"", ""cyber|isekai""]","[""comedy|cyber"", ""comedy|isekai"", ""cyber|isekai""]","[""comedy|cyber"", ""comedy|isekai"", ""cyber|isekai""]"
cv3_sidekick_003,secondary,shonen,"[""military"", ""comedy""]",fantasy,"[""comedy|fantasy"", ""comedy|military"", ""fantasy|military""]","[""comedy|fantasy"", ""comedy|military"", ""fantasy|military""]","[""comedy|fantasy"", ""comedy|military"", ""fantasy|military""]"
cv3_sidekick_004,secondary,shonen,"[""comedy"", ""nordic""]",romance,"[""comedy|nordic"", ""comedy|romance"", ""nordic|romance""]","[""comedy|nordic"", ""nordic|romance""]","[""comedy|nordic"", ""nordic|romance""]"
cv3_sidekick_005,secondary,shonen,"[""shinobi"", ""comedy""]",pirate,"[""comedy|pirate"", ""comedy|shinobi"", ""pirate|shinobi""]","[""comedy|pirate"", ""comedy|shinobi"", ""pirate|shinobi""]","[""comedy|pirate"", ""comedy|shinobi"", ""pirate|shinobi""]"
cv3_sidekick_006,secondary,shonen,"[""samurai"", ""comedy""]",supernatural,"[""comedy|samurai"", ""comedy|supernatural"", ""samurai|supernatural""]","[""comedy|samurai"", ""comedy|supernatural"", ""samurai|supernatural""]","[""comedy|samurai"", ""comedy|supernatural"", ""samurai|supernatural""]"
cv3_sidekick_007,secondary,shonen,"[""cooking"", ""horror""]",isekai,"[""cooking|horror"", ""cooking|isekai"", ""horror|isekai""]","[""cooking|horror"", ""cooking|isekai"", ""horror|isekai""]","[""cooking|horror"", ""cooking|isekai"", ""horror|isekai""]"
cv3_sidekick_008,secondary,shonen,"[""shinobi"", ""cooking""]",idol,"[""cooking|idol"", ""cooking|shinobi"", ""idol|shinobi""]","[""cooking|idol"", ""cooking|shinobi"", ""idol|shinobi""]","[""cooking|idol"", ""cooking|shinobi"", ""idol|shinobi""]"
cv3_sidekick_009,secondary,shonen,"[""romance"", ""cooking""]",magical,"[""cooking|magical"", ""cooking|romance"", ""magical|romance""]","[""cooking|magical"", ""cooking|romance"", ""magical|romance""]","[""cooking|magical"", ""cooking|romance"", ""magical|romance""]"
cv3_sidekick_010,secondary,shonen,"[""cooking"", ""martial""]",pirate,"[""cooking|martial"", ""cooking|pirate"", ""martial|pirate""]","[""cooking|martial"", ""cooking|pirate"", ""martial|pirate""]","[""cooking|martial"", ""cooking|pirate"", ""martial|pirate""]"
cv3_sidekick_011,secondary,shonen,"[""mystery"", ""survival""]",cooking,"[""cooking|mystery"", ""cooking|survival"", ""mystery|survival""]","[""cooking|mystery"", ""cooking|survival"", ""mystery|survival""]","[""cooking|mystery"", ""cooking|survival"", ""mystery|survival""]"
cv3_sidekick_012,secondary,shonen,"[""samurai"", ""cooking""]",sports,"[""cooking|samurai"", ""cooking|sports"", ""samurai|sports""]","[""cooking|samurai"", ""cooking|sports"", ""samurai|sports""]","[""cooking|samurai"", ""cooking|sports"", ""samurai|sports""]"
cv3_sidekick_013,secondary,shonen,"[""cyber"", ""fantasy""]",idol,"[""cyber|fantasy"", ""cyber|idol"", ""fantasy|idol""]","[""cyber|fantasy"", ""fantasy|idol""]","[""cyber|fantasy"", ""fantasy|idol""]"
cv3_sidekick_014,secondary,shonen,"[""horror"", ""mythology""]",cyber,"[""cyber|horror"", ""cyber|mythology"", ""horror|mythology""]","[""cyber|horror"", ""cyber|mythology"", ""horror|mythology""]","[""cyber|horror"", ""cyber|mythology"", ""horror|mythology""]"
cv3_sidekick_015,secondary,shonen,"[""shinobi"", ""cyber""]",martial,"[""cyber|martial"", ""cyber|shinobi"", ""martial|shinobi""]","[""cyber|martial"", ""cyber|shinobi"", ""martial|shinobi""]","[""cyber|martial"", ""cyber|shinobi"", ""martial|shinobi""]"
cv3_sidekick_016,secondary,shonen,"[""cyber"", ""nordic""]",sports,"[""cyber|nordic"", ""cyber|sports"", ""nordic|sports""]","[""cyber|nordic"", ""cyber|sports"", ""nordic|sports""]","[""cyber|nordic"", ""cyber|sports"", ""nordic|sports""]"
cv3_sidekick_017,secondary,shonen,"[""pirate"", ""space""]",cyber,"[""cyber|pirate"", ""cyber|space"", ""pirate|space""]","[""cyber|pirate"", ""cyber|space"", ""pirate|space""]","[""cyber|pirate"", ""cyber|space"", ""pirate|space""]"
cv3_sidekick_018,secondary,shonen,"[""samurai"", ""cyber""]",slice,"[""cyber|samurai"", ""cyber|slice"", ""samurai|slice""]","[""cyber|samurai"", ""cyber|slice"", ""samurai|slice""]","[""cyber|samurai"", ""cyber|slice"", ""samurai|slice""]"
cv3_sidekick_019,secondary,shonen,"[""cyber"", ""supernatural""]",survival,"[""cyber|supernatural"", ""cyber|survival"", ""supernatural|survival""]","[""cyber|supernatural"", ""cyber|survival"", ""supernatural|survival""]","[""cyber|supernatural"", ""cyber|survival"", ""supernatural|survival""]"
cv3_sidekick_020,secondary,shonen,"[""horror"", ""magical""]",fantasy,"[""fantasy|horror"", ""fantasy|magical"", ""horror|magical""]","[""fantasy|horror"", ""fantasy|magical"", ""horror|magical""]","[""fantasy|horror"", ""fantasy|magical"", ""horror|magical""]"
cv3_sidekick_021,secondary,shonen,"[""samurai"", ""fantasy""]",martial,"[""fantasy|martial"", ""fantasy|samurai"", ""martial|samurai""]","[""fantasy|martial"", ""fantasy|samurai"", ""martial|samurai""]","[""fantasy|martial"", ""fantasy|samurai"", ""martial|samurai""]"
cv3_sidekick_022,secondary,shonen,"[""shinobi"", ""fantasy""]",mystery,"[""fantasy|mystery"", ""fantasy|shinobi"", ""mystery|shinobi""]","[""fantasy|mystery"", ""fantasy|shinobi"", ""mystery|shinobi""]","[""fantasy|mystery"", ""fantasy|shinobi"", ""mystery|shinobi""]"
cv3_sidekick_023,secondary,shonen,"[""mythology"", ""space""]",fantasy,"[""fantasy|mythology"", ""fantasy|space"", ""mythology|space""]","[""fantasy|mythology"", ""mythology|space""]","[""fantasy|mythology"", ""mythology|space""]"
cv3_sidekick_024,secondary,shonen,"[""space"", ""horror""]",martial,"[""horror|martial"", ""horror|space"", ""martial|space""]","[""horror|martial"", ""horror|space"", ""martial|space""]","[""horror|martial"", ""horror|space"", ""martial|space""]"
cv3_sidekick_025,secondary,shonen,"[""shinobi"", ""horror""]",military,"[""horror|military"", ""horror|shinobi"", ""military|shinobi""]","[""horror|military"", ""horror|shinobi"", ""military|shinobi""]","[""horror|military"", ""horror|shinobi"", ""military|shinobi""]"
cv3_sidekick_026,secondary,shonen,"[""nordic"", ""pirate""]",horror,"[""horror|nordic"", ""horror|pirate"", ""nordic|pirate""]","[""horror|nordic"", ""horror|pirate"", ""nordic|pirate""]","[""horror|nordic"", ""horror|pirate"", ""nordic|pirate""]"
cv3_sidekick_027,secondary,shojo,"[""samurai"", ""horror""]",survival,"[""horror|samurai"", ""horror|survival"", ""samurai|survival""]","[""horror|samurai"", ""horror|survival"", ""samurai|survival""]","[""horror|samurai"", ""horror|survival"", ""samurai|survival""]"
cv3_sidekick_028,secondary,shojo,"[""idol"", ""isekai""]",martial,"[""idol|isekai"", ""idol|martial"", ""isekai|martial""]","[""idol|isekai"", ""idol|martial"", ""isekai|martial""]","[""idol|isekai"", ""idol|martial"", ""isekai|martial""]"
cv3_sidekick_029,secondary,shojo,"[""mecha"", ""samurai""]",idol,"[""idol|mecha"", ""idol|samurai"", ""mecha|samurai""]","[""idol|mecha"", ""idol|samurai"", ""mecha|samurai""]","[""idol|mecha"", ""idol|samurai"", ""mecha|samurai""]"
cv3_sidekick_030,secondary,shojo,"[""space"", ""idol""]",nordic,"[""idol|nordic"", ""idol|space"", ""nordic|space""]","[""idol|nordic"", ""idol|space"", ""nordic|space""]","[""idol|nordic"", ""idol|space"", ""nordic|space""]"
cv3_sidekick_031,secondary,shojo,"[""shinobi"", ""isekai""]",magical,"[""isekai|magical"", ""isekai|shinobi"", ""magical|shinobi""]","[""isekai|magical"", ""isekai|shinobi"", ""magical|shinobi""]","[""isekai|magical"", ""isekai|shinobi"", ""magical|shinobi""]"
cv3_sidekick_032,secondary,shojo,"[""samurai"", ""isekai""]",military,"[""isekai|military"", ""isekai|samurai"", ""military|samurai""]","[""isekai|military"", ""isekai|samurai"", ""military|samurai""]","[""isekai|military"", ""isekai|samurai"", ""military|samurai""]"
cv3_sidekick_033,secondary,shojo,"[""survival"", ""isekai""]",mythology,"[""isekai|mythology"", ""isekai|survival"", ""mythology|survival""]","[""isekai|mythology"", ""isekai|survival""]","[""isekai|mythology"", ""isekai|survival""]"
cv3_sidekick_034,secondary,shojo,"[""isekai"", ""nordic""]",supernatural,"[""isekai|nordic"", ""isekai|supernatural"", ""nordic|supernatural""]","[""isekai|nordic"", ""nordic|supernatural""]","[""isekai|nordic"", ""nordic|supernatural""]"
cv3_sidekick_035,secondary,shojo,"[""martial"", ""supernatural""]",magical,"[""magical|martial"", ""magical|supernatural"", ""martial|supernatural""]","[""magical|martial"", ""magical|supernatural"", ""martial|supernatural""]","[""magical|martial"", ""magical|supernatural"", ""martial|supernatural""]"
cv3_sidekick_036,secondary,shojo,"[""slice"", ""magical""]",mythology,"[""magical|mythology"", ""magical|slice"", ""mythology|slice""]","[""magical|mythology"", ""magical|slice"", ""mythology|slice""]","[""magical|mythology"", ""magical|slice"", ""mythology|slice""]"
cv3_sidekick_037,secondary,shojo,"[""samurai"", ""magical""]",space,"[""magical|samurai"", ""magical|space"", ""samurai|space""]","[""magical|samurai"", ""magical|space"", ""samurai|space""]","[""magical|samurai"", ""magical|space"", ""samurai|space""]"
cv3_sidekick_038,secondary,shojo,"[""mecha"", ""martial""]",military,"[""martial|mecha"", ""martial|military"", ""mecha|military""]","[""martial|mecha"", ""martial|military""]","[""martial|mecha"", ""martial|military""]"
cv3_sidekick_039,secondary,shojo,"[""mecha"", ""pirate""]",romance,"[""mecha|pirate"", ""mecha|romance"", ""pirate|romance""]","[""mecha|pirate"", ""mecha|romance"", ""pirate|romance""]","[""mecha|pirate"", ""mecha|romance"", ""pirate|romance""]"
cv3_sidekick_040,secondary,shojo,"[""mecha"", ""shinobi""]",sports,"[""mecha|shinobi"", ""mecha|sports"", ""shinobi|sports""]","[""mecha|shinobi"", ""mecha|sports"", ""shinobi|sports""]","[""mecha|shinobi"", ""mecha|sports"", ""shinobi|sports""]"
cv3_sidekick_041,secondary,shojo,"[""space"", ""supernatural""]",military,"[""military|space"", ""military|supernatural"", ""space|supernatural""]","[""military|space"", ""military|supernatural"", ""space|supernatural""]","[""military|space"", ""military|supernatural"", ""space|supernatural""]"
cv3_sidekick_042,secondary,shojo,"[""samurai"", ""mystery""]",nordic,"[""mystery|nordic"", ""mystery|samurai"", ""nordic|samurai""]","[""mystery|nordic"", ""mystery|samurai"", ""nordic|samurai""]","[""mystery|nordic"", ""mystery|samurai"", ""nordic|samurai""]"
cv3_sidekick_043,secondary,shojo,"[""shinobi"", ""mythology""]",nordic,"[""mythology|nordic"", ""mythology|shinobi"", ""nordic|shinobi""]","[""mythology|nordic"", ""mythology|shinobi"", ""nordic|shinobi""]","[""mythology|nordic"", ""mythology|shinobi"", ""nordic|shinobi""]"
cv3_sidekick_044,secondary,shojo,"[""samurai"", ""mythology""]",pirate,"[""mythology|pirate"", ""mythology|samurai"", ""pirate|samurai""]","[""mythology|pirate"", ""mythology|samurai"", ""pirate|samurai""]","[""mythology|pirate"", ""mythology|samurai"", ""pirate|samurai""]"
cv3_sidekick_045,secondary,shojo,"[""supernatural"", ""mythology""]",romance,"[""mythology|romance"", ""mythology|supernatural"", ""romance|supernatural""]","[""mythology|romance"", ""mythology|supernatural"", ""romance|supernatural""]","[""mythology|romance"", ""mythology|supernatural"", ""romance|supernatural""]"
cv3_sidekick_046,secondary,shojo,"[""samurai"", ""shinobi""]",romance,"[""romance|samurai"", ""romance|shinobi"", ""samurai|shinobi""]","[""romance|samurai"", ""romance|shinobi"", ""samurai|shinobi""]","[""romance|samurai"", ""romance|shinobi"", ""samurai|shinobi""]"
cv3_sidekick_047,secondary,shojo,"[""shinobi"", ""slice""]",supernatural,"[""shinobi|slice"", ""shinobi|supernatural"", ""slice|supernatural""]","[""shinobi|slice"", ""shinobi|supernatural"", ""slice|supernatural""]","[""shinobi|slice"", ""shinobi|supernatural"", ""slice|supernatural""]"
cv3_sidekick_048,secondary,shojo,"[""shinobi"", ""space""]",survival,"[""shinobi|space"", ""shinobi|survival"", ""space|survival""]","[""shinobi|space"", ""shinobi|survival"", ""space|survival""]","[""shinobi|space"", ""shinobi|survival"", ""space|survival""]"
cv3_sidekick_049,secondary,shojo,"[""samurai"", ""shinobi""]",martial,"[""martial|samurai"", ""martial|shinobi"", ""samurai|shinobi""]","[""martial|samurai"", ""martial|shinobi"", ""samurai|shinobi""]",[]
cv3_sidekick_050,secondary,shojo,"[""mecha"", ""samurai""]",shinobi,"[""mecha|samurai"", ""mecha|shinobi"", ""samurai|shinobi""]","[""mecha|samurai"", ""mecha|shinobi"", ""samurai|shinobi""]",[]
cv3_sidekick_051,secondary,shojo,"[""samurai"", ""romance""]",slice,"[""romance|samurai"", ""romance|slice"", ""samurai|slice""]","[""romance|samurai"", ""samurai|slice""]",[]
cv3_sidekick_052,secondary,shojo,"[""shinobi"", ""cooking""]",survival,"[""cooking|shinobi"", ""cooking|survival"", ""shinobi|survival""]","[""cooking|shinobi"", ""cooking|survival"", ""shinobi|survival""]",[]
cv3_mascot_001,pet,shonen,"[""comedy"", ""cyber""]",idol,"[""comedy|cyber"", ""comedy|idol"", ""cyber|idol""]","[""comedy|cyber"", ""comedy|idol"", ""cyber|idol""]","[""comedy|cyber"", ""comedy|idol"", ""cyber|idol""]"
cv3_mascot_002,pet,shonen,"[""shinobi"", ""comedy""]",fantasy,"[""comedy|fantasy"", ""comedy|shinobi"", ""fantasy|shinobi""]","[""comedy|fantasy"", ""comedy|shinobi"", ""fantasy|shinobi""]","[""comedy|fantasy"", ""comedy|shinobi"", ""fantasy|shinobi""]"
