genre_1,genre_2,total,visible_pair,Lead,Sidekick,Mascot,Villain,ids
mystery,mythology,4,1,1,1,1,1,saki;s_anna;s_haruto;v_sinister
mystery,nordic,2,0,2,0,0,0,akira;renji
comedy,cooking,2,1,0,0,1,1,p_ponta;v_grandfinale
comedy,military,3,0,0,0,2,1,p_toro;p_chibi;v_ash
comedy,supernatural,1,1,0,0,1,0,p_toro
comedy,space,4,0,0,1,1,2,s_nanami;p_fuwa;v_lovelace;v_hollowchild
comedy,magical,1,1,0,1,0,0,s_peko
comedy,survival,3,0,1,1,0,1,momo;s_kiki;v_harlequin
comedy,pirate,2,2,0,0,1,1,p_chacha;v_scuttle
comedy,martial,4,2,1,2,1,0,kenta;s_ichiro;s_kazuki;p_chacha
comedy,mythology,3,0,1,1,1,0,kenta;s_ichiro;p_nitro
comedy,nordic,3,1,1,0,1,1,jun;p_fuwa;v_scuttle
cooking,military,4,1,1,1,1,1,emi;s_reina;p_pudding;v_gravemark
cooking,supernatural,1,0,0,1,0,0,s_boone
cooking,space,3,0,0,1,1,1,taro;p_koro;v_paradox
cooking,magical,4,1,2,0,1,1,n_mikoto;emi;p_kiki2;v_magus
cooking,survival,1,0,1,0,0,0,yui
cooking,pirate,3,0,0,0,2,1,p_fuu;p_yuzu;v_silence
cooking,martial,1,0,1,0,0,0,kai
cooking,mythology,3,1,0,1,1,1,s_pranav;p_fuu;v_moth
cooking,nordic,5,2,0,1,2,2,s_reina;p_pomu;p_puri;v_gravemark;v_einar
military,supernatural,2,0,1,0,1,0,daichi;p_toro
military,space,1,0,1,0,0,0,rei
military,magical,6,0,2,2,1,1,hikari;emi;s_takeshi;s_linh;p_ruri;v_warden
military,survival,4,3,1,1,1,1,daichi;s_amina;p_loader;v_warden
military,pirate,2,1,0,1,0,1,s_linh;v_dread
military,martial,2,1,1,0,0,1,kuro;sen
military,mythology,1,0,0,1,0,0,s_amina
military,nordic,3,3,0,2,0,1,s_ironmaid;s_reina;v_gravemark
supernatural,space,1,0,0,0,1,0,p_nya
supernatural,magical,2,1,0,0,2,0,p_nibi;p_nya
supernatural,survival,2,0,2,0,0,0,daichi;itsuki
supernatural,pirate,3,0,0,2,0,1,s_tora;s_ryo;v_tempest
supernatural,martial,2,1,0,0,1,1,p_sakumi;v_onikage
supernatural,mythology,1,1,1,0,0,0,suzume
supernatural,nordic,1,0,1,0,0,0,renji
space,magical,4,1,1,0,3,0,sakura;p_nya;p_bloop;p_stellar
space,survival,1,0,0,0,1,0,p_umi
space,pirate,1,1,0,0,1,0,p_brine
space,martial,2,0,2,0,0,0,sakura;n_ryoko
space,mythology,1,0,1,0,0,0,mira
space,nordic,1,0,0,0,1,0,p_fuwa
magical,survival,4,0,0,1,2,1,s_maki;p_silt;p_peko;v_warden
magical,pirate,3,0,0,1,2,0,s_linh;p_silt;p_sora
magical,martial,2,1,2,0,0,0,goro;sakura
magical,mythology,1,0,0,0,1,0,p_rin2
magical,nordic,2,0,0,1,0,1,s_maki;v_amethyst
survival,pirate,3,2,1,1,1,0,ash;s_aoi;p_silt
survival,martial,2,0,1,1,0,0,ash;s_riku
survival,mythology,2,1,0,1,0,1,s_amina;v_blackout
survival,nordic,3,3,1,1,1,0,yuki;s_maki;p_mugi
pirate,martial,3,0,1,0,1,1,ash;p_chacha;v_inquisitor
pirate,mythology,3,2,0,0,2,1,s_haruto;p_fuu;v_baron
pirate,nordic,1,0,0,0,0,1,v_scuttle
martial,mythology,3,0,1,1,1,0,kenta;s_ichiro;p_lumen
martial,nordic,3,0,1,1,1,0,kaede;s_eiji;p_lumen
mythology,nordic,1,1,0,0,1,0,p_lumen
