genre_1,genre_2,key,first_release_multiplier,learned_multiplier,discovery_class
fantasy,martial,fantasy|martial,1.0,1.0,neutral
fantasy,mythology,fantasy|mythology,1.22,1.22,strong
fantasy,nordic,fantasy|nordic,1.15,1.15,supportive
idol,mystery,idol|mystery,1.0,1.0,neutral
idol,comedy,comedy|idol,1.0,1.0,neutral
idol,cooking,cooking|idol,1.12,1.12,supportive
idol,military,idol|military,1.0,1.18,experimental
idol,supernatural,idol|supernatural,1.0,1.0,neutral
idol,space,idol|space,1.0,1.0,neutral
idol,magical,idol|magical,1.14,1.14,supportive
idol,survival,idol|survival,1.0,1.0,neutral
idol,pirate,idol|pirate,1.0,1.0,neutral
idol,martial,idol|martial,1.0,1.0,neutral
idol,mythology,idol|mythology,1.0,1.0,neutral
idol,nordic,idol|nordic,1.0,1.0,neutral
mystery,comedy,comedy|mystery,1.0,1.0,neutral
mystery,cooking,cooking|mystery,1.0,1.0,neutral
mystery,military,military|mystery,1.0,1.0,neutral
mystery,supernatural,mystery|supernatural,1.15,1.15,supportive
mystery,space,mystery|space,1.0,1.0,neutral
mystery,magical,magical|mystery,1.0,1.0,neutral
mystery,survival,mystery|survival,1.0,1.0,neutral
mystery,pirate,mystery|pirate,1.0,1.0,neutral
mystery,martial,martial|mystery,1.0,1.0,neutral
mystery,mythology,mystery|mythology,1.0,1.0,neutral
mystery,nordic,mystery|nordic,1.0,1.0,neutral
comedy,cooking,comedy|cooking,1.0,1.0,neutral
comedy,military,comedy|military,1.0,1.0,neutral
comedy,supernatural,comedy|supernatural,1.0,1.0,neutral
comedy,space,comedy|space,1.0,1.0,neutral
comedy,magical,comedy|magical,1.0,1.0,neutral
comedy,survival,comedy|survival,1.0,1.0,neutral
comedy,pirate,comedy|pirate,1.0,1.0,neutral
comedy,martial,comedy|martial,1.0,1.0,neutral
comedy,mythology,comedy|mythology,1.0,1.0,neutral
comedy,nordic,comedy|nordic,1.0,1.0,neutral
cooking,military,cooking|military,1.0,1.0,neutral
cooking,supernatural,cooking|supernatural,1.0,1.0,neutral
cooking,space,cooking|space,1.0,1.12,experimental
cooking,magical,cooking|magical,1.0,1.0,neutral
cooking,survival,cooking|survival,1.0,1.0,neutral
cooking,pirate,cooking|pirate,1.0,1.0,neutral
cooking,martial,cooking|martial,1.0,1.0,neutral
cooking,mythology,cooking|mythology,1.0,1.0,neutral
cooking,nordic,cooking|nordic,1.0,1.0,neutral
military,supernatural,military|supernatural,1.0,1.0,neutral
military,space,military|space,1.0,1.0,neutral
military,magical,magical|military,1.0,1.25,experimental
military,survival,military|survival,1.18,1.18,supportive
military,pirate,military|pirate,1.0,1.0,neutral
military,martial,martial|military,1.0,1.0,neutral
military,mythology,military|mythology,1.0,1.0,neutral
military,nordic,military|nordic,1.0,1.0,neutral
supernatural,space,space|supernatural,1.0,1.0,neutral
supernatural,magical,magical|supernatural,1.0,1.0,neutral
supernatural,survival,supernatural|survival,1.0,1.0,neutral
supernatural,pirate,pirate|supernatural,1.0,1.0,neutral
supernatural,martial,martial|supernatural,1.0,1.0,neutral
supernatural,mythology,mythology|supernatural,1.2,1.2,strong
supernatural,nordic,nordic|supernatural,1.0,1.0,neutral
space,magical,magical|space,1.0,1.0,neutral
space,survival,space|survival,1.0,1.0,neutral
space,pirate,pirate|space,1.0,1.0,neutral
space,martial,martial|space,1.0,1.0,neutral
space,mythology,mythology|space,1.0,1.0,neutral
space,nordic,nordic|space,1.0,1.0,neutral
magical,survival,magical|survival,1.0,1.0,neutral
magical,pirate,magical|pirate,1.0,1.0,neutral
magical,martial,magical|martial,1.0,1.0,neutral
magical,mythology,magical|mythology,1.18,1.18,supportive
magical,nordic,magical|nordic,1.0,1.0,neutral
survival,pirate,pirate|survival,1.0,1.0,neutral
survival,martial,martial|survival,1.0,1.0,neutral
survival,mythology,mythology|survival,1.0,1.0,neutral
survival,nordic,nordic|survival,1.18,1.18,supportive
pirate,martial,martial|pirate,1.0,1.0,neutral
pirate,mythology,mythology|pirate,1.0,1.0,neutral
pirate,nordic,nordic|pirate,1.0,1.0,neutral
martial,mythology,martial|mythology,1.0,1.0,neutral
martial,nordic,martial|nordic,1.0,1.0,neutral
mythology,nordic,mythology|nordic,1.2,1.2,strong
