posterSlot,filename,catalogId,title,homageReference,animeType,genre1,genre2
61,poster_061.webp,user_ip_061,Spiral Tide,Final Fantasy X,shojo,fantasy,romance
62,poster_062.webp,user_ip_062,Black File,Men in Black,shonen,space,comedy
63,poster_063.webp,user_ip_063,Plastic Kingdom,Mean Girls,shojo,comedy,slice
64,poster_064.webp,user_ip_064,Poison Petals,Heathers,shojo,comedy,horror
65,poster_065.webp,user_ip_065,Winter Maw,The Grey,shonen,survival,nordic
66,poster_066.webp,user_ip_066,Thousand Bad Ends,A Million Ways to Die in the West,shojo,comedy,martial
67,poster_067.webp,user_ip_067,Starspark Stunt,Hot Rod,shojo,comedy,sports
68,poster_068.webp,user_ip_068,Shadowmaw,The Demonata,shonen,horror,supernatural
69,poster_069.webp,user_ip_069,Stormheart Castle,Howl's Moving Castle novel series,shojo,magical,romance
70,poster_070.webp,user_ip_070,Sword and Rose,The Princess Bride,shojo,romance,comedy
71,poster_071.webp,user_ip_071,Lionheart War,Final Fantasy Tactics: The War of the Lions,shonen,fantasy,military
72,poster_072.webp,user_ip_072,The Obsidian Archive,The Magnus Archives,shojo,mystery,horror
73,poster_073.webp,user_ip_073,500 Days of Sunlight,500 Days of Summer,shojo,romance,slice
74,poster_074.webp,user_ip_074,Moonstake Hunter,Buffy the Vampire Slayer,shojo,supernatural,martial
75,poster_075.webp,user_ip_075,Parasol Academy,The Umbrella Academy,shojo,supernatural,mystery
76,poster_076.webp,user_ip_076,Starbound Slumber,Passengers,shojo,romance,space
77,poster_077.webp,user_ip_077,Silicon Heart,Her,shojo,romance,cyber
78,poster_078.webp,user_ip_078,The Last Letter,The Notebook,shojo,romance,slice
79,poster_079.webp,user_ip_079,Hidden Dragon Moon,"Crouching Tiger, Hidden Dragon",shojo,martial,romance
80,poster_080.webp,user_ip_080,Bullet Requiem,Max Payne,shonen,mystery,cyber
