poster_number,source_filename,slot_id,studio,anime_types,genres,family,img
"81","poster_081.png","toei_p081","Toe-i Animation","shonen","samurai|martial","toei-samurai-2","rival-posters/imported/toei_p081.png"
"82","poster_082.png","kyo_p082","Kyo-Hani","shojo","romance|slice","kyo-romance-4","rival-posters/imported/kyo_p082.png"
"83","poster_083.png","sunrise_p083","Sunnyrise","shonen","mecha|space","sunrise-mecha-3","rival-posters/imported/sunrise_p083.png"
"84","poster_084.png","ttl_p084","Turtle Line","shojo","idol|magical","ttl-idol-1","rival-posters/imported/ttl_p084.png"
"85","poster_085.png","toei_p085","Toe-i Animation","shonen","pirate|martial","toei-pirate-1","rival-posters/imported/toei_p085.png"
"86","poster_086.png","ttl_p086","Turtle Line","shojo","magical|mystery","ttl-magical-2","rival-posters/imported/ttl_p086.png"
"87","poster_087.png","sunrise_p087","Sunnyrise","shonen","sports|cyber","sunrise-sports-1","rival-posters/imported/sunrise_p087.png"
"88","poster_088.png","bones_p088","Boneworks","shojo","horror|romance","bones-horror-2","rival-posters/imported/bones_p088.png"
"89","poster_089.png","madcap_p089","Madcap House","shonen","fantasy|survival","madcap-fantasy-3","rival-posters/imported/madcap_p089.png"
"90","poster_090.png","sunrise_p090","Sunnyrise","shonen","sports|cyber","sunrise-sports-1","rival-posters/imported/sunrise_p090.png"
"91","poster_091.png","ttl_p091","Turtle Line","shojo","romance|idol","ttl-romance-2","rival-posters/imported/ttl_p091.png"
"92","poster_092.png","sunrise_p092","Sunnyrise","shonen","sports|cyber","","rival-posters/imported/sunrise_p092.png"
"93","poster_093.png","bones_p093","Boneworks","shonen|shojo","mythology|supernatural","","rival-posters/imported/bones_p093.png"
"94","poster_094.png","toei_p094","Toe-i Animation","shonen","pirate|fantasy","toei-pirate-2","rival-posters/imported/toei_p094.png"
"95","poster_095.png","bones_p095","Boneworks","shojo","horror|romance","bones-horror-2","rival-posters/imported/bones_p095.png"
"96","poster_096.png","bones_p096","Boneworks","shonen|shojo","cyber|supernatural","bones-cyber-2","rival-posters/imported/bones_p096.png"
"97","poster_097.png","madcap_p097","Madcap House","shonen|shojo","fantasy|mythology","madcap-fantasy-3","rival-posters/imported/madcap_p097.png"
"98","poster_098.png","ttl_p098","Turtle Line","shojo","idol|romance","ttl-idol-2","rival-posters/imported/ttl_p098.png"
"99","poster_099.png","sunrise_p099","Sunnyrise","shonen","space|military","sunrise-space-1","rival-posters/imported/sunrise_p099.png"
"100","poster_100.png","toei_p100","Toe-i Animation","shonen","sports|martial","toei-sports-1","rival-posters/imported/toei_p100.png"
"101","poster_101.png","kyo_p101","Kyo-Hani","shojo","nordic|romance","kyo-nordic-1","rival-posters/imported/kyo_p101.png"
"102","poster_102.png","madcap_p102","Madcap House","shojo","slice|comedy","madcap-slice-2","rival-posters/imported/madcap_p102.png"
"103","poster_103.png","bones_p103","Boneworks","shonen|shojo","supernatural|horror","bones-supernatural-1","rival-posters/imported/bones_p103.png"
"104","poster_104.png","kyo_p104","Kyo-Hani","shojo","mystery|romance","","rival-posters/imported/kyo_p104.png"
"105","poster_105.png","madcap_p105","Madcap House","shonen","fantasy|survival","madcap-fantasy-3","rival-posters/imported/madcap_p105.png"
"106","poster_106.png","madcap_p106","Madcap House","shojo","cooking|slice","","rival-posters/imported/madcap_p106.png"
"107","poster_107.png","toei_p107","Toe-i Animation","shonen","mecha|military","toei-mecha-1","rival-posters/imported/toei_p107.png"
"108","poster_108.png","toei_p108","Toe-i Animation","shonen|shojo","samurai|romance","toei-samurai-2","rival-posters/imported/toei_p108.png"
"109","poster_109.png","toei_p109","Toe-i Animation","shonen","pirate|martial","toei-pirate-2","rival-posters/imported/toei_p109.png"
"110","poster_110.png","kyo_p110","Kyo-Hani","shojo","romance|mythology","kyo-romance-4","rival-posters/imported/kyo_p110.png"
"111","poster_111.png","ttl_p111","Turtle Line","shojo","idol|slice","ttl-idol-2","rival-posters/imported/ttl_p111.png"
"112","poster_112.png","bones_p112","Boneworks","shonen|shojo","supernatural|mystery","bones-supernatural-2","rival-posters/imported/bones_p112.png"
"113","poster_113.png","madcap_p113","Madcap House","shonen|shojo","fantasy|mythology","madcap-fantasy-4","rival-posters/imported/madcap_p113.png"
"114","poster_114.png","ttl_p114","Turtle Line","shojo","romance|mythology","ttl-romance-2","rival-posters/imported/ttl_p114.png"
"115","poster_115.png","sunrise_p115","Sunnyrise","shonen","cyber|sports","sunrise-cyber-2","rival-posters/imported/sunrise_p115.png"
"116","poster_116.png","sunrise_p116","Sunnyrise","shojo","space|romance","sunrise-space-2","rival-posters/imported/sunrise_p116.png"
"117","poster_117.png","bones_p117","Boneworks","shonen","supernatural|survival","bones-supernatural-2","rival-posters/imported/bones_p117.png"
"118","poster_118.png","madcap_p118","Madcap House","shonen|shojo","sports|slice","madcap-sports-1","rival-posters/imported/madcap_p118.png"
"119","poster_119.png","madcap_p119","Madcap House","shojo","slice|romance","madcap-slice-3","rival-posters/imported/madcap_p119.png"
"120","poster_120.png","bones_p120","Boneworks","shonen","supernatural|shinobi","bones-supernatural-2","rival-posters/imported/bones_p120.png"
"121","poster_121.png","bones_p121","Boneworks","shonen","survival|fantasy","bones-survival-1","rival-posters/imported/bones_p121.png"
"122","poster_122.png","ttl_p122","Turtle Line","shojo","magical|fantasy","ttl-magical-2","rival-posters/imported/ttl_p122.png"
"123","poster_123.png","toei_p123","Toe-i Animation","shonen","martial|sports","","rival-posters/imported/toei_p123.png"
"124","poster_124.png","ttl_p124","Turtle Line","shojo","mythology|romance","ttl-mythology-1","rival-posters/imported/ttl_p124.png"
"125","poster_125.png","sunrise_p125","Sunnyrise","shonen","mecha|space","sunrise-mecha-3","rival-posters/imported/sunrise_p125.png"
"126","poster_126.png","ttl_p126","Turtle Line","shojo","romance|mythology","ttl-romance-3","rival-posters/imported/ttl_p126.png"
"127","poster_127.png","ttl_p127","Turtle Line","shojo","magical|mystery","ttl-magical-3","rival-posters/imported/ttl_p127.png"
"128","poster_128.png","madcap_p128","Madcap House","shonen|shojo","fantasy|mythology","madcap-fantasy-4","rival-posters/imported/madcap_p128.png"
"129","poster_129.png","madcap_p129","Madcap House","shonen","fantasy|survival","madcap-fantasy-4","rival-posters/imported/madcap_p129.png"
"130","poster_130.png","ttl_p130","Turtle Line","shojo","romance|idol","ttl-romance-3","rival-posters/imported/ttl_p130.png"
"131","poster_131.png","madcap_p131","Madcap House","shonen|shojo","fantasy|space","madcap-fantasy-5","rival-posters/imported/madcap_p131.png"
"132","poster_132.png","kyo_p132","Kyo-Hani","shonen|shojo","nordic|fantasy","kyo-nordic-1","rival-posters/imported/kyo_p132.png"
"133","poster_133.png","toei_p133","Toe-i Animation","shonen","samurai|mystery","","rival-posters/imported/toei_p133.png"
"134","poster_134.png","ttl_p134","Turtle Line","shojo","idol|magical","ttl-idol-2","rival-posters/imported/ttl_p134.png"
"135","poster_135.png","bones_p135","Boneworks","shonen|shojo","cyber|mystery","","rival-posters/imported/bones_p135.png"
"136","poster_136.png","bones_p136","Boneworks","shonen","horror|survival","bones-horror-3","rival-posters/imported/bones_p136.png"
"137","poster_137.png","madcap_p137","Madcap House","shonen","fantasy|survival","madcap-fantasy-5","rival-posters/imported/madcap_p137.png"
"138","poster_138.png","ttl_p138","Turtle Line","shojo","magical|idol","ttl-magical-3","rival-posters/imported/ttl_p138.png"
"139","poster_139.png","sunrise_p139","Sunnyrise","shonen","mecha|space","sunrise-mecha-3","rival-posters/imported/sunrise_p139.png"
"140","poster_140.png","bones_p140","Boneworks","shonen|shojo","horror|mystery","bones-horror-3","rival-posters/imported/bones_p140.png"
"141","poster_141.png","toei_p141","Toe-i Animation","shonen","sports|martial","toei-sports-1","rival-posters/imported/toei_p141.png"
"142","poster_142.png","kyo_p142","Kyo-Hani","shojo","romance|mythology","","rival-posters/imported/kyo_p142.png"
"143","poster_143.png","bones_p143","Boneworks","shonen","supernatural|samurai","bones-supernatural-3","rival-posters/imported/bones_p143.png"
"144","poster_144.png","sunrise_p144","Sunnyrise","shonen|shojo","cyber|space","sunrise-cyber-2","rival-posters/imported/sunrise_p144.png"
"145","poster_145.png","madcap_p145","Madcap House","shonen","fantasy|survival","madcap-fantasy-5","rival-posters/imported/madcap_p145.png"
"146","poster_146.png","ttl_p146","Turtle Line","shojo","slice|romance","","rival-posters/imported/ttl_p146.png"
"147","poster_147.png","sunrise_p147","Sunnyrise","shonen","cyber|sports","sunrise-cyber-2","rival-posters/imported/sunrise_p147.png"
"148","poster_148.png","sunrise_p148","Sunnyrise","shonen|shojo","mecha|magical","","rival-posters/imported/sunrise_p148.png"
"149","poster_149.png","bones_p149","Boneworks","shonen","shinobi|supernatural","","rival-posters/imported/bones_p149.png"
"150","poster_150.png","kyo_p150","Kyo-Hani","shojo","fantasy|romance","kyo-fantasy-2","rival-posters/imported/kyo_p150.png"
"151","poster_151.png","madcap_p151","Madcap House","shojo","slice|comedy","madcap-slice-3","rival-posters/imported/madcap_p151.png"
"152","poster_152.png","toei_p152","Toe-i Animation","shonen","pirate|horror","toei-pirate-2","rival-posters/imported/toei_p152.png"
"153","poster_153.png","kyo_p153","Kyo-Hani","shonen","nordic|military","kyo-nordic-2","rival-posters/imported/kyo_p153.png"
"154","poster_154.png","kyo_p154","Kyo-Hani","shojo","fantasy|romance","kyo-fantasy-2","rival-posters/imported/kyo_p154.png"
"155","poster_155.png","sunrise_p155","Sunnyrise","shonen","space|military","sunrise-space-2","rival-posters/imported/sunrise_p155.png"
"156","poster_156.png","bones_p156","Boneworks","shojo","horror|romance","bones-horror-3","rival-posters/imported/bones_p156.png"
"157","poster_157.png","sunrise_p157","Sunnyrise","shonen","cyber|shinobi","","rival-posters/imported/sunrise_p157.png"
"158","poster_158.png","ttl_p158","Turtle Line","shojo","romance|mythology","ttl-romance-3","rival-posters/imported/ttl_p158.png"
"159","poster_159.png","bones_p159","Boneworks","shonen|shojo","supernatural|cyber","bones-supernatural-3","rival-posters/imported/bones_p159.png"
"160","poster_160.png","kyo_p160","Kyo-Hani","shonen|shojo","nordic|fantasy","kyo-nordic-2","rival-posters/imported/kyo_p160.png"
