id,name,role,archetype,affinities,action,staged_file,old_img,old_pos,source_set,source_sheet,source_panel
p_piko,Piko,pet,Pixel Slime,cyber|isekai|magical|comedy,REPLACE,portrait_staging/pet/p_piko__piko.webp,img/cast-pet-4.jpg,3,set4,six_panel_fantasy_animal_adventure.png,2
p_pochi,Pochi,pet,Robot Puppy,mecha|cyber|racing|magical,REPLACE,portrait_staging/pet/p_pochi__pochi.webp,img/cast-pet-4.jpg,0,set4,six_panel_fantasy_animal_adventure.png,3
p_pomu,Pomu,pet,Apple Squirrel,slice|shojo,REPLACE,portrait_staging/pet/p_pomu__pomu.webp,img/cast-pet-7.jpg,1,set3,six_whimsical_fantasy_animal_adventures.png,3
p_ponta,Ponta,pet,Grumpy Red Panda,slice|romance|comedy|cooking,REPLACE,portrait_staging/pet/p_ponta__ponta.webp,img/cast-pet-10.jpg,0,set4,six_panel_fantasy_animal_adventure.png,4
p_pudding,Pudding,pet,Wobbly Blob Dog,slice|romance|cooking|idol,REPLACE,portrait_staging/pet/p_pudding__pudding.webp,img/cast4/p_pudding.jpg,,set4,six_panel_fantasy_animal_adventure.png,5
p_puri,Puri,pet,Cream Dragon,fantasy|shonen|isekai|slice,REPLACE,portrait_staging/pet/p_puri__puri.webp,img/cast-pet-8.jpg,3,set3,fantastical_six_panel_character_showcase.png,3
p_rin2,Rin,pet,Pearl Koi,fantasy|shojo,REPLACE,portrait_staging/pet/p_rin2__rin.webp,img/cast-pet-7.jpg,3,set3,six_whimsical_fantasy_animal_adventures.png,5
p_ruri,Ruri,pet,Crystal Bird,fantasy|idol,REPLACE,portrait_staging/pet/p_ruri__ruri.webp,img/cast-pet-4.jpg,1,set3,fantastical_six_panel_character_showcase.png,4
p_sakumi,Sakumi,pet,Blossom Ferret,shojo|slice|romance|magical|supernatural,REPLACE,portrait_staging/pet/p_sakumi__sakumi.webp,img/cast-pet-9.jpg,1,new_39_completion,sheet1,2
p_sora,Sora,pet,Cloud Sheep,slice|fantasy,REPLACE,portrait_staging/pet/p_sora__sora.webp,img/cast-pet-5.jpg,1,set3,six_whimsical_fantasy_animal_adventures.png,4
p_stellar,Stellar,pet,Comet Kitten,space|magical|shojo|cooking,REPLACE,portrait_staging/pet/p_stellar__stellar.webp,img/cast4/p_stellar.jpg,,set4,six_panel_fantasy_animal_adventure.png,6
p_tama,Tama,pet,Floating Baby Whale,fantasy|slice|space,REPLACE,portrait_staging/pet/p_tama__tama.webp,img/cast-pet-1.jpg,3,set3,six_magical_creatures_across_worlds.png,5
p_teto,Teto,pet,Frog,slice|sports,REPLACE,portrait_staging/pet/p_teto__teto.webp,img/cast-pet-6.jpg,2,set3,fantastical_six_panel_character_showcase.png,6
p_toro,Toro,pet,Tanuki,slice|fantasy,REPLACE,portrait_staging/pet/p_toro__toro.webp,img/cast-pet-4.jpg,2,set3,fantastical_six_panel_character_showcase.png,5
p_umi,Umi,pet,Blue Axolotl,slice|mystery,REPLACE,portrait_staging/pet/p_umi__umi.webp,img/cast-pet-2.jpg,1,set3,six_magical_creatures_across_worlds.png,6
p_yuzu,Yuzu,pet,Citrus Cat,slice|shojo|cooking,REPLACE,portrait_staging/pet/p_yuzu__yuzu.webp,img/cast-pet-8.jpg,1,set1,fantasy_mascots_six_panel_adventure.png,6
airi,Airi,protag,Center Stage,idol|shonen|slice|mecha,REPLACE,portrait_staging/protag/airi__airi.webp,img/cast4/airi.jpg,,set2,six_anime_worlds_in_motion.png,1
akira,Akira,protag,Neon Ronin,cyber|shonen|horror|noir,REPLACE,portrait_staging/protag/akira__akira.webp,img/cast4/akira.jpg,,set2,six_anime_worlds_in_motion.png,2
ash,Ash,protag,Green Arrow,fantasy|isekai|mystery|supernatural|sports,REPLACE,portrait_staging/protag/ash__ash.webp,img/cast4/ash.jpg,,set2,six_anime_worlds_in_motion.png,4
aya,Aya,protag,Rose Thorn,shojo|romance|mystery,REPLACE,portrait_staging/protag/aya__aya.webp,img/cast-protag-1.jpg,3,set2,six_anime_worlds_in_motion.png,5
daichi,Daichi,protag,Earthbreaker,shonen|fantasy|sports|military,REPLACE,portrait_staging/protag/daichi__daichi.webp,img/cast4/daichi.jpg,,set4,six_heroes_one_epic_journey.png,1
emi,Emi,protag,Cottage Witch,fantasy|slice|romance|magical,REPLACE,portrait_staging/protag/emi__emi.webp,img/cast4/emi.jpg,,set4,six_heroes_one_epic_journey.png,2
fumi,Fumi,protag,Brushstroke,slice|idol|shojo,REPLACE,portrait_staging/protag/fumi__fumi.webp,img/cast-protag-7.jpg,2,set1,six_dynamic_anime_moments.png,6
goro,Goro,protag,Sumo Spirit,sports|shonen|slice,REPLACE,portrait_staging/protag/goro__goro.webp,img/cast-protag-4.jpg,0,set4,six_heroes_one_epic_journey.png,3
hana,Hana,protag,Petalfall,shojo|fantasy|romance,REPLACE,portrait_staging/protag/hana__hana.webp,img/cast-protag-4.jpg,1,new_39_completion,sheet1,3
haru,Haru,protag,Sunrise Sprinter,sports|slice|shonen,REPLACE,portrait_staging/protag/haru__haru.webp,img/cast-protag-6.jpg,3,set4,six_heroes_one_epic_journey.png,4
hikari,Hikari,protag,Prism Wish,shojo|fantasy|romance|magical,REPLACE,portrait_staging/protag/hikari__hikari.webp,img/cast4/hikari.jpg,,set2,six_panels_of_anime_nightfall.png,1
itsuki,Itsuki,protag,Ink & Lamplight,romance|mystery|slice|noir|supernatural|isekai,REPLACE,portrait_staging/protag/itsuki__itsuki.webp,img/cast4/itsuki.jpg,,set4,six_panel_anime_character_showcase.png,5
jin,Jin,protag,Ghost Driver,mecha|cyber|sports|racing,REPLACE,portrait_staging/protag/jin__jin.webp,img/cast4/jin.jpg,,set2,six_panels_of_anime_nightfall.png,3
jun,Jun,protag,Foxfire,fantasy|isekai|mystery,REPLACE,portrait_staging/protag/jun__jun.webp,img/cast-protag-8.jpg,1,set2,six_panels_of_anime_nightfall.png,4
kaede,Kaede,protag,Autumn Verse,slice|romance|fantasy,REPLACE,portrait_staging/protag/kaede__kaede.webp,img/cast-protag-8.jpg,2,set4,six_heroes_one_epic_journey.png,5
kage,Kage,protag,Shadow Edge,horror|mystery|cyber,REPLACE,portrait_staging/protag/kage__kage.webp,img/protag-kage.jpg,,set2,six_panels_of_anime_nightfall.png,6
kai,Kai,protag,Battle Heart,shonen|sports|fantasy,REPLACE,portrait_staging/protag/kai__kai.webp,img/protag-kai.jpg,,set2,anime_action_heroes_collage.png,1
kaito,Kaito,protag,Sky Pirate,fantasy|shonen|isekai,REPLACE,portrait_staging/protag/kaito__kaito.webp,img/cast-protag-5.jpg,1,set2,anime_action_heroes_collage.png,2
kenta,Kenta,protag,Punchline,shonen|sports|idol|comedy,REPLACE,portrait_staging/protag/kenta__kenta.webp,img/cast4/kenta.jpg,,set2,anime_action_heroes_collage.png,3
kota,Kota,protag,Oak Heart,shonen|fantasy|sports,REPLACE,portrait_staging/protag/kota__kota.webp,img/cast-protag-7.jpg,1,set4,six_heroes_one_epic_journey.png,6
kuro,Kuro,protag,Red Coat,cyber|shonen|horror|noir|racing,REPLACE,portrait_staging/protag/kuro__kuro.webp,img/cast4/kuro.jpg,,set2,anime_action_heroes_collage.png,5
leo,Leo,protag,No Rules,sports|slice|idol|comedy|racing,REPLACE,portrait_staging/protag/leo__leo.webp,img/cast4/leo.jpg,,set2,anime_action_heroes_collage.png,6
mako,Mako,protag,Tidecaller,fantasy|shonen|sports,REPLACE,portrait_staging/protag/mako__mako.webp,img/cast-protag-1.jpg,0,set4,six_panel_anime_character_showcase.png,1
mio,Mio,protag,Moonlit Dancer,idol|slice|romance,REPLACE,portrait_staging/protag/mio__mio.webp,img/cast-protag-2.jpg,1,set4,six_panel_anime_character_showcase.png,2
mira,Mira,protag,Nebula Singer,idol|cyber|fantasy|space,REPLACE,portrait_staging/protag/mira__mira.webp,img/cast4/mira.jpg,,set2,six_panel_anime_fantasy_showcase.png,4
momo,Momo,protag,Peach Bomb,shojo|idol|shonen,REPLACE,portrait_staging/protag/momo__momo.webp,img/cast-protag-6.jpg,0,set4,six_panel_anime_character_showcase.png,3
n_aoi,Aoi,protag,Otherworld Heiress,isekai|shojo|fantasy|romance,REPLACE,portrait_staging/protag/n_aoi__aoi.webp,img/cast3/aoi.jpg,,set2,six_anime_worlds_in_motion.png,3
n_chisato,Chisato,protag,Heartthrob Striker,romance|sports|shojo|racing,REPLACE,portrait_staging/protag/n_chisato__chisato.webp,img/cast4/n_chisato.jpg,,set2,six_anime_worlds_in_motion.png,6
n_mikoto,Mikoto,protag,Witch's Apprentice,magical|shojo|romance|sports,REPLACE,portrait_staging/protag/n_mikoto__mikoto.webp,img/cast3/mikoto.jpg,,set2,six_panel_anime_fantasy_showcase.png,2
n_reiwa,Reiwa,protag,Noir Diva,noir|idol|cyber,REPLACE,portrait_staging/protag/n_reiwa__reiwa.webp,img/cast3/reiwa.jpg,,set2,cyberpunk_anime_character_montage.png,3
n_ryoko,Ryoko,protag,Moonlight Mechanic,mecha|shojo|space|romance,REPLACE,portrait_staging/protag/n_ryoko__ryoko.webp,img/cast4/n_ryoko.jpg,,set2,epic_anime_fantasy_character_gallery.png,1
n_saku,Saku,protag,Idol Voyager,isekai|idol|shojo,REPLACE,portrait_staging/protag/n_saku__saku.webp,img/cast3/saku.jpg,,set2,epic_anime_fantasy_character_gallery.png,4
nana,Nana,protag,Bubblegum Punk,idol|cyber|shojo,REPLACE,portrait_staging/protag/nana__nana.webp,img/cast-protag-3.jpg,1,set2,six_panel_anime_fantasy_showcase.png,6
niko,Niko,protag,Gadget Ghost,cyber|mystery|mecha,REPLACE,portrait_staging/protag/niko__niko.webp,img/cast-protag-1.jpg,2,set2,cyberpunk_anime_character_montage.png,1
rei,Rei,protag,Steel Resolve,mecha|cyber|mystery|supernatural,REPLACE,portrait_staging/protag/rei__rei.webp,img/cast4/rei.jpg,,set2,cyberpunk_anime_character_montage.png,2
renji,Renji,protag,Silent Snow,mystery|romance|cyber|noir,REPLACE,portrait_staging/protag/renji__renji.webp,img/cast4/renji.jpg,,set2,cyberpunk_anime_character_montage.png,4
riko,Riko,protag,Clockwork Heart,mystery|mecha|cyber,REPLACE,portrait_staging/protag/riko__riko.webp,img/cast-protag-5.jpg,2,set2,cyberpunk_anime_character_montage.png,5
rin,Rin,protag,Thunderstep,sports|shonen|slice|racing,REPLACE,portrait_staging/protag/rin__rin.webp,img/cast4/rin.jpg,,set2,cyberpunk_anime_character_montage.png,6
ryu,Ryu,protag,Dragonheart,shonen|fantasy|isekai,REPLACE,portrait_staging/protag/ryu__ryu.webp,img/cast-protag-3.jpg,0,set2,epic_anime_fantasy_character_gallery.png,2
saki,Saki,protag,Paper Crane,slice|mystery|shojo,REPLACE,portrait_staging/protag/saki__saki.webp,img/cast-protag-2.jpg,3,set4,six_panel_anime_character_showcase.png,4
sakura,Sakura,protag,Blossom Blade,shonen|shojo|fantasy,REPLACE,portrait_staging/protag/sakura__sakura.webp,img/cast-protag-8.jpg,0,set2,epic_anime_fantasy_character_gallery.png,5
sen,Sen,protag,Scarred Blade,shonen|mystery|horror|noir|military|sports,REPLACE,portrait_staging/protag/sen__sen.webp,img/cast4/sen.jpg,,set2,epic_anime_fantasy_character_gallery.png,6
shiori,Shiori,protag,Wispkeeper,horror|fantasy|mystery|supernatural,REPLACE,portrait_staging/protag/shiori__shiori.webp,img/cast4/shiori.jpg,,new_39_completion,sheet1,4
shiro,Shiro,protag,Keen Mind,mystery|horror|slice,REPLACE,portrait_staging/protag/shiro__shiro.webp,img/protag-shiro.jpg,,set3,six_vignettes_of_shadows_and_light.png,1
sora,Sora,protag,Skyblade,isekai|fantasy|shonen|space,REPLACE,portrait_staging/protag/sora__sora.webp,img/cast4/sora.jpg,,new_39_completion,sheet1,5
sota,Sota,protag,Debugger,cyber|mystery|mecha,REPLACE,portrait_staging/protag/sota__sota.webp,img/cast-protag-8.jpg,3,set2,six_heroes_across_worlds.png,1
suzume,Suzume,protag,Foxfire Maiden,fantasy|horror|shojo|supernatural|magical|racing,REPLACE,portrait_staging/protag/suzume__suzume.webp,img/cast4/suzume.jpg,,set2,six_heroes_across_worlds.png,2
takumi,Takumi,protag,Paper Thin,mystery|slice|romance,REPLACE,portrait_staging/protag/takumi__takumi.webp,img/cast-protag-6.jpg,1,set2,six_heroes_across_worlds.png,3
taro,Taro,protag,Iron Chef,slice|sports|fantasy|cooking,REPLACE,portrait_staging/protag/taro__taro.webp,img/cast4/taro.jpg,,set2,six_heroes_across_worlds.png,4
tsubasa,Tsubasa,protag,Sky Wrench,mecha|isekai|sports|racing|military|space,REPLACE,portrait_staging/protag/tsubasa__tsubasa.webp,img/cast4/tsubasa.jpg,,set2,six_heroes_across_worlds.png,5
yui,Yui,protag,Everyday Warmth,slice|romance|shojo,REPLACE,portrait_staging/protag/yui__yui.webp,img/protag-yui.jpg,,set2,six_heroes_across_worlds.png,6
yuki,Yuki,protag,Frostbite,horror|mystery|slice,REPLACE,portrait_staging/protag/yuki__yuki.webp,img/cast-protag-4.jpg,3,set2,six_cinematic_fantasy_character_panels.png,1
yuzuki,Yuzuki,protag,Lantern Guide,shojo|slice|mystery,REPLACE,portrait_staging/protag/yuzuki__yuzuki.webp,img/cast-protag-7.jpg,0,set4,six_panel_anime_character_showcase.png,6
zuri,Zuri,protag,Gearsmith,mecha|sports|fantasy|racing|cooking,REPLACE,portrait_staging/protag/zuri__zuri.webp,img/cast4/zuri.jpg,,set2,six_cinematic_fantasy_character_panels.png,3
s_akane,Akane,secondary,The Cool Senpai,sports|idol|shojo,REPLACE,portrait_staging/secondary/s_akane__akane.webp,img/cast-secondary-2.jpg,0,set2,six_cinematic_fantasy_character_panels.png,4
s_alfred,Alfred,secondary,The Perfect Butler,mystery|romance|shojo|noir|comedy,REPLACE,portrait_staging/secondary/s_alfred__alfred.webp,img/cast4/s_alfred.jpg,,set2,six_cinematic_fantasy_character_panels.png,5
s_amber,Amber,secondary,The Hooded Traveller,isekai|fantasy|mystery|supernatural|cooking,REPLACE,portrait_staging/secondary/s_amber__amber.webp,img/cast4/s_amber.jpg,,set4,six_worlds_one_reaching_hand.png,1
s_anna,Anna,secondary,The Walking Encyclopedia,mystery|slice|fantasy,REPLACE,portrait_staging/secondary/s_anna__anna.webp,img/cast-secondary-3.jpg,0,set4,six_worlds_one_reaching_hand.png,2
s_aoi,Aoi,secondary,The Weather Girl,slice|romance|shojo|noir,REPLACE,portrait_staging/secondary/s_aoi__aoi.webp,img/cast4/s_aoi.jpg,,set2,anime_character_worlds_poster_grid.png,2
s_bolt,Bolt,secondary,Last-Lap Rival,racing|shonen|sports,REPLACE,portrait_staging/secondary/s_bolt__bolt.webp,img/cast3/bolt.jpg,,set4,six_worlds_one_reaching_hand.png,3
s_boone,Boone,secondary,The Grease Mentor,mecha|sports|slice|racing|cooking,REPLACE,portrait_staging/secondary/s_boone__boone.webp,img/cast4/s_boone.jpg,,set4,six_worlds_one_reaching_hand.png,4
s_chiaki,Chiaki,secondary,The Transfer Student,mystery|horror|cyber|supernatural,REPLACE,portrait_staging/secondary/s_chiaki__chiaki.webp,img/cast4/s_chiaki.jpg,,set2,anime_character_worlds_poster_grid.png,5
s_chika,Chika,secondary,The Pastry Dragon,slice|fantasy|romance,REPLACE,portrait_staging/secondary/s_chika__chika.webp,img/cast-secondary-6.jpg,2,set4,six_worlds_one_reaching_hand.png,5
s_daiki,Daiki,secondary,The Night Owl Gamer,cyber|mecha|slice,REPLACE,portrait_staging/secondary/s_daiki__daiki.webp,img/cast-secondary-4.jpg,1,set3,six_anime_character_portraits.png,1
s_eiji,Eiji,secondary,The Big Brother,shonen|slice|sports,REPLACE,portrait_staging/secondary/s_eiji__eiji.webp,img/cast-secondary-8.jpg,1,set3,six_anime_character_portraits.png,2
s_gen,Gen,secondary,The Lazy Genius,mystery|cyber|slice|military,REPLACE,portrait_staging/secondary/s_gen__gen.webp,img/cast4/s_gen.jpg,,set4,six_heroes_reaching_through_worlds.png,3
s_haruto,Nyanko,secondary,The Streetwise Cat,slice|shonen|mystery|racing,REPLACE,portrait_staging/secondary/s_haruto__nyanko.webp,img/cast4/s_haruto.jpg,,set4,six_heroes_reaching_through_worlds.png,1
s_hina,Hina,secondary,The Timid Artist,slice|shojo|romance,REPLACE,portrait_staging/secondary/s_hina__hina.webp,img/cast-secondary-7.jpg,2,set4,six_worlds_one_reaching_hand.png,6
s_ice,Ice,secondary,Cold Charm,romance|supernatural|idol,REPLACE,portrait_staging/secondary/s_ice__ice.webp,img/cast3/ice.jpg,,new_39_completion,sheet1,6
s_ichiro,Ichiro,secondary,Soft-Hearted Delinquent,shonen|slice|romance,REPLACE,portrait_staging/secondary/s_ichiro__ichiro.webp,img/cast-secondary-2.jpg,3,set4,six_panel_anime_character_collage.png,1
s_ironmaid,Valkyrie,secondary,Winged Sergeant,military|mecha|shojo|romance|magical,REPLACE,portrait_staging/secondary/s_ironmaid__valkyrie.webp,img/cast3/valkyrie.jpg,,new_39_completion,sheet3,4
s_kanna,Kanna,secondary,The Silent Bodyguard,mystery|horror|cyber|military|noir,REPLACE,portrait_staging/secondary/s_kanna__kanna.webp,img/cast4/s_kanna.jpg,,set4,six_panel_anime_character_collage.png,2
s_kazuki,Kazuki,secondary,The Drama Club Star,idol|romance|shojo,REPLACE,portrait_staging/secondary/s_kazuki__kazuki.webp,img/cast-secondary-7.jpg,3,set4,six_panel_anime_character_collage.png,3
s_ken,Ken,secondary,Strong & Silent,shonen|mecha|sports,REPLACE,portrait_staging/secondary/s_ken__ken.webp,img/cast-secondary-5.jpg,1,set1,six_panel_anime_action_collage.png,3
s_kiki,Kiki,secondary,The Comedic Engine,slice|shonen|idol|comedy,REPLACE,portrait_staging/secondary/s_kiki__kiki.webp,img/cast4/s_kiki.jpg,,new_39_completion,sheet2,1
s_koko,Koko,secondary,The Mystic Cat,mystery|fantasy|horror|cooking,REPLACE,portrait_staging/secondary/s_koko__koko.webp,img/cast4/s_koko.jpg,,new_39_completion,sheet2,2
s_lulu,Lulu,secondary,The Superfan,idol|shojo|slice,REPLACE,portrait_staging/secondary/s_lulu__lulu.webp,img/cast-secondary-3.jpg,2,set4,six_panel_anime_character_collage.png,4
s_maki,Maki,secondary,The Rival Ace,sports|shonen|idol|racing|military,REPLACE,portrait_staging/secondary/s_maki__maki.webp,img/cast4/s_maki.jpg,,new_39_completion,sheet2,3
s_megu,Megu,secondary,The Class Rep,slice|mystery|shojo,REPLACE,portrait_staging/secondary/s_megu__megu.webp,img/cast-secondary-7.jpg,0,set3,six_anime_character_portraits.png,3
s_mika,Mika,secondary,The Sass Master,shojo|romance|slice,REPLACE,portrait_staging/secondary/s_mika__mika.webp,img/cast-secondary-1.jpg,1,set3,six_anime_character_portraits.png,4
s_mimi,Mimi,secondary,The Fashion Queen,shojo|idol|romance|magical,REPLACE,portrait_staging/secondary/s_mimi__mimi.webp,img/cast-secondary-5.jpg,2,set3,six_anime_character_portraits.png,5
s_momoko,Momoko,secondary,The Team Manager,slice|sports|idol,REPLACE,portrait_staging/secondary/s_momoko__momoko.webp,img/cast-secondary-2.jpg,2,set4,six_panel_anime_character_collage.png,5
s_nanami,Nanami,secondary,The Gossip Columnist,slice|mystery|romance,REPLACE,portrait_staging/secondary/s_nanami__nanami.webp,img/cast-secondary-8.jpg,0,set4,six_panel_anime_character_collage.png,6
s_nozomi,Nozomi,secondary,The Childhood Friend,romance|slice|shojo,REPLACE,portrait_staging/secondary/s_nozomi__nozomi.webp,img/cast-secondary-4.jpg,0,set3,six_anime_character_portraits.png,6
s_okada,Okada,secondary,The Old Sensei,sports|shonen|slice|cooking,REPLACE,portrait_staging/secondary/s_okada__okada.webp,img/cast4/s_okada.jpg,,set4,six_heroes_reaching_through_worlds.png,2
s_peko,Peko,secondary,The Hype Friend,idol|shojo|slice|comedy|magical,REPLACE,portrait_staging/secondary/s_peko__peko.webp,img/cast4/s_peko.jpg,,new_39_completion,sheet2,4
s_reina,Reina,secondary,The Council President,mystery|romance|slice|military|noir,REPLACE,portrait_staging/secondary/s_reina__reina.webp,img/cast4/s_reina.jpg,,set4,six_heroes_reaching_through_worlds.png,4
s_ren,Ren,secondary,The Trusty Sidekick,shonen|slice|sports,REPLACE,portrait_staging/secondary/s_ren__ren.webp,img/cast-secondary-1.jpg,0,set1,six_panel_anime_action_showcase.png,1
s_riku,Riku,secondary,The Rival Ace,sports|shonen|mecha,REPLACE,portrait_staging/secondary/s_riku__riku.webp,img/cast-secondary-5.jpg,3,set1,six_panel_anime_action_showcase.png,2
s_ryo,Ryo,secondary,The Street Performer,idol|slice|romance,REPLACE,portrait_staging/secondary/s_ryo__ryo.webp,img/cast-secondary-6.jpg,3,set4,six_heroes_reaching_through_worlds.png,5
s_sakurako,Sakurako,secondary,The Elegant Rival,shojo|idol|mystery,REPLACE,portrait_staging/secondary/s_sakurako__sakurako.webp,img/cast-secondary-4.jpg,2,set1,six_panel_anime_action_showcase.png,4
s_shin,Pip,secondary,The Alien Analyst,mystery|cyber|horror|noir,REPLACE,portrait_staging/secondary/s_shin__pip.webp,img/cast4/s_shin.jpg,,new_39_completion,sheet2,5
s_soleil,Soleil,secondary,Star Knight,isekai|space|fantasy,REPLACE,portrait_staging/secondary/s_soleil__soleil.webp,img/cast3/soleil.jpg,,new_39_completion,sheet2,6
s_sosuke,Sosuke,secondary,The Automaton Butler,mystery|mecha|slice|comedy,REPLACE,portrait_staging/secondary/s_sosuke__sosuke.webp,img/cast4/s_sosuke.jpg,,set4,six_heroes_reaching_through_worlds.png,6
s_takeshi,Takeshi,secondary,The Drill Coach,sports|shonen|mecha|military,REPLACE,portrait_staging/secondary/s_takeshi__takeshi.webp,img/cast4/s_takeshi.jpg,,new_39_completion,sheet3,1
s_tobi,Tobi,secondary,The Rookie Reporter,slice|mystery|cyber|noir|space,REPLACE,portrait_staging/secondary/s_tobi__tobi.webp,img/cast4/s_tobi.jpg,,new_39_completion,sheet3,2
s_tora,Tora,secondary,The Tiger Bruiser,shonen|sports|fantasy,REPLACE,portrait_staging/secondary/s_tora__tora.webp,img/cast-secondary-7.jpg,1,new_39_completion,sheet3,3
