id,name,generation,role,anime_type,visible_genre_1,visible_genre_2,hidden_affinity,runtime_portrait_path,source_portrait_path,source_manifest_row,source_manifest_sequence,expected_source_filename,expected_runtime_filename,actual_runtime_filename,sha256,source_sha256,perceptual_hash,width,height,source_file_exists,runtime_file_exists,filename_id_mapping_matches,runtime_references_intended_source,metadata_matches_authoritative,portrait_appears_elsewhere,suspected_visual_duplicate_ids
akira,Akira Sato,V2 original,protag,shonen,cyber,mystery,nordic,cast/v2/lead_shonen_02__a3__akira.webp,game_source/public/cast/v2/lead_shonen_02__a3__akira.webp,visual_sheet_manifest.json LEAD_SHONEN_02:A3,,lead_shonen_02__a3__akira.webp,lead_shonen_02__a3__akira.webp,lead_shonen_02__a3__akira.webp,3368bbd208df96e0bc8f04686a1714c78fc5a58aa4665632e5eb71404a095562,3368bbd208df96e0bc8f04686a1714c78fc5a58aa4665632e5eb71404a095562,3dc6c80d4ea6d8b2,512,512,True,True,True,True,True,False,
kuro,Kuro Reyes,V2 original,protag,shonen,cyber,military,martial,cast/v2/lead_shonen_02__a4__kuro.webp,game_source/public/cast/v2/lead_shonen_02__a4__kuro.webp,visual_sheet_manifest.json LEAD_SHONEN_02:A4,,lead_shonen_02__a4__kuro.webp,lead_shonen_02__a4__kuro.webp,lead_shonen_02__a4__kuro.webp,7218b750c321c52ba2e1bf104cfcdf7e4d08454650735633d29faa42618717c6,7218b750c321c52ba2e1bf104cfcdf7e4d08454650735633d29faa42618717c6,20b3f6178eae2d48,512,512,True,True,True,True,True,False,
rin,Rin Adebayo,V2 original,protag,shonen,sports,slice,pirate,cast/v2/lead_shonen_02__b1__rin.webp,game_source/public/cast/v2/lead_shonen_02__b1__rin.webp,visual_sheet_manifest.json LEAD_SHONEN_02:B1,,lead_shonen_02__b1__rin.webp,lead_shonen_02__b1__rin.webp,lead_shonen_02__b1__rin.webp,6b3deb5c548f2460c07f2a84ba44eb6ba2b79d76fb9988ee6c4b93705e0c6166,6b3deb5c548f2460c07f2a84ba44eb6ba2b79d76fb9988ee6c4b93705e0c6166,44635fde32830cda,512,512,True,True,True,True,True,False,
niko,Niko Varga,V2 original,protag,shonen,mecha,cyber,magical,cast/v2/lead_shonen_02__b2__niko.webp,game_source/public/cast/v2/lead_shonen_02__b2__niko.webp,visual_sheet_manifest.json LEAD_SHONEN_02:B2,,lead_shonen_02__b2__niko.webp,lead_shonen_02__b2__niko.webp,lead_shonen_02__b2__niko.webp,c633e1d379dbd48c0e6c56126d21c4e4f04179b19371bbb468f7a6579d9d3b88,c633e1d379dbd48c0e6c56126d21c4e4f04179b19371bbb468f7a6579d9d3b88,1bce2a3d244687ad,512,512,True,True,True,True,True,False,
mako,Mako Te Rangi,V2 original,protag,shonen,pirate,fantasy,mystery,cast/v2/lead_shonen_02__b3__mako.webp,game_source/public/cast/v2/lead_shonen_02__b3__mako.webp,visual_sheet_manifest.json LEAD_SHONEN_02:B3,,lead_shonen_02__b3__mako.webp,lead_shonen_02__b3__mako.webp,lead_shonen_02__b3__mako.webp,7b6c174f08a69e573d745245cea5aa210189bac507b4f0e22736ee22d7b03fea,7b6c174f08a69e573d745245cea5aa210189bac507b4f0e22736ee22d7b03fea,3c94b2a32be994a6,512,512,True,True,True,True,True,False,
zuri,Zuri Kamau,V2 original,protag,shonen,mecha,cooking,horror,cast/v2/lead_shonen_02__b4__zuri.webp,game_source/public/cast/v2/lead_shonen_02__b4__zuri.webp,visual_sheet_manifest.json LEAD_SHONEN_02:B4,,lead_shonen_02__b4__zuri.webp,lead_shonen_02__b4__zuri.webp,lead_shonen_02__b4__zuri.webp,732baf9db9686941c4bfbddcce2f81dcd34cf3a0c4eb26bac9c8a5639de74f96,732baf9db9686941c4bfbddcce2f81dcd34cf3a0c4eb26bac9c8a5639de74f96,24ad89dc2de055f8,512,512,True,True,True,True,True,False,
sakura,Sakura Fujimoto,V2 original,protag,shonen,martial,magical,space,cast/v2/lead_shonen_03__a1__sakura.webp,game_source/public/cast/v2/lead_shonen_03__a1__sakura.webp,visual_sheet_manifest.json LEAD_SHONEN_03:A1,,lead_shonen_03__a1__sakura.webp,lead_shonen_03__a1__sakura.webp,lead_shonen_03__a1__sakura.webp,c109a9b8e82afbe615810e96d0ac5613106fb0753791d48c949801d10887a2d4,c109a9b8e82afbe615810e96d0ac5613106fb0753791d48c949801d10887a2d4,3d052507d8f24b4f,512,512,True,True,True,True,True,False,
suzume,Suzume Inari,V2 original,protag,shonen,supernatural,mythology,sports,cast/v2/lead_shonen_03__a2__suzume.webp,game_source/public/cast/v2/lead_shonen_03__a2__suzume.webp,visual_sheet_manifest.json LEAD_SHONEN_03:A2,,lead_shonen_03__a2__suzume.webp,lead_shonen_03__a2__suzume.webp,lead_shonen_03__a2__suzume.webp,60593a285ee6a2784cf1344dbe5a9803eb817b437ea62c5ba1ec79090b37a094,60593a285ee6a2784cf1344dbe5a9803eb817b437ea62c5ba1ec79090b37a094,31d9ec27360391ce,512,512,True,True,True,True,True,False,
yuki,Yuki Lind,V2 original,protag,shonen,nordic,survival,horror,cast/v2/lead_shonen_03__a3__yuki.webp,game_source/public/cast/v2/lead_shonen_03__a3__yuki.webp,visual_sheet_manifest.json LEAD_SHONEN_03:A3,,lead_shonen_03__a3__yuki.webp,lead_shonen_03__a3__yuki.webp,lead_shonen_03__a3__yuki.webp,e3f6fd47a7341737afe3b4eb29405e12456fff2c981accec1716457ccf62777d,e3f6fd47a7341737afe3b4eb29405e12456fff2c981accec1716457ccf62777d,718dd02b6d1b259c,512,512,True,True,True,True,True,False,
riko,Riko Chen,V2 original,protag,shonen,mystery,mecha,idol,cast/v2/lead_shonen_03__a4__riko.webp,game_source/public/cast/v2/lead_shonen_03__a4__riko.webp,visual_sheet_manifest.json LEAD_SHONEN_03:A4,,lead_shonen_03__a4__riko.webp,lead_shonen_03__a4__riko.webp,lead_shonen_03__a4__riko.webp,ce24ce35b428c22712dc73edb7a3b9ac05470e7b281bc414c834d61d13aabc88,ce24ce35b428c22712dc73edb7a3b9ac05470e7b281bc414c834d61d13aabc88,2c8c6d2a70a7fe42,512,512,True,True,True,True,True,False,
momo,Momo Alvarez,V2 original,protag,shonen,idol,comedy,survival,cast/v2/lead_shonen_03__b1__momo.webp,game_source/public/cast/v2/lead_shonen_03__b1__momo.webp,visual_sheet_manifest.json LEAD_SHONEN_03:B1,,lead_shonen_03__b1__momo.webp,lead_shonen_03__b1__momo.webp,lead_shonen_03__b1__momo.webp,c56a702c8041fdf1517b92cd384d523908f632fa00c428dd9a511253c244639f,c56a702c8041fdf1517b92cd384d523908f632fa00c428dd9a511253c244639f,704134ec4e8decb6,512,512,True,True,True,True,True,False,
n_ryoko,Astrid Voss,V2 original,protag,shonen,mecha,space,martial,cast/v2/lead_shonen_03__b2__n_ryoko.webp,game_source/public/cast/v2/lead_shonen_03__b2__n_ryoko.webp,visual_sheet_manifest.json LEAD_SHONEN_03:B2,,lead_shonen_03__b2__n_ryoko.webp,lead_shonen_03__b2__n_ryoko.webp,lead_shonen_03__b2__n_ryoko.webp,22ae88cc7c9a5c8476f84e41f342962038c8adf294155c029072ea4653b76db3,22ae88cc7c9a5c8476f84e41f342962038c8adf294155c029072ea4653b76db3,7596521a3a0a7dc3,512,512,True,True,True,True,True,False,
n_mikoto,Mikoto Arata,V2 original,protag,shonen,magical,isekai,cooking,cast/v2/lead_shonen_03__b3__n_mikoto.webp,game_source/public/cast/v2/lead_shonen_03__b3__n_mikoto.webp,visual_sheet_manifest.json LEAD_SHONEN_03:B3,,lead_shonen_03__b3__n_mikoto.webp,lead_shonen_03__b3__n_mikoto.webp,lead_shonen_03__b3__n_mikoto.webp,ec8d181a2a77638d65f5fd793d8961aba68bd0c57f0e3cdb0ec58f0557101cc3,ec8d181a2a77638d65f5fd793d8961aba68bd0c57f0e3cdb0ec58f0557101cc3,74941ff33184d28e,512,512,True,True,True,True,True,False,
airi,Airi Watanabe,V2 original,protag,shonen,idol,romance,horror,cast/v2/lead_shonen_03__b4__airi.webp,game_source/public/cast/v2/lead_shonen_03__b4__airi.webp,visual_sheet_manifest.json LEAD_SHONEN_03:B4,,lead_shonen_03__b4__airi.webp,lead_shonen_03__b4__airi.webp,lead_shonen_03__b4__airi.webp,fc4ad2b00f0e0d00bb8dfd94c1bdd89a3fca18a6a303ed3d412b376de402c4da,fc4ad2b00f0e0d00bb8dfd94c1bdd89a3fca18a6a303ed3d412b376de402c4da,214f78373b1d84f0,512,512,True,True,True,True,True,False,
hikari,Hikari Amano,V2 original,protag,shojo,magical,romance,military,cast/v2/lead_shojo_01__a1__hikari.webp,game_source/public/cast/v2/lead_shojo_01__a1__hikari.webp,visual_sheet_manifest.json LEAD_SHOJO_01:A1,,lead_shojo_01__a1__hikari.webp,lead_shojo_01__a1__hikari.webp,lead_shojo_01__a1__hikari.webp,a84d8e44a2fcf0cca602f48c6227474a8a943cb8e1f2d4159ca7e653fb5fe826,a84d8e44a2fcf0cca602f48c6227474a8a943cb8e1f2d4159ca7e653fb5fe826,045a3862f515df9c,512,512,True,True,True,True,True,False,
shiro,Shiro Desai,V2 original,protag,shojo,mystery,slice,pirate,cast/v2/lead_shojo_01__a2__shiro.webp,game_source/public/cast/v2/lead_shojo_01__a2__shiro.webp,visual_sheet_manifest.json LEAD_SHOJO_01:A2,,lead_shojo_01__a2__shiro.webp,lead_shojo_01__a2__shiro.webp,lead_shojo_01__a2__shiro.webp,68d2d00534d0245ee390b2dd5ded3565dad25f3d21210f60f0e128a2eb264ec0,68d2d00534d0245ee390b2dd5ded3565dad25f3d21210f60f0e128a2eb264ec0,2a0a2977d3af54a1,512,512,True,True,True,True,True,False,
takumi,Takumi Ito,V2 original,protag,shojo,romance,mecha,mystery,cast/v2/lead_shojo_01__a3__takumi.webp,game_source/public/cast/v2/lead_shojo_01__a3__takumi.webp,visual_sheet_manifest.json LEAD_SHOJO_01:A3,,lead_shojo_01__a3__takumi.webp,lead_shojo_01__a3__takumi.webp,lead_shojo_01__a3__takumi.webp,49f06b4e6a2a9551483fa8cd07bcdf122792d73515bca8f54ce6ea2e1452be45,49f06b4e6a2a9551483fa8cd07bcdf122792d73515bca8f54ce6ea2e1452be45,01319c621e6f3b9e,512,512,True,True,True,True,True,False,
haru,Haru Mensah,V2 original,protag,shojo,sports,romance,horror,cast/v2/lead_shojo_01__a4__haru.webp,game_source/public/cast/v2/lead_shojo_01__a4__haru.webp,visual_sheet_manifest.json LEAD_SHOJO_01:A4,,lead_shojo_01__a4__haru.webp,lead_shojo_01__a4__haru.webp,lead_shojo_01__a4__haru.webp,41456b70f19674e576b98515bad98834df6e58852ffe06d9140b27fae43b7c13,41456b70f19674e576b98515bad98834df6e58852ffe06d9140b27fae43b7c13,209611197dfcae87,512,512,True,True,True,True,True,False,
kota,Kota Soren,V2 original,protag,shojo,nordic,fantasy,mecha,cast/v2/lead_shojo_01__b1__kota.webp,game_source/public/cast/v2/lead_shojo_01__b1__kota.webp,visual_sheet_manifest.json LEAD_SHOJO_01:B1,,lead_shojo_01__b1__kota.webp,lead_shojo_01__b1__kota.webp,lead_shojo_01__b1__kota.webp,4420e0a03403e2f486f86b4c250313fc21fc497a3aaec0e82eaa7e084cb3c52f,4420e0a03403e2f486f86b4c250313fc21fc497a3aaec0e82eaa7e084cb3c52f,70b0959333c9678e,512,512,True,True,True,True,True,False,
renji,Renji Kuroda,V2 original,protag,shojo,mystery,supernatural,nordic,cast/v2/lead_shojo_01__b2__renji.webp,game_source/public/cast/v2/lead_shojo_01__b2__renji.webp,visual_sheet_manifest.json LEAD_SHOJO_01:B2,,lead_shojo_01__b2__renji.webp,lead_shojo_01__b2__renji.webp,lead_shojo_01__b2__renji.webp,ee5cba2e18c3ae662944855441ec8324d65ab609cfd58dfffab8386577d727bc,ee5cba2e18c3ae662944855441ec8324d65ab609cfd58dfffab8386577d727bc,18d19a260f176dd9,512,512,True,True,True,True,True,False,
jun,Jun Seo,V2 original,protag,shojo,isekai,comedy,nordic,cast/v2/lead_shojo_01__b3__jun.webp,game_source/public/cast/v2/lead_shojo_01__b3__jun.webp,visual_sheet_manifest.json LEAD_SHOJO_01:B3,,lead_shojo_01__b3__jun.webp,lead_shojo_01__b3__jun.webp,lead_shojo_01__b3__jun.webp,e1d60a566f4e6e25f1f2445ab96b1f603029ba77ca7d8f962d945852e154eaa8,e1d60a566f4e6e25f1f2445ab96b1f603029ba77ca7d8f962d945852e154eaa8,158506340dea7f1f,512,512,True,True,True,True,True,False,
sota,Sota Rahman,V2 original,protag,shojo,cyber,slice,mythology,cast/v2/lead_shojo_01__b4__sota.webp,game_source/public/cast/v2/lead_shojo_01__b4__sota.webp,visual_sheet_manifest.json LEAD_SHOJO_01:B4,,lead_shojo_01__b4__sota.webp,lead_shojo_01__b4__sota.webp,lead_shojo_01__b4__sota.webp,5086b97ed4134e0037ec10e4cf0911f4809b4ceba984897de0da4415f1e1bfed,5086b97ed4134e0037ec10e4cf0911f4809b4ceba984897de0da4415f1e1bfed,20d9939239d3cdcc,512,512,True,True,True,True,True,False,
itsuki,Itsuki Mori,V2 original,protag,shojo,romance,supernatural,survival,cast/v2/lead_shojo_02__a1__itsuki.webp,game_source/public/cast/v2/lead_shojo_02__a1__itsuki.webp,visual_sheet_manifest.json LEAD_SHOJO_02:A1,,lead_shojo_02__a1__itsuki.webp,lead_shojo_02__a1__itsuki.webp,lead_shojo_02__a1__itsuki.webp,e0057c46bb41938f91498c01f2ed5b93662d3cff7156d614dc83ade30084411f,e0057c46bb41938f91498c01f2ed5b93662d3cff7156d614dc83ade30084411f,34c1e5a64a578e1e,512,512,True,True,True,True,True,False,
leo,Leo Carvalho,V2 original,protag,shojo,sports,military,idol,cast/v2/lead_shojo_02__a2__leo.webp,game_source/public/cast/v2/lead_shojo_02__a2__leo.webp,visual_sheet_manifest.json LEAD_SHOJO_02:A2,,lead_shojo_02__a2__leo.webp,lead_shojo_02__a2__leo.webp,lead_shojo_02__a2__leo.webp,98326dcee85227b75a7bad374a75e36d3c2234b8b4212974331a4c69efe011c2,98326dcee85227b75a7bad374a75e36d3c2234b8b4212974331a4c69efe011c2,70b03f3f2f414649,512,512,True,True,True,True,True,False,
n_saku,Saku Diallo,V2 original,protag,shojo,isekai,martial,idol,cast/v2/lead_shojo_02__a3__n_saku.webp,game_source/public/cast/v2/lead_shojo_02__a3__n_saku.webp,visual_sheet_manifest.json LEAD_SHOJO_02:A3,,lead_shojo_02__a3__n_saku.webp,lead_shojo_02__a3__n_saku.webp,lead_shojo_02__a3__n_saku.webp,eee705a977162346a339383c80be1891d1b7c27eca8e2cad5315c4b6c96d6872,eee705a977162346a339383c80be1891d1b7c27eca8e2cad5315c4b6c96d6872,3fd040b690ed82cf,512,512,True,True,True,True,True,False,
n_chisato,Chisato Kimura,V2 original,protag,shojo,sports,romance,space,cast/v2/lead_shojo_02__a4__n_chisato.webp,game_source/public/cast/v2/lead_shojo_02__a4__n_chisato.webp,visual_sheet_manifest.json LEAD_SHOJO_02:A4,,lead_shojo_02__a4__n_chisato.webp,lead_shojo_02__a4__n_chisato.webp,lead_shojo_02__a4__n_chisato.webp,bb7857fb40d1f70a256a61ad71cb837dc5c69225630559915932219eafa54a69,bb7857fb40d1f70a256a61ad71cb837dc5c69225630559915932219eafa54a69,33e4d37b5b0c4d04,512,512,True,True,True,True,True,False,
yui,Yui Tanaka,V2 original,protag,shojo,slice,cooking,survival,cast/v2/lead_shojo_02__b1__yui.webp,game_source/public/cast/v2/lead_shojo_02__b1__yui.webp,visual_sheet_manifest.json LEAD_SHOJO_02:B1,,lead_shojo_02__b1__yui.webp,lead_shojo_02__b1__yui.webp,lead_shojo_02__b1__yui.webp,dcd662b90bdbc30a66b970296982ce8e31ee8ec8975948e1abe7c4236b1b6187,dcd662b90bdbc30a66b970296982ce8e31ee8ec8975948e1abe7c4236b1b6187,75fa430625ea5685,512,512,True,True,True,True,True,False,
mio,Mio Laurent,V2 original,protag,shojo,idol,romance,pirate,cast/v2/lead_shojo_02__b2__mio.webp,game_source/public/cast/v2/lead_shojo_02__b2__mio.webp,visual_sheet_manifest.json LEAD_SHOJO_02:B2,,lead_shojo_02__b2__mio.webp,lead_shojo_02__b2__mio.webp,lead_shojo_02__b2__mio.webp,179fb66fc525719811ff864e87210d640b169ffa4cb8450101ff00f280b7c9a6,179fb66fc525719811ff864e87210d640b169ffa4cb8450101ff00f280b7c9a6,4e5c27967963488e,512,512,True,True,True,True,True,False,
saki,Saki Nguyen,V2 original,protag,shojo,slice,mystery,mythology,cast/v2/lead_shojo_02__b3__saki.webp,game_source/public/cast/v2/lead_shojo_02__b3__saki.webp,visual_sheet_manifest.json LEAD_SHOJO_02:B3,,lead_shojo_02__b3__saki.webp,lead_shojo_02__b3__saki.webp,lead_shojo_02__b3__saki.webp,8772a90f39c0be40907d8afa0efac350b2138ef5ce72a41e5d9cbfd0732f851b,8772a90f39c0be40907d8afa0efac350b2138ef5ce72a41e5d9cbfd0732f851b,01f932c469cbcc9d,512,512,True,True,True,True,True,False,
nana,Nana Ortiz,V2 original,protag,shojo,cyber,idol,comedy,cast/v2/lead_shojo_02__b4__nana.webp,game_source/public/cast/v2/lead_shojo_02__b4__nana.webp,visual_sheet_manifest.json LEAD_SHOJO_02:B4,,lead_shojo_02__b4__nana.webp,lead_shojo_02__b4__nana.webp,lead_shojo_02__b4__nana.webp,5a4ae4bc072468cd3253f22f269b6a6f563e617522b7c064aa548017b494f2dc,5a4ae4bc072468cd3253f22f269b6a6f563e617522b7c064aa548017b494f2dc,4ce09913de078f3c,512,512,True,True,True,True,True,False,
emi,Emi Kowalska,V2 original,protag,shojo,magical,cooking,military,cast/v2/lead_shojo_03__a1__emi.webp,game_source/public/cast/v2/lead_shojo_03__a1__emi.webp,visual_sheet_manifest.json LEAD_SHOJO_03:A1,,lead_shojo_03__a1__emi.webp,lead_shojo_03__a1__emi.webp,lead_shojo_03__a1__emi.webp,94e2e8d0e5a53728956bba8566d57c01415b6128810f5f5d81db72b46f91fe25,94e2e8d0e5a53728956bba8566d57c01415b6128810f5f5d81db72b46f91fe25,1c8c6c7541b3b36a,512,512,True,True,True,True,True,False,
hana,Hana Al-Salim,V2 original,protag,shojo,mythology,romance,cyber,cast/v2/lead_shojo_03__a2__hana.webp,game_source/public/cast/v2/lead_shojo_03__a2__hana.webp,visual_sheet_manifest.json LEAD_SHOJO_03:A2,,lead_shojo_03__a2__hana.webp,lead_shojo_03__a2__hana.webp,lead_shojo_03__a2__hana.webp,1fef9a9069943ab47a3b667da3fd48f1c67ea82eec2a1a804ecb1bc7f1b188a9,1fef9a9069943ab47a3b667da3fd48f1c67ea82eec2a1a804ecb1bc7f1b188a9,1c7865879b6462e9,512,512,True,True,True,True,True,False,
mira,Mira Solano,V2 original,protag,shojo,space,idol,mythology,cast/v2/lead_shojo_03__a3__mira.webp,game_source/public/cast/v2/lead_shojo_03__a3__mira.webp,visual_sheet_manifest.json LEAD_SHOJO_03:A3,,lead_shojo_03__a3__mira.webp,lead_shojo_03__a3__mira.webp,lead_shojo_03__a3__mira.webp,97e7c5d49dbd810fbfd746a8ff9a1a2fe1e1cd43bed56600967a8f90c44d3b3a,97e7c5d49dbd810fbfd746a8ff9a1a2fe1e1cd43bed56600967a8f90c44d3b3a,73f8c0813947555b,512,512,True,True,True,True,True,False,
shiori,Shiori Abe,V2 original,protag,shojo,horror,fantasy,comedy,cast/v2/lead_shojo_03__a4__shiori.webp,game_source/public/cast/v2/lead_shojo_03__a4__shiori.webp,visual_sheet_manifest.json LEAD_SHOJO_03:A4,,lead_shojo_03__a4__shiori.webp,lead_shojo_03__a4__shiori.webp,lead_shojo_03__a4__shiori.webp,42aa1e2ab2139712a9fed326025686f463d9b707dee069b1512925ebdc424630,42aa1e2ab2139712a9fed326025686f463d9b707dee069b1512925ebdc424630,609eeb52534f9494,512,512,True,True,True,True,True,False,
kaede,Kaede Lund,V2 original,protag,shojo,nordic,slice,martial,cast/v2/lead_shojo_03__b1__kaede.webp,game_source/public/cast/v2/lead_shojo_03__b1__kaede.webp,visual_sheet_manifest.json LEAD_SHOJO_03:B1,,lead_shojo_03__b1__kaede.webp,lead_shojo_03__b1__kaede.webp,lead_shojo_03__b1__kaede.webp,aaff5035fc0600ad2c29bbcbd0f60c49cbe0eed0ee5886355c16dcc8e8e640ac,aaff5035fc0600ad2c29bbcbd0f60c49cbe0eed0ee5886355c16dcc8e8e640ac,23a5ad4e0e8687b9,512,512,True,True,True,True,True,False,
n_aoi,Aoi Narang,V2 original,protag,shojo,isekai,fantasy,mythology,cast/v2/lead_shojo_03__b2__n_aoi.webp,game_source/public/cast/v2/lead_shojo_03__b2__n_aoi.webp,visual_sheet_manifest.json LEAD_SHOJO_03:B2,,lead_shojo_03__b2__n_aoi.webp,lead_shojo_03__b2__n_aoi.webp,lead_shojo_03__b2__n_aoi.webp,6cf223a0e89c5e616088b0d65dfb246baa8f919c95054cb8d4437971ba91741f,6cf223a0e89c5e616088b0d65dfb246baa8f919c95054cb8d4437971ba91741f,26a595edb4bea090,512,512,True,True,True,True,True,False,
