sequence,batch_code,sheet_code,sheet_position,character_id,filename_png,name,epithet,role,anime_type,visible_genre_1,visible_genre_2,hidden_genre,staging_filename_webp
26,B01,S03,R2C1,g30_protag_shonen_026,g30_protag_shonen_026.png,Yara Locke,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,cooking,g30_protag_shonen_026.webp
27,B01,S03,R2C2,g30_protag_shonen_027,g30_protag_shonen_027.png,Selene Mirren,The Cinder Corsair,protag,shonen,monster_taming,crime,military,g30_protag_shonen_027.webp
28,B01,S03,R2C3,g30_protag_shonen_028,g30_protag_shonen_028.png,Kestrel Crowe,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,military,g30_protag_shonen_028.webp
29,B01,S03,R2C4,g30_protag_shonen_029,g30_protag_shonen_029.png,Jin Locke,The Cinder Corsair,protag,shonen,monster_taming,crime,supernatural,g30_protag_shonen_029.webp
30,B01,S03,R2C5,g30_protag_shonen_030,g30_protag_shonen_030.png,Aziel Mirren,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,supernatural,g30_protag_shonen_030.webp
31,B01,S04,R1C1,g30_protag_shonen_031,g30_protag_shonen_031.png,Cassian Crowe,The Cinder Corsair,protag,shonen,monster_taming,crime,space,g30_protag_shonen_031.webp
32,B01,S04,R1C2,g30_protag_shonen_032,g30_protag_shonen_032.png,Ren Locke,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,space,g30_protag_shonen_032.webp
33,B01,S04,R1C3,g30_protag_shonen_033,g30_protag_shonen_033.png,Soraya Mirren,The Cinder Corsair,protag,shonen,monster_taming,crime,magical,g30_protag_shonen_033.webp
34,B01,S04,R1C4,g30_protag_shonen_034,g30_protag_shonen_034.png,Nadia Crowe,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,magical,g30_protag_shonen_034.webp
35,B01,S04,R1C5,g30_protag_shonen_035,g30_protag_shonen_035.png,Asha Locke,The Cinder Corsair,protag,shonen,monster_taming,crime,survival,g30_protag_shonen_035.webp
36,B01,S04,R2C1,g30_protag_shonen_036,g30_protag_shonen_036.png,Lio Mirren,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,survival,g30_protag_shonen_036.webp
37,B01,S04,R2C2,g30_protag_shonen_037,g30_protag_shonen_037.png,Kael Crowe,The Cinder Corsair,protag,shonen,monster_taming,crime,pirate,g30_protag_shonen_037.webp
38,B01,S04,R2C3,g30_protag_shonen_038,g30_protag_shonen_038.png,Soren Locke,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,pirate,g30_protag_shonen_038.webp
39,B01,S04,R2C4,g30_protag_shonen_039,g30_protag_shonen_039.png,Riven Mirren,The Cinder Corsair,protag,shonen,monster_taming,crime,martial,g30_protag_shonen_039.webp
40,B01,S04,R2C5,g30_protag_shonen_040,g30_protag_shonen_040.png,Darian Crowe,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,martial,g30_protag_shonen_040.webp
41,B01,S05,R1C1,g30_protag_shonen_041,g30_protag_shonen_041.png,Yara Locke,The Cinder Corsair,protag,shonen,monster_taming,crime,mythology,g30_protag_shonen_041.webp
42,B01,S05,R1C2,g30_protag_shonen_042,g30_protag_shonen_042.png,Selene Mirren,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,mythology,g30_protag_shonen_042.webp
43,B01,S05,R1C3,g30_protag_shonen_043,g30_protag_shonen_043.png,Kestrel Crowe,The Cinder Corsair,protag,shonen,monster_taming,crime,nordic,g30_protag_shonen_043.webp
44,B01,S05,R1C4,g30_protag_shonen_044,g30_protag_shonen_044.png,Jin Locke,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,nordic,g30_protag_shonen_044.webp
45,B01,S05,R1C5,g30_protag_shonen_045,g30_protag_shonen_045.png,Aziel Mirren,The Cinder Corsair,protag,shonen,monster_taming,crime,samurai,g30_protag_shonen_045.webp
46,B01,S05,R2C1,g30_protag_shonen_046,g30_protag_shonen_046.png,Cassian Crowe,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,samurai,g30_protag_shonen_046.webp
47,B01,S05,R2C2,g30_protag_shonen_047,g30_protag_shonen_047.png,Ren Locke,The Cinder Corsair,protag,shonen,monster_taming,crime,shinobi,g30_protag_shonen_047.webp
48,B01,S05,R2C3,g30_protag_shonen_048,g30_protag_shonen_048.png,Soraya Mirren,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,shinobi,g30_protag_shonen_048.webp
49,B01,S05,R2C4,g30_protag_shonen_049,g30_protag_shonen_049.png,Nadia Crowe,The Cinder Corsair,protag,shonen,monster_taming,crime,vampire,g30_protag_shonen_049.webp
50,B01,S05,R2C5,g30_protag_shonen_050,g30_protag_shonen_050.png,Asha Locke,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,vampire,g30_protag_shonen_050.webp
51,B01,S06,R1C1,g30_protag_shonen_051,g30_protag_shonen_051.png,Lio Mirren,The Cinder Corsair,protag,shonen,monster_taming,crime,grimdark,g30_protag_shonen_051.webp
52,B01,S06,R1C2,g30_protag_shonen_052,g30_protag_shonen_052.png,Kael Crowe,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,grimdark,g30_protag_shonen_052.webp
53,B01,S06,R1C3,g30_protag_shonen_053,g30_protag_shonen_053.png,Soren Locke,The Cinder Corsair,protag,shonen,mecha,isekai,monster_taming,g30_protag_shonen_053.webp
54,B01,S06,R1C4,g30_protag_shonen_054,g30_protag_shonen_054.png,Riven Mirren,The Ashen Viper,protag,shonen,slice,horror,arabia,g30_protag_shonen_054.webp
55,B01,S06,R1C5,g30_protag_shonen_055,g30_protag_shonen_055.png,Darian Crowe,The Cinder Corsair,protag,shonen,romance,sports,arabia,g30_protag_shonen_055.webp
56,B01,S06,R2C1,g30_protag_shonen_056,g30_protag_shonen_056.png,Yara Locke,The Ashen Viper,protag,shonen,cyber,fantasy,arabia,g30_protag_shonen_056.webp
57,B01,S06,R2C2,g30_protag_shonen_057,g30_protag_shonen_057.png,Selene Mirren,The Cinder Corsair,protag,shonen,idol,mystery,arabia,g30_protag_shonen_057.webp
58,B01,S06,R2C3,g30_protag_shonen_058,g30_protag_shonen_058.png,Kestrel Crowe,The Ashen Viper,protag,shonen,comedy,cooking,arabia,g30_protag_shonen_058.webp
59,B01,S06,R2C4,g30_protag_shonen_059,g30_protag_shonen_059.png,Jin Locke,The Cinder Corsair,protag,shonen,military,supernatural,arabia,g30_protag_shonen_059.webp
60,B01,S06,R2C5,g30_protag_shonen_060,g30_protag_shonen_060.png,Aziel Mirren,The Ashen Viper,protag,shonen,space,magical,arabia,g30_protag_shonen_060.webp
61,B01,S07,R1C1,g30_protag_shonen_061,g30_protag_shonen_061.png,Cassian Crowe,The Cinder Corsair,protag,shonen,survival,pirate,arabia,g30_protag_shonen_061.webp
62,B01,S07,R1C2,g30_protag_shonen_062,g30_protag_shonen_062.png,Ren Locke,The Ashen Viper,protag,shonen,martial,mythology,arabia,g30_protag_shonen_062.webp
63,B01,S07,R1C3,g30_protag_shonen_063,g30_protag_shonen_063.png,Soraya Mirren,The Cinder Corsair,protag,shonen,nordic,samurai,arabia,g30_protag_shonen_063.webp
64,B01,S07,R1C4,g30_protag_shonen_064,g30_protag_shonen_064.png,Nadia Crowe,The Ashen Viper,protag,shonen,shinobi,vampire,arabia,g30_protag_shonen_064.webp
65,B01,S07,R1C5,g30_protag_shonen_065,g30_protag_shonen_065.png,Asha Locke,The Cinder Corsair,protag,shonen,monster_taming,arabia,grimdark,g30_protag_shonen_065.webp
66,B01,S07,R2C1,g30_protag_shojo_001,g30_protag_shojo_001.png,Selene Mirren,The Dune Hunter,protag,shojo,monster_taming,crime,kaiju,g30_protag_shojo_001.webp
67,B01,S07,R2C2,g30_protag_shojo_002,g30_protag_shojo_002.png,Kestrel Crowe,The Glass Duelist,protag,shojo,monster_taming,cosmic_horror,arabia,g30_protag_shojo_002.webp
68,B01,S07,R2C3,g30_protag_shojo_003,g30_protag_shojo_003.png,Jin Locke,The Dune Hunter,protag,shojo,crime,cosmic_horror,mecha,g30_protag_shojo_003.webp
69,B01,S07,R2C4,g30_protag_shojo_004,g30_protag_shojo_004.png,Aziel Mirren,The Glass Duelist,protag,shojo,kaiju,arabia,mecha,g30_protag_shojo_004.webp
70,B01,S07,R2C5,g30_protag_shojo_005,g30_protag_shojo_005.png,Cassian Crowe,The Dune Hunter,protag,shojo,crime,arabia,isekai,g30_protag_shojo_005.webp
71,B01,S08,R1C1,g30_protag_shojo_006,g30_protag_shojo_006.png,Ren Locke,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,isekai,g30_protag_shojo_006.webp
72,B01,S08,R1C2,g30_protag_shojo_007,g30_protag_shojo_007.png,Soraya Mirren,The Dune Hunter,protag,shojo,monster_taming,crime,slice,g30_protag_shojo_007.webp
73,B01,S08,R1C3,g30_protag_shojo_008,g30_protag_shojo_008.png,Nadia Crowe,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,slice,g30_protag_shojo_008.webp
74,B01,S08,R1C4,g30_protag_shojo_009,g30_protag_shojo_009.png,Asha Locke,The Dune Hunter,protag,shojo,monster_taming,crime,horror,g30_protag_shojo_009.webp
75,B01,S08,R1C5,g30_protag_shojo_010,g30_protag_shojo_010.png,Lio Mirren,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,horror,g30_protag_shojo_010.webp
76,B01,S08,R2C1,g30_protag_shojo_011,g30_protag_shojo_011.png,Kael Crowe,The Dune Hunter,protag,shojo,monster_taming,crime,romance,g30_protag_shojo_011.webp
77,B01,S08,R2C2,g30_protag_shojo_012,g30_protag_shojo_012.png,Soren Locke,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,romance,g30_protag_shojo_012.webp
78,B01,S08,R2C3,g30_protag_shojo_013,g30_protag_shojo_013.png,Riven Mirren,The Dune Hunter,protag,shojo,monster_taming,crime,sports,g30_protag_shojo_013.webp
79,B01,S08,R2C4,g30_protag_shojo_014,g30_protag_shojo_014.png,Darian Crowe,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,sports,g30_protag_shojo_014.webp
80,B01,S08,R2C5,g30_protag_shojo_015,g30_protag_shojo_015.png,Yara Locke,The Dune Hunter,protag,shojo,monster_taming,crime,cyber,g30_protag_shojo_015.webp
81,B01,S09,R1C1,g30_protag_shojo_016,g30_protag_shojo_016.png,Selene Mirren,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,cyber,g30_protag_shojo_016.webp
82,B01,S09,R1C2,g30_protag_shojo_017,g30_protag_shojo_017.png,Kestrel Crowe,The Dune Hunter,protag,shojo,monster_taming,crime,fantasy,g30_protag_shojo_017.webp
83,B01,S09,R1C3,g30_protag_shojo_018,g30_protag_shojo_018.png,Jin Locke,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,fantasy,g30_protag_shojo_018.webp
84,B01,S09,R1C4,g30_protag_shojo_019,g30_protag_shojo_019.png,Aziel Mirren,The Dune Hunter,protag,shojo,monster_taming,crime,idol,g30_protag_shojo_019.webp
85,B01,S09,R1C5,g30_protag_shojo_020,g30_protag_shojo_020.png,Cassian Crowe,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,idol,g30_protag_shojo_020.webp
86,B01,S09,R2C1,g30_protag_shojo_021,g30_protag_shojo_021.png,Ren Locke,The Dune Hunter,protag,shojo,monster_taming,crime,mystery,g30_protag_shojo_021.webp
87,B01,S09,R2C2,g30_protag_shojo_022,g30_protag_shojo_022.png,Soraya Mirren,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,mystery,g30_protag_shojo_022.webp
88,B01,S09,R2C3,g30_protag_shojo_023,g30_protag_shojo_023.png,Nadia Crowe,The Dune Hunter,protag,shojo,monster_taming,crime,comedy,g30_protag_shojo_023.webp
89,B01,S09,R2C4,g30_protag_shojo_024,g30_protag_shojo_024.png,Asha Locke,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,comedy,g30_protag_shojo_024.webp
90,B01,S09,R2C5,g30_protag_shojo_025,g30_protag_shojo_025.png,Lio Mirren,The Dune Hunter,protag,shojo,monster_taming,crime,cooking,g30_protag_shojo_025.webp
91,B01,S10,R1C1,g30_protag_shojo_026,g30_protag_shojo_026.png,Kael Crowe,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,cooking,g30_protag_shojo_026.webp
92,B01,S10,R1C2,g30_protag_shojo_027,g30_protag_shojo_027.png,Soren Locke,The Dune Hunter,protag,shojo,monster_taming,crime,military,g30_protag_shojo_027.webp
93,B01,S10,R1C3,g30_protag_shojo_028,g30_protag_shojo_028.png,Riven Mirren,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,military,g30_protag_shojo_028.webp
94,B01,S10,R1C4,g30_protag_shojo_029,g30_protag_shojo_029.png,Darian Crowe,The Dune Hunter,protag,shojo,monster_taming,crime,supernatural,g30_protag_shojo_029.webp
95,B01,S10,R1C5,g30_protag_shojo_030,g30_protag_shojo_030.png,Yara Locke,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,supernatural,g30_protag_shojo_030.webp
96,B01,S10,R2C1,g30_protag_shojo_031,g30_protag_shojo_031.png,Selene Mirren,The Dune Hunter,protag,shojo,monster_taming,crime,space,g30_protag_shojo_031.webp
97,B01,S10,R2C2,g30_protag_shojo_032,g30_protag_shojo_032.png,Kestrel Crowe,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,space,g30_protag_shojo_032.webp
98,B01,S10,R2C3,g30_protag_shojo_033,g30_protag_shojo_033.png,Jin Locke,The Dune Hunter,protag,shojo,monster_taming,crime,magical,g30_protag_shojo_033.webp
99,B01,S10,R2C4,g30_protag_shojo_034,g30_protag_shojo_034.png,Aziel Mirren,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,magical,g30_protag_shojo_034.webp
100,B01,S10,R2C5,g30_protag_shojo_035,g30_protag_shojo_035.png,Cassian Crowe,The Dune Hunter,protag,shojo,monster_taming,crime,survival,g30_protag_shojo_035.webp
101,B02,S11,R1C1,g30_protag_shojo_036,g30_protag_shojo_036.png,Ren Locke,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,survival,g30_protag_shojo_036.webp
102,B02,S11,R1C2,g30_protag_shojo_037,g30_protag_shojo_037.png,Soraya Mirren,The Dune Hunter,protag,shojo,monster_taming,crime,pirate,g30_protag_shojo_037.webp
103,B02,S11,R1C3,g30_protag_shojo_038,g30_protag_shojo_038.png,Nadia Crowe,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,pirate,g30_protag_shojo_038.webp
104,B02,S11,R1C4,g30_protag_shojo_039,g30_protag_shojo_039.png,Asha Locke,The Dune Hunter,protag,shojo,monster_taming,crime,martial,g30_protag_shojo_039.webp
105,B02,S11,R1C5,g30_protag_shojo_040,g30_protag_shojo_040.png,Lio Mirren,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,martial,g30_protag_shojo_040.webp
106,B02,S11,R2C1,g30_protag_shojo_041,g30_protag_shojo_041.png,Kael Crowe,The Dune Hunter,protag,shojo,monster_taming,crime,mythology,g30_protag_shojo_041.webp
107,B02,S11,R2C2,g30_protag_shojo_042,g30_protag_shojo_042.png,Soren Locke,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,mythology,g30_protag_shojo_042.webp
108,B02,S11,R2C3,g30_protag_shojo_043,g30_protag_shojo_043.png,Riven Mirren,The Dune Hunter,protag,shojo,monster_taming,crime,nordic,g30_protag_shojo_043.webp
109,B02,S11,R2C4,g30_protag_shojo_044,g30_protag_shojo_044.png,Darian Crowe,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,nordic,g30_protag_shojo_044.webp
110,B02,S11,R2C5,g30_protag_shojo_045,g30_protag_shojo_045.png,Yara Locke,The Dune Hunter,protag,shojo,monster_taming,crime,samurai,g30_protag_shojo_045.webp
111,B02,S12,R1C1,g30_protag_shojo_046,g30_protag_shojo_046.png,Selene Mirren,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,samurai,g30_protag_shojo_046.webp
112,B02,S12,R1C2,g30_protag_shojo_047,g30_protag_shojo_047.png,Kestrel Crowe,The Dune Hunter,protag,shojo,monster_taming,crime,shinobi,g30_protag_shojo_047.webp
113,B02,S12,R1C3,g30_protag_shojo_048,g30_protag_shojo_048.png,Jin Locke,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,shinobi,g30_protag_shojo_048.webp
114,B02,S12,R1C4,g30_protag_shojo_049,g30_protag_shojo_049.png,Aziel Mirren,The Dune Hunter,protag,shojo,monster_taming,crime,vampire,g30_protag_shojo_049.webp
115,B02,S12,R1C5,g30_protag_shojo_050,g30_protag_shojo_050.png,Cassian Crowe,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,vampire,g30_protag_shojo_050.webp
116,B02,S12,R2C1,g30_protag_shojo_051,g30_protag_shojo_051.png,Ren Locke,The Dune Hunter,protag,shojo,monster_taming,crime,grimdark,g30_protag_shojo_051.webp
117,B02,S12,R2C2,g30_protag_shojo_052,g30_protag_shojo_052.png,Soraya Mirren,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,grimdark,g30_protag_shojo_052.webp
118,B02,S12,R2C3,g30_protag_shojo_053,g30_protag_shojo_053.png,Nadia Crowe,The Dune Hunter,protag,shojo,mecha,isekai,monster_taming,g30_protag_shojo_053.webp
119,B02,S12,R2C4,g30_protag_shojo_054,g30_protag_shojo_054.png,Asha Locke,The Glass Duelist,protag,shojo,slice,horror,arabia,g30_protag_shojo_054.webp
120,B02,S12,R2C5,g30_protag_shojo_055,g30_protag_shojo_055.png,Lio Mirren,The Dune Hunter,protag,shojo,romance,sports,arabia,g30_protag_shojo_055.webp
121,B02,S13,R1C1,g30_protag_shojo_056,g30_protag_shojo_056.png,Kael Crowe,The Glass Duelist,protag,shojo,cyber,fantasy,arabia,g30_protag_shojo_056.webp
122,B02,S13,R1C2,g30_protag_shojo_057,g30_protag_shojo_057.png,Soren Locke,The Dune Hunter,protag,shojo,idol,mystery,arabia,g30_protag_shojo_057.webp
123,B02,S13,R1C3,g30_protag_shojo_058,g30_protag_shojo_058.png,Riven Mirren,The Glass Duelist,protag,shojo,comedy,cooking,arabia,g30_protag_shojo_058.webp
124,B02,S13,R1C4,g30_protag_shojo_059,g30_protag_shojo_059.png,Darian Crowe,The Dune Hunter,protag,shojo,military,supernatural,arabia,g30_protag_shojo_059.webp
125,B02,S13,R1C5,g30_protag_shojo_060,g30_protag_shojo_060.png,Yara Locke,The Glass Duelist,protag,shojo,space,magical,arabia,g30_protag_shojo_060.webp
126,B02,S13,R2C1,g30_protag_shojo_061,g30_protag_shojo_061.png,Selene Mirren,The Dune Hunter,protag,shojo,survival,pirate,arabia,g30_protag_shojo_061.webp
127,B02,S13,R2C2,g30_protag_shojo_062,g30_protag_shojo_062.png,Kestrel Crowe,The Glass Duelist,protag,shojo,martial,mythology,arabia,g30_protag_shojo_062.webp
128,B02,S13,R2C3,g30_protag_shojo_063,g30_protag_shojo_063.png,Jin Locke,The Dune Hunter,protag,shojo,nordic,samurai,arabia,g30_protag_shojo_063.webp
129,B02,S13,R2C4,g30_protag_shojo_064,g30_protag_shojo_064.png,Aziel Mirren,The Glass Duelist,protag,shojo,shinobi,vampire,arabia,g30_protag_shojo_064.webp
130,B02,S13,R2C5,g30_protag_shojo_065,g30_protag_shojo_065.png,Cassian Crowe,The Dune Hunter,protag,shojo,monster_taming,arabia,grimdark,g30_protag_shojo_065.webp
131,B02,S14,R1C1,g30_secondary_shonen_001,g30_secondary_shonen_001.png,Soren Locke,The Ashen Viper,secondary,shonen,monster_taming,crime,kaiju,g30_secondary_shonen_001.webp
132,B02,S14,R1C2,g30_secondary_shonen_002,g30_secondary_shonen_002.png,Riven Mirren,The Cinder Corsair,secondary,shonen,monster_taming,cosmic_horror,arabia,g30_secondary_shonen_002.webp
133,B02,S14,R1C3,g30_secondary_shonen_003,g30_secondary_shonen_003.png,Darian Crowe,The Ashen Viper,secondary,shonen,crime,cosmic_horror,mecha,g30_secondary_shonen_003.webp
134,B02,S14,R1C4,g30_secondary_shonen_004,g30_secondary_shonen_004.png,Yara Locke,The Cinder Corsair,secondary,shonen,kaiju,arabia,mecha,g30_secondary_shonen_004.webp
135,B02,S14,R1C5,g30_secondary_shonen_005,g30_secondary_shonen_005.png,Selene Mirren,The Ashen Viper,secondary,shonen,crime,arabia,isekai,g30_secondary_shonen_005.webp
136,B02,S14,R2C1,g30_secondary_shonen_006,g30_secondary_shonen_006.png,Kestrel Crowe,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,isekai,g30_secondary_shonen_006.webp
137,B02,S14,R2C2,g30_secondary_shonen_007,g30_secondary_shonen_007.png,Jin Locke,The Ashen Viper,secondary,shonen,monster_taming,crime,slice,g30_secondary_shonen_007.webp
138,B02,S14,R2C3,g30_secondary_shonen_008,g30_secondary_shonen_008.png,Aziel Mirren,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,slice,g30_secondary_shonen_008.webp
139,B02,S14,R2C4,g30_secondary_shonen_009,g30_secondary_shonen_009.png,Cassian Crowe,The Ashen Viper,secondary,shonen,monster_taming,crime,horror,g30_secondary_shonen_009.webp
140,B02,S14,R2C5,g30_secondary_shonen_010,g30_secondary_shonen_010.png,Ren Locke,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,horror,g30_secondary_shonen_010.webp
141,B02,S15,R1C1,g30_secondary_shonen_011,g30_secondary_shonen_011.png,Soraya Mirren,The Ashen Viper,secondary,shonen,monster_taming,crime,romance,g30_secondary_shonen_011.webp
142,B02,S15,R1C2,g30_secondary_shonen_012,g30_secondary_shonen_012.png,Nadia Crowe,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,romance,g30_secondary_shonen_012.webp
143,B02,S15,R1C3,g30_secondary_shonen_013,g30_secondary_shonen_013.png,Asha Locke,The Ashen Viper,secondary,shonen,monster_taming,crime,sports,g30_secondary_shonen_013.webp
144,B02,S15,R1C4,g30_secondary_shonen_014,g30_secondary_shonen_014.png,Lio Mirren,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,sports,g30_secondary_shonen_014.webp
145,B02,S15,R1C5,g30_secondary_shonen_015,g30_secondary_shonen_015.png,Kael Crowe,The Ashen Viper,secondary,shonen,monster_taming,crime,cyber,g30_secondary_shonen_015.webp
146,B02,S15,R2C1,g30_secondary_shonen_016,g30_secondary_shonen_016.png,Soren Locke,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,cyber,g30_secondary_shonen_016.webp
147,B02,S15,R2C2,g30_secondary_shonen_017,g30_secondary_shonen_017.png,Riven Mirren,The Ashen Viper,secondary,shonen,monster_taming,crime,fantasy,g30_secondary_shonen_017.webp
148,B02,S15,R2C3,g30_secondary_shonen_018,g30_secondary_shonen_018.png,Darian Crowe,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,fantasy,g30_secondary_shonen_018.webp
