sequence,batch_code,sheet_code,sheet_position,character_id,filename_png,name,epithet,role,anime_type,visible_genre_1,visible_genre_2,hidden_genre
19,B01,S02,R2C4,g30_protag_shonen_019,g30_protag_shonen_019.png,Nadia Crowe,The Cinder Corsair,protag,shonen,monster_taming,crime,idol
20,B01,S02,R2C5,g30_protag_shonen_020,g30_protag_shonen_020.png,Asha Locke,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,idol
21,B01,S03,R1C1,g30_protag_shonen_021,g30_protag_shonen_021.png,Lio Mirren,The Cinder Corsair,protag,shonen,monster_taming,crime,mystery
22,B01,S03,R1C2,g30_protag_shonen_022,g30_protag_shonen_022.png,Kael Crowe,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,mystery
23,B01,S03,R1C3,g30_protag_shonen_023,g30_protag_shonen_023.png,Soren Locke,The Cinder Corsair,protag,shonen,monster_taming,crime,comedy
24,B01,S03,R1C4,g30_protag_shonen_024,g30_protag_shonen_024.png,Riven Mirren,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,comedy
25,B01,S03,R1C5,g30_protag_shonen_025,g30_protag_shonen_025.png,Darian Crowe,The Cinder Corsair,protag,shonen,monster_taming,crime,cooking
26,B01,S03,R2C1,g30_protag_shonen_026,g30_protag_shonen_026.png,Yara Locke,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,cooking
27,B01,S03,R2C2,g30_protag_shonen_027,g30_protag_shonen_027.png,Selene Mirren,The Cinder Corsair,protag,shonen,monster_taming,crime,military
28,B01,S03,R2C3,g30_protag_shonen_028,g30_protag_shonen_028.png,Kestrel Crowe,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,military
29,B01,S03,R2C4,g30_protag_shonen_029,g30_protag_shonen_029.png,Jin Locke,The Cinder Corsair,protag,shonen,monster_taming,crime,supernatural
30,B01,S03,R2C5,g30_protag_shonen_030,g30_protag_shonen_030.png,Aziel Mirren,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,supernatural
31,B01,S04,R1C1,g30_protag_shonen_031,g30_protag_shonen_031.png,Cassian Crowe,The Cinder Corsair,protag,shonen,monster_taming,crime,space
32,B01,S04,R1C2,g30_protag_shonen_032,g30_protag_shonen_032.png,Ren Locke,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,space
33,B01,S04,R1C3,g30_protag_shonen_033,g30_protag_shonen_033.png,Soraya Mirren,The Cinder Corsair,protag,shonen,monster_taming,crime,magical
34,B01,S04,R1C4,g30_protag_shonen_034,g30_protag_shonen_034.png,Nadia Crowe,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,magical
35,B01,S04,R1C5,g30_protag_shonen_035,g30_protag_shonen_035.png,Asha Locke,The Cinder Corsair,protag,shonen,monster_taming,crime,survival
36,B01,S04,R2C1,g30_protag_shonen_036,g30_protag_shonen_036.png,Lio Mirren,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,survival
37,B01,S04,R2C2,g30_protag_shonen_037,g30_protag_shonen_037.png,Kael Crowe,The Cinder Corsair,protag,shonen,monster_taming,crime,pirate
38,B01,S04,R2C3,g30_protag_shonen_038,g30_protag_shonen_038.png,Soren Locke,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,pirate
39,B01,S04,R2C4,g30_protag_shonen_039,g30_protag_shonen_039.png,Riven Mirren,The Cinder Corsair,protag,shonen,monster_taming,crime,martial
40,B01,S04,R2C5,g30_protag_shonen_040,g30_protag_shonen_040.png,Darian Crowe,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,martial
41,B01,S05,R1C1,g30_protag_shonen_041,g30_protag_shonen_041.png,Yara Locke,The Cinder Corsair,protag,shonen,monster_taming,crime,mythology
42,B01,S05,R1C2,g30_protag_shonen_042,g30_protag_shonen_042.png,Selene Mirren,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,mythology
43,B01,S05,R1C3,g30_protag_shonen_043,g30_protag_shonen_043.png,Kestrel Crowe,The Cinder Corsair,protag,shonen,monster_taming,crime,nordic
44,B01,S05,R1C4,g30_protag_shonen_044,g30_protag_shonen_044.png,Jin Locke,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,nordic
45,B01,S05,R1C5,g30_protag_shonen_045,g30_protag_shonen_045.png,Aziel Mirren,The Cinder Corsair,protag,shonen,monster_taming,crime,samurai
46,B01,S05,R2C1,g30_protag_shonen_046,g30_protag_shonen_046.png,Cassian Crowe,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,samurai
47,B01,S05,R2C2,g30_protag_shonen_047,g30_protag_shonen_047.png,Ren Locke,The Cinder Corsair,protag,shonen,monster_taming,crime,shinobi
48,B01,S05,R2C3,g30_protag_shonen_048,g30_protag_shonen_048.png,Soraya Mirren,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,shinobi
49,B01,S05,R2C4,g30_protag_shonen_049,g30_protag_shonen_049.png,Nadia Crowe,The Cinder Corsair,protag,shonen,monster_taming,crime,vampire
50,B01,S05,R2C5,g30_protag_shonen_050,g30_protag_shonen_050.png,Asha Locke,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,vampire
51,B01,S06,R1C1,g30_protag_shonen_051,g30_protag_shonen_051.png,Lio Mirren,The Cinder Corsair,protag,shonen,monster_taming,crime,grimdark
52,B01,S06,R1C2,g30_protag_shonen_052,g30_protag_shonen_052.png,Kael Crowe,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,grimdark
53,B01,S06,R1C3,g30_protag_shonen_053,g30_protag_shonen_053.png,Soren Locke,The Cinder Corsair,protag,shonen,mecha,isekai,monster_taming
54,B01,S06,R1C4,g30_protag_shonen_054,g30_protag_shonen_054.png,Riven Mirren,The Ashen Viper,protag,shonen,slice,horror,arabia
55,B01,S06,R1C5,g30_protag_shonen_055,g30_protag_shonen_055.png,Darian Crowe,The Cinder Corsair,protag,shonen,romance,sports,arabia
56,B01,S06,R2C1,g30_protag_shonen_056,g30_protag_shonen_056.png,Yara Locke,The Ashen Viper,protag,shonen,cyber,fantasy,arabia
57,B01,S06,R2C2,g30_protag_shonen_057,g30_protag_shonen_057.png,Selene Mirren,The Cinder Corsair,protag,shonen,idol,mystery,arabia
58,B01,S06,R2C3,g30_protag_shonen_058,g30_protag_shonen_058.png,Kestrel Crowe,The Ashen Viper,protag,shonen,comedy,cooking,arabia
59,B01,S06,R2C4,g30_protag_shonen_059,g30_protag_shonen_059.png,Jin Locke,The Cinder Corsair,protag,shonen,military,supernatural,arabia
60,B01,S06,R2C5,g30_protag_shonen_060,g30_protag_shonen_060.png,Aziel Mirren,The Ashen Viper,protag,shonen,space,magical,arabia
61,B01,S07,R1C1,g30_protag_shonen_061,g30_protag_shonen_061.png,Cassian Crowe,The Cinder Corsair,protag,shonen,survival,pirate,arabia
62,B01,S07,R1C2,g30_protag_shonen_062,g30_protag_shonen_062.png,Ren Locke,The Ashen Viper,protag,shonen,martial,mythology,arabia
63,B01,S07,R1C3,g30_protag_shonen_063,g30_protag_shonen_063.png,Soraya Mirren,The Cinder Corsair,protag,shonen,nordic,samurai,arabia
64,B01,S07,R1C4,g30_protag_shonen_064,g30_protag_shonen_064.png,Nadia Crowe,The Ashen Viper,protag,shonen,shinobi,vampire,arabia
65,B01,S07,R1C5,g30_protag_shonen_065,g30_protag_shonen_065.png,Asha Locke,The Cinder Corsair,protag,shonen,monster_taming,arabia,grimdark
66,B01,S07,R2C1,g30_protag_shojo_001,g30_protag_shojo_001.png,Selene Mirren,The Dune Hunter,protag,shojo,monster_taming,crime,kaiju
67,B01,S07,R2C2,g30_protag_shojo_002,g30_protag_shojo_002.png,Kestrel Crowe,The Glass Duelist,protag,shojo,monster_taming,cosmic_horror,arabia
68,B01,S07,R2C3,g30_protag_shojo_003,g30_protag_shojo_003.png,Jin Locke,The Dune Hunter,protag,shojo,crime,cosmic_horror,mecha
69,B01,S07,R2C4,g30_protag_shojo_004,g30_protag_shojo_004.png,Aziel Mirren,The Glass Duelist,protag,shojo,kaiju,arabia,mecha
70,B01,S07,R2C5,g30_protag_shojo_005,g30_protag_shojo_005.png,Cassian Crowe,The Dune Hunter,protag,shojo,crime,arabia,isekai
71,B01,S08,R1C1,g30_protag_shojo_006,g30_protag_shojo_006.png,Ren Locke,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,isekai
72,B01,S08,R1C2,g30_protag_shojo_007,g30_protag_shojo_007.png,Soraya Mirren,The Dune Hunter,protag,shojo,monster_taming,crime,slice
73,B01,S08,R1C3,g30_protag_shojo_008,g30_protag_shojo_008.png,Nadia Crowe,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,slice
74,B01,S08,R1C4,g30_protag_shojo_009,g30_protag_shojo_009.png,Asha Locke,The Dune Hunter,protag,shojo,monster_taming,crime,horror
75,B01,S08,R1C5,g30_protag_shojo_010,g30_protag_shojo_010.png,Lio Mirren,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,horror
76,B01,S08,R2C1,g30_protag_shojo_011,g30_protag_shojo_011.png,Kael Crowe,The Dune Hunter,protag,shojo,monster_taming,crime,romance
77,B01,S08,R2C2,g30_protag_shojo_012,g30_protag_shojo_012.png,Soren Locke,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,romance
78,B01,S08,R2C3,g30_protag_shojo_013,g30_protag_shojo_013.png,Riven Mirren,The Dune Hunter,protag,shojo,monster_taming,crime,sports
79,B01,S08,R2C4,g30_protag_shojo_014,g30_protag_shojo_014.png,Darian Crowe,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,sports
80,B01,S08,R2C5,g30_protag_shojo_015,g30_protag_shojo_015.png,Yara Locke,The Dune Hunter,protag,shojo,monster_taming,crime,cyber
81,B01,S09,R1C1,g30_protag_shojo_016,g30_protag_shojo_016.png,Selene Mirren,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,cyber
82,B01,S09,R1C2,g30_protag_shojo_017,g30_protag_shojo_017.png,Kestrel Crowe,The Dune Hunter,protag,shojo,monster_taming,crime,fantasy
83,B01,S09,R1C3,g30_protag_shojo_018,g30_protag_shojo_018.png,Jin Locke,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,fantasy
84,B01,S09,R1C4,g30_protag_shojo_019,g30_protag_shojo_019.png,Aziel Mirren,The Dune Hunter,protag,shojo,monster_taming,crime,idol
85,B01,S09,R1C5,g30_protag_shojo_020,g30_protag_shojo_020.png,Cassian Crowe,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,idol
86,B01,S09,R2C1,g30_protag_shojo_021,g30_protag_shojo_021.png,Ren Locke,The Dune Hunter,protag,shojo,monster_taming,crime,mystery
87,B01,S09,R2C2,g30_protag_shojo_022,g30_protag_shojo_022.png,Soraya Mirren,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,mystery
88,B01,S09,R2C3,g30_protag_shojo_023,g30_protag_shojo_023.png,Nadia Crowe,The Dune Hunter,protag,shojo,monster_taming,crime,comedy
89,B01,S09,R2C4,g30_protag_shojo_024,g30_protag_shojo_024.png,Asha Locke,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,comedy
90,B01,S09,R2C5,g30_protag_shojo_025,g30_protag_shojo_025.png,Lio Mirren,The Dune Hunter,protag,shojo,monster_taming,crime,cooking
91,B01,S10,R1C1,g30_protag_shojo_026,g30_protag_shojo_026.png,Kael Crowe,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,cooking
92,B01,S10,R1C2,g30_protag_shojo_027,g30_protag_shojo_027.png,Soren Locke,The Dune Hunter,protag,shojo,monster_taming,crime,military
93,B01,S10,R1C3,g30_protag_shojo_028,g30_protag_shojo_028.png,Riven Mirren,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,military
94,B01,S10,R1C4,g30_protag_shojo_029,g30_protag_shojo_029.png,Darian Crowe,The Dune Hunter,protag,shojo,monster_taming,crime,supernatural
95,B01,S10,R1C5,g30_protag_shojo_030,g30_protag_shojo_030.png,Yara Locke,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,supernatural
96,B01,S10,R2C1,g30_protag_shojo_031,g30_protag_shojo_031.png,Selene Mirren,The Dune Hunter,protag,shojo,monster_taming,crime,space
97,B01,S10,R2C2,g30_protag_shojo_032,g30_protag_shojo_032.png,Kestrel Crowe,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,space
98,B01,S10,R2C3,g30_protag_shojo_033,g30_protag_shojo_033.png,Jin Locke,The Dune Hunter,protag,shojo,monster_taming,crime,magical
99,B01,S10,R2C4,g30_protag_shojo_034,g30_protag_shojo_034.png,Aziel Mirren,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,magical
100,B01,S10,R2C5,g30_protag_shojo_035,g30_protag_shojo_035.png,Cassian Crowe,The Dune Hunter,protag,shojo,monster_taming,crime,survival
101,B02,S11,R1C1,g30_protag_shojo_036,g30_protag_shojo_036.png,Ren Locke,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,survival
102,B02,S11,R1C2,g30_protag_shojo_037,g30_protag_shojo_037.png,Soraya Mirren,The Dune Hunter,protag,shojo,monster_taming,crime,pirate
103,B02,S11,R1C3,g30_protag_shojo_038,g30_protag_shojo_038.png,Nadia Crowe,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,pirate
104,B02,S11,R1C4,g30_protag_shojo_039,g30_protag_shojo_039.png,Asha Locke,The Dune Hunter,protag,shojo,monster_taming,crime,martial
105,B02,S11,R1C5,g30_protag_shojo_040,g30_protag_shojo_040.png,Lio Mirren,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,martial
106,B02,S11,R2C1,g30_protag_shojo_041,g30_protag_shojo_041.png,Kael Crowe,The Dune Hunter,protag,shojo,monster_taming,crime,mythology
107,B02,S11,R2C2,g30_protag_shojo_042,g30_protag_shojo_042.png,Soren Locke,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,mythology
108,B02,S11,R2C3,g30_protag_shojo_043,g30_protag_shojo_043.png,Riven Mirren,The Dune Hunter,protag,shojo,monster_taming,crime,nordic
109,B02,S11,R2C4,g30_protag_shojo_044,g30_protag_shojo_044.png,Darian Crowe,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,nordic
110,B02,S11,R2C5,g30_protag_shojo_045,g30_protag_shojo_045.png,Yara Locke,The Dune Hunter,protag,shojo,monster_taming,crime,samurai
111,B02,S12,R1C1,g30_protag_shojo_046,g30_protag_shojo_046.png,Selene Mirren,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,samurai
112,B02,S12,R1C2,g30_protag_shojo_047,g30_protag_shojo_047.png,Kestrel Crowe,The Dune Hunter,protag,shojo,monster_taming,crime,shinobi
113,B02,S12,R1C3,g30_protag_shojo_048,g30_protag_shojo_048.png,Jin Locke,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,shinobi
114,B02,S12,R1C4,g30_protag_shojo_049,g30_protag_shojo_049.png,Aziel Mirren,The Dune Hunter,protag,shojo,monster_taming,crime,vampire
115,B02,S12,R1C5,g30_protag_shojo_050,g30_protag_shojo_050.png,Cassian Crowe,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,vampire
116,B02,S12,R2C1,g30_protag_shojo_051,g30_protag_shojo_051.png,Ren Locke,The Dune Hunter,protag,shojo,monster_taming,crime,grimdark
117,B02,S12,R2C2,g30_protag_shojo_052,g30_protag_shojo_052.png,Soraya Mirren,The Glass Duelist,protag,shojo,kaiju,cosmic_horror,grimdark
118,B02,S12,R2C3,g30_protag_shojo_053,g30_protag_shojo_053.png,Nadia Crowe,The Dune Hunter,protag,shojo,mecha,isekai,monster_taming
119,B02,S12,R2C4,g30_protag_shojo_054,g30_protag_shojo_054.png,Asha Locke,The Glass Duelist,protag,shojo,slice,horror,arabia
120,B02,S12,R2C5,g30_protag_shojo_055,g30_protag_shojo_055.png,Lio Mirren,The Dune Hunter,protag,shojo,romance,sports,arabia
121,B02,S13,R1C1,g30_protag_shojo_056,g30_protag_shojo_056.png,Kael Crowe,The Glass Duelist,protag,shojo,cyber,fantasy,arabia
122,B02,S13,R1C2,g30_protag_shojo_057,g30_protag_shojo_057.png,Soren Locke,The Dune Hunter,protag,shojo,idol,mystery,arabia
123,B02,S13,R1C3,g30_protag_shojo_058,g30_protag_shojo_058.png,Riven Mirren,The Glass Duelist,protag,shojo,comedy,cooking,arabia
124,B02,S13,R1C4,g30_protag_shojo_059,g30_protag_shojo_059.png,Darian Crowe,The Dune Hunter,protag,shojo,military,supernatural,arabia
125,B02,S13,R1C5,g30_protag_shojo_060,g30_protag_shojo_060.png,Yara Locke,The Glass Duelist,protag,shojo,space,magical,arabia
126,B02,S13,R2C1,g30_protag_shojo_061,g30_protag_shojo_061.png,Selene Mirren,The Dune Hunter,protag,shojo,survival,pirate,arabia
127,B02,S13,R2C2,g30_protag_shojo_062,g30_protag_shojo_062.png,Kestrel Crowe,The Glass Duelist,protag,shojo,martial,mythology,arabia
128,B02,S13,R2C3,g30_protag_shojo_063,g30_protag_shojo_063.png,Jin Locke,The Dune Hunter,protag,shojo,nordic,samurai,arabia
129,B02,S13,R2C4,g30_protag_shojo_064,g30_protag_shojo_064.png,Aziel Mirren,The Glass Duelist,protag,shojo,shinobi,vampire,arabia
130,B02,S13,R2C5,g30_protag_shojo_065,g30_protag_shojo_065.png,Cassian Crowe,The Dune Hunter,protag,shojo,monster_taming,arabia,grimdark
131,B02,S14,R1C1,g30_secondary_shonen_001,g30_secondary_shonen_001.png,Soren Locke,The Ashen Viper,secondary,shonen,monster_taming,crime,kaiju
132,B02,S14,R1C2,g30_secondary_shonen_002,g30_secondary_shonen_002.png,Riven Mirren,The Cinder Corsair,secondary,shonen,monster_taming,cosmic_horror,arabia
133,B02,S14,R1C3,g30_secondary_shonen_003,g30_secondary_shonen_003.png,Darian Crowe,The Ashen Viper,secondary,shonen,crime,cosmic_horror,mecha
134,B02,S14,R1C4,g30_secondary_shonen_004,g30_secondary_shonen_004.png,Yara Locke,The Cinder Corsair,secondary,shonen,kaiju,arabia,mecha
135,B02,S14,R1C5,g30_secondary_shonen_005,g30_secondary_shonen_005.png,Selene Mirren,The Ashen Viper,secondary,shonen,crime,arabia,isekai
136,B02,S14,R2C1,g30_secondary_shonen_006,g30_secondary_shonen_006.png,Kestrel Crowe,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,isekai
137,B02,S14,R2C2,g30_secondary_shonen_007,g30_secondary_shonen_007.png,Jin Locke,The Ashen Viper,secondary,shonen,monster_taming,crime,slice
138,B02,S14,R2C3,g30_secondary_shonen_008,g30_secondary_shonen_008.png,Aziel Mirren,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,slice
139,B02,S14,R2C4,g30_secondary_shonen_009,g30_secondary_shonen_009.png,Cassian Crowe,The Ashen Viper,secondary,shonen,monster_taming,crime,horror
140,B02,S14,R2C5,g30_secondary_shonen_010,g30_secondary_shonen_010.png,Ren Locke,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,horror
141,B02,S15,R1C1,g30_secondary_shonen_011,g30_secondary_shonen_011.png,Soraya Mirren,The Ashen Viper,secondary,shonen,monster_taming,crime,romance
142,B02,S15,R1C2,g30_secondary_shonen_012,g30_secondary_shonen_012.png,Nadia Crowe,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,romance
143,B02,S15,R1C3,g30_secondary_shonen_013,g30_secondary_shonen_013.png,Asha Locke,The Ashen Viper,secondary,shonen,monster_taming,crime,sports
144,B02,S15,R1C4,g30_secondary_shonen_014,g30_secondary_shonen_014.png,Lio Mirren,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,sports
145,B02,S15,R1C5,g30_secondary_shonen_015,g30_secondary_shonen_015.png,Kael Crowe,The Ashen Viper,secondary,shonen,monster_taming,crime,cyber
146,B02,S15,R2C1,g30_secondary_shonen_016,g30_secondary_shonen_016.png,Soren Locke,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,cyber
147,B02,S15,R2C2,g30_secondary_shonen_017,g30_secondary_shonen_017.png,Riven Mirren,The Ashen Viper,secondary,shonen,monster_taming,crime,fantasy
148,B02,S15,R2C3,g30_secondary_shonen_018,g30_secondary_shonen_018.png,Darian Crowe,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,fantasy
149,B02,S15,R2C4,g30_secondary_shonen_019,g30_secondary_shonen_019.png,Yara Locke,The Ashen Viper,secondary,shonen,monster_taming,crime,idol
150,B02,S15,R2C5,g30_secondary_shonen_020,g30_secondary_shonen_020.png,Selene Mirren,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,idol
151,B02,S16,R1C1,g30_secondary_shonen_021,g30_secondary_shonen_021.png,Kestrel Crowe,The Ashen Viper,secondary,shonen,monster_taming,crime,mystery
152,B02,S16,R1C2,g30_secondary_shonen_022,g30_secondary_shonen_022.png,Jin Locke,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,mystery
153,B02,S16,R1C3,g30_secondary_shonen_023,g30_secondary_shonen_023.png,Aziel Mirren,The Ashen Viper,secondary,shonen,monster_taming,crime,comedy
154,B02,S16,R1C4,g30_secondary_shonen_024,g30_secondary_shonen_024.png,Cassian Crowe,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,comedy
155,B02,S16,R1C5,g30_secondary_shonen_025,g30_secondary_shonen_025.png,Ren Locke,The Ashen Viper,secondary,shonen,monster_taming,crime,cooking
156,B02,S16,R2C1,g30_secondary_shonen_026,g30_secondary_shonen_026.png,Soraya Mirren,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,cooking
157,B02,S16,R2C2,g30_secondary_shonen_027,g30_secondary_shonen_027.png,Nadia Crowe,The Ashen Viper,secondary,shonen,monster_taming,crime,military
158,B02,S16,R2C3,g30_secondary_shonen_028,g30_secondary_shonen_028.png,Asha Locke,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,military
159,B02,S16,R2C4,g30_secondary_shonen_029,g30_secondary_shonen_029.png,Lio Mirren,The Ashen Viper,secondary,shonen,monster_taming,crime,supernatural
160,B02,S16,R2C5,g30_secondary_shonen_030,g30_secondary_shonen_030.png,Kael Crowe,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,supernatural
161,B02,S17,R1C1,g30_secondary_shonen_031,g30_secondary_shonen_031.png,Soren Locke,The Ashen Viper,secondary,shonen,monster_taming,crime,space
162,B02,S17,R1C2,g30_secondary_shonen_032,g30_secondary_shonen_032.png,Riven Mirren,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,space
163,B02,S17,R1C3,g30_secondary_shonen_033,g30_secondary_shonen_033.png,Darian Crowe,The Ashen Viper,secondary,shonen,monster_taming,crime,magical
164,B02,S17,R1C4,g30_secondary_shonen_034,g30_secondary_shonen_034.png,Yara Locke,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,magical
165,B02,S17,R1C5,g30_secondary_shonen_035,g30_secondary_shonen_035.png,Selene Mirren,The Ashen Viper,secondary,shonen,monster_taming,crime,survival
166,B02,S17,R2C1,g30_secondary_shonen_036,g30_secondary_shonen_036.png,Kestrel Crowe,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,survival
167,B02,S17,R2C2,g30_secondary_shonen_037,g30_secondary_shonen_037.png,Jin Locke,The Ashen Viper,secondary,shonen,monster_taming,crime,pirate
168,B02,S17,R2C3,g30_secondary_shonen_038,g30_secondary_shonen_038.png,Aziel Mirren,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,pirate
169,B02,S17,R2C4,g30_secondary_shonen_039,g30_secondary_shonen_039.png,Cassian Crowe,The Ashen Viper,secondary,shonen,monster_taming,crime,martial
170,B02,S17,R2C5,g30_secondary_shonen_040,g30_secondary_shonen_040.png,Ren Locke,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,martial
171,B02,S18,R1C1,g30_secondary_shonen_041,g30_secondary_shonen_041.png,Soraya Mirren,The Ashen Viper,secondary,shonen,monster_taming,crime,mythology
172,B02,S18,R1C2,g30_secondary_shonen_042,g30_secondary_shonen_042.png,Nadia Crowe,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,mythology
173,B02,S18,R1C3,g30_secondary_shonen_043,g30_secondary_shonen_043.png,Asha Locke,The Ashen Viper,secondary,shonen,monster_taming,crime,nordic
174,B02,S18,R1C4,g30_secondary_shonen_044,g30_secondary_shonen_044.png,Lio Mirren,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,nordic
175,B02,S18,R1C5,g30_secondary_shonen_045,g30_secondary_shonen_045.png,Kael Crowe,The Ashen Viper,secondary,shonen,monster_taming,crime,samurai
176,B02,S18,R2C1,g30_secondary_shonen_046,g30_secondary_shonen_046.png,Soren Locke,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,samurai
