id,role,anime_type,visible_genre_1,visible_genre_2,hidden_genre,batch,filename
v4_sidekick_shojo_012,secondary,shojo,horror,fantasy,magical,2,124__v4_sidekick_shojo_012.png
v4_sidekick_shojo_013,secondary,shojo,horror,comedy,supernatural,2,125__v4_sidekick_shojo_013.png
v4_sidekick_shojo_014,secondary,shojo,horror,cooking,pirate,2,126__v4_sidekick_shojo_014.png
v4_sidekick_shojo_015,secondary,shojo,horror,martial,mythology,2,127__v4_sidekick_shojo_015.png
v4_sidekick_shojo_016,secondary,shojo,romance,cyber,nordic,2,128__v4_sidekick_shojo_016.png
v4_sidekick_shojo_017,secondary,shojo,romance,cooking,magical,2,129__v4_sidekick_shojo_017.png
v4_sidekick_shojo_018,secondary,shojo,sports,cyber,military,2,130__v4_sidekick_shojo_018.png
v4_sidekick_shojo_019,secondary,shojo,sports,comedy,samurai,2,131__v4_sidekick_shojo_019.png
v4_sidekick_shojo_020,secondary,shojo,sports,space,pirate,2,132__v4_sidekick_shojo_020.png
v4_sidekick_shojo_021,secondary,shojo,sports,survival,martial,2,133__v4_sidekick_shojo_021.png
v4_sidekick_shojo_022,secondary,shojo,cyber,space,mythology,2,134__v4_sidekick_shojo_022.png
v4_sidekick_shojo_023,secondary,shojo,fantasy,idol,shinobi,2,135__v4_sidekick_shojo_023.png
v4_sidekick_shojo_024,secondary,shojo,fantasy,mystery,pirate,2,136__v4_sidekick_shojo_024.png
v4_sidekick_shojo_025,secondary,shojo,fantasy,military,mythology,2,137__v4_sidekick_shojo_025.png
v4_sidekick_shojo_026,secondary,shojo,fantasy,supernatural,samurai,2,138__v4_sidekick_shojo_026.png
v4_sidekick_shojo_027,secondary,shojo,idol,mystery,cooking,2,139__v4_sidekick_shojo_027.png
v4_sidekick_shojo_028,secondary,shojo,idol,comedy,mythology,2,140__v4_sidekick_shojo_028.png
v4_sidekick_shojo_029,secondary,shojo,mystery,military,shinobi,2,141__v4_sidekick_shojo_029.png
v4_sidekick_shojo_030,secondary,shojo,mystery,supernatural,survival,2,142__v4_sidekick_shojo_030.png
v4_sidekick_shojo_031,secondary,shojo,comedy,military,survival,2,143__v4_sidekick_shojo_031.png
v4_sidekick_shojo_032,secondary,shojo,comedy,magical,nordic,2,144__v4_sidekick_shojo_032.png
v4_sidekick_shojo_033,secondary,shojo,comedy,pirate,shinobi,2,145__v4_sidekick_shojo_033.png
v4_sidekick_shojo_034,secondary,shojo,pirate,martial,nordic,2,146__v4_sidekick_shojo_034.png
v4_sidekick_shojo_035,secondary,shojo,horror,military,space,2,147__v4_sidekick_shojo_035.png
v4_sidekick_shojo_036,secondary,shojo,romance,sports,idol,2,148__v4_sidekick_shojo_036.png
v4_sidekick_shojo_037,secondary,shojo,mecha,magical,sports,2,149__v4_sidekick_shojo_037.png
v4_sidekick_shojo_038,secondary,shojo,cyber,survival,magical,2,150__v4_sidekick_shojo_038.png
v4_mascot_shonen_001,pet,shonen,mecha,isekai,supernatural,2,151__v4_mascot_shonen_001.png
v4_mascot_shonen_002,pet,shonen,mecha,comedy,nordic,2,152__v4_mascot_shonen_002.png
v4_mascot_shonen_003,pet,shonen,isekai,slice,magical,2,153__v4_mascot_shonen_003.png
v4_mascot_shonen_004,pet,shonen,isekai,sports,mystery,2,154__v4_mascot_shonen_004.png
v4_mascot_shonen_005,pet,shonen,isekai,military,space,2,155__v4_mascot_shonen_005.png
v4_mascot_shonen_006,pet,shonen,isekai,survival,mythology,2,156__v4_mascot_shonen_006.png
v4_mascot_shonen_007,pet,shonen,slice,horror,romance,2,157__v4_mascot_shonen_007.png
v4_mascot_shonen_008,pet,shonen,slice,mystery,nordic,2,158__v4_mascot_shonen_008.png
v4_mascot_shonen_009,pet,shonen,slice,comedy,cooking,2,159__v4_mascot_shonen_009.png
v4_mascot_shonen_010,pet,shonen,slice,supernatural,martial,2,160__v4_mascot_shonen_010.png
